item_id,policy,new_material,baseline_process,current_process,recheck_reason,decision,kb_changed_this_turn,review_note
ebf3_gun_dynamic_lens_pole_pieces,import_until_gap_resolved,electrical_steel_or_soft_iron,machining_basic_v0,machining_basic_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_gun_dynamic_lens_yoke,import_until_gap_resolved,electrical_steel_or_soft_iron,electrical_steel_production_v0,electrical_steel_production_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_gun_hv_insulator_mounting_collar_set,import_until_gap_resolved,alumina_ceramic,ceramic_forming_basic_v0,ceramic_forming_basic_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_gun_main_lens_pole_pieces,import_until_gap_resolved,electrical_steel_or_soft_iron,machining_basic_v0,machining_basic_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_gun_main_lens_yoke,import_until_gap_resolved,electrical_steel_or_soft_iron,machining_basic_v0,machining_basic_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_gun_trajectory_corrector_pole_piece_set,import_until_gap_resolved,electrical_steel_or_soft_iron,electrical_steel_production_v0,electrical_steel_production_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_hv_fill_port,sensitivity_flag,steel,steel_shaft_machining_v0,steel_shaft_machining_v0,local_specific_or_generic_process_check,keep_current_route,false,Material specificity does not change first-pass route.
ebf3_hv_tank_temperature_sensor_mount,sensitivity_flag,steel,steel_shaft_machining_v0,machining_basic_v0,local_specific_or_generic_process_check,reroute_existing_process,true,"Sensor mount geometry is a small machined bracket/interface, not a shaft; thermal/HV interface requirements remain flagged."
ebf3_linear_guide_carriage_retainer_set,sensitivity_flag,steel,steel_shaft_machining_v0,machining_basic_v0,local_specific_or_generic_process_check,reroute_existing_process,true,"Carriage retainer hardware is not shaft-specific; CNC machining covers the basic geometry, while rolling-contact fit remains flagged."
ebf3_linear_guide_rail_body_set,import_until_gap_resolved,hardened_steel,steel_shaft_machining_v1,steel_shaft_machining_v1,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_linear_guide_rail_mounting_hole_datum_set,local_nominal,steel,steel_shaft_machining_v0,machining_basic_v0,local_specific_or_generic_process_check,already_clean_before_this_recheck,false,Current KB route had already been moved away from the stale baseline process before this targeted recheck.
ebf3_positioning_base_frame_crossmember_set,local_nominal,steel,metal_fabrication_basic_v0,machining_basic_v0,local_specific_or_generic_process_check,reroute_existing_process,true,Crossmember needs structural stock plus end/mounting features; CNC is a more explicit existing route than generic labor/tool fabrication.
ebf3_power_input_cable_conductor_set,import_until_gap_resolved,aluminum_or_copper_conductor,,wire_drawing_aluminum_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_pressure_adjustment_threaded_insert,local_nominal,steel,steel_shaft_machining_v0,steel_shaft_machining_v0,local_specific_or_generic_process_check,keep_current_route,false,Material specificity does not change first-pass route.
ebf3_primary_transformer_core,import_until_gap_resolved,electrical_steel_or_soft_iron,electrical_steel_production_v0,electrical_steel_production_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_ripple_inductor_core,import_until_gap_resolved,electrical_steel_or_soft_iron,electrical_steel_production_v0,electrical_steel_production_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_rotary_axis_bearing_inner_ring,import_until_gap_resolved,bearing_steel,precision_grinding_basic_v0,precision_grinding_basic_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_rotary_axis_bearing_outer_ring,import_until_gap_resolved,bearing_steel,bearing_set_heavy_production_v0,bearing_set_heavy_production_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_rotary_axis_bearing_rolling_element_set,import_until_gap_resolved,bearing_steel,bearing_set_heavy_production_v0,bearing_set_heavy_production_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_rotary_worm_shaft,import_until_gap_resolved,hardened_steel,,import_receiving_basic_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_rotary_worm_wheel,import_until_gap_resolved,bronze_or_hardened_steel,,import_receiving_basic_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_sensor_interface_shield,local_nominal,aluminum,sheet_metal_cutting_v0,sheet_metal_fabrication_v0,aluminum_sheet_process_check,reroute_existing_process,true,Aluminum sensor shield can use existing sheet-metal fabrication; grounding/noise performance remains verification requirements.
ebf3_wire_feed_drive_roll_body,import_until_gap_resolved,hardened_steel,steel_shaft_machining_v0,steel_shaft_machining_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_wire_feed_drive_roll_groove_profile,import_until_gap_resolved,hardened_steel,machining_basic_v0,machining_basic_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_wire_feed_gearbox,import_until_gap_resolved,mixed_precision_gearbox_materials,,import_receiving_basic_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_wire_feed_motor_housing,local_nominal,steel,motor_housing_casting_v0,motor_housing_casting_v0,local_specific_or_generic_process_check,keep_current_route,false,"Motor housing casting remains plausible for first-pass local accounting; material label should be read as iron/steel casting family, with final machining/fit as downstream requirement."
ebf3_wire_feed_motor_mount_clamp_alignment_pin_set,sensitivity_flag,steel,steel_shaft_machining_v0,steel_shaft_machining_v0,local_specific_or_generic_process_check,keep_current_route,false,Material specificity does not change first-pass route.
ebf3_wire_feed_pressure_arm_pivot_pin,sensitivity_flag,steel,steel_shaft_machining_v0,steel_shaft_machining_v0,local_specific_or_generic_process_check,keep_current_route,false,Material specificity does not change first-pass route.
ebf3_wire_feed_roll_bearing_set,import_until_gap_resolved,bearing_steel,,import_receiving_basic_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_wire_feeder_base_mounting_slot_set,local_nominal,steel,steel_shaft_machining_v0,machining_basic_v0,local_specific_or_generic_process_check,already_clean_before_this_recheck,false,Current KB route had already been moved away from the stale baseline process before this targeted recheck.
ebf3_wire_feeder_base_standoff_set,sensitivity_flag,alumina_ceramic,ceramic_forming_basic_v0,ceramic_forming_basic_v0,special_material,keep_current_route,false,Material specificity does not change first-pass route.
ebf3_wire_feeder_gun_bracket_alignment_pin_set,sensitivity_flag,steel,steel_shaft_machining_v0,steel_shaft_machining_v0,local_specific_or_generic_process_check,keep_current_route,false,Material specificity does not change first-pass route.
ebf3_x_axis_ball_screw_shaft,import_until_gap_resolved,hardened_steel,steel_shaft_machining_v1,steel_shaft_machining_v1,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_z_axis_ball_screw_shaft,import_until_gap_resolved,bearing_steel,ball_screw_fabrication_v0,ball_screw_fabrication_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_z_axis_counterbalance_guide_or_link,sensitivity_flag,steel,steel_shaft_machining_v0,machining_basic_v0,local_specific_or_generic_process_check,reroute_existing_process,true,Guide/link geometry should route through general CNC rather than shaft machining; load path and wear remain sensitivity flags.
