item_id,parent_ids,mass_nominal_kg,mass_low_kg,mass_high_kg,material_class,prior_disposition,decomposition_action,priority,reason,next_step
ebf3_bias_supply_hv_output_filter,ebf3_control_electrode_bias_supply,0.7,0.231,2.1,electronic,keep_ebf3_leaf,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_bias_supply_terminal_set,ebf3_control_electrode_bias_supply,0.3,0.099,0.9,electronic,keep_ebf3_leaf,import_as_leaf,medium,"Connector/terminal item is low-mass, mixed-material, and rating-sensitive; direct import avoids invented contact/body/dielectric manufacturing.",Count as Earth import for first run; split only for a later connector-specific study.
ebf3_cabin_access_door_hinge_set,ebf3_cabin_access_door,2.5,0.825,7.5,metal,keep_ebf3_leaf,split_implemented_parent,high,"Child BOM implemented; parent is now an assembly boundary, not a terminal route leaf. Child masses are placeholder allocations from the parent mass.",Route its child leaves in the post-split process route queue; do not route this parent as a fabricated leaf.
ebf3_cabin_access_door_latch_set,ebf3_cabin_access_door,2.5,0.825,7.5,metal,keep_ebf3_leaf,split_implemented_parent,high,"Child BOM implemented; parent is now an assembly boundary, not a terminal route leaf. Latch topology remains function-level.",Route its child leaves in the post-split process route queue; do not route this parent as a fabricated leaf.
ebf3_cabin_access_door_panel,ebf3_cabin_access_door,13,4.29,39,metal,keep_ebf3_leaf,route_as_leaf,high,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for vacuum leak rate/outgassing; stiffness/tolerance/interface fit.
ebf3_cabin_access_door_vacuum_seal,ebf3_cabin_access_door,2,0.66,6,polymer,expand_but_flag,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for vacuum leak rate/outgassing.
ebf3_cabin_frame_corner_gusset_set,ebf3_cabin_frame,7,2.31,21,metal,expand_but_flag,route_as_leaf,high,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for vacuum leak rate/outgassing; stiffness/tolerance/interface fit.
ebf3_cabin_frame_member_set,ebf3_cabin_frame,24,7.92,72,metal,expand_but_flag,route_as_leaf,high,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for vacuum leak rate/outgassing; stiffness/tolerance/interface fit.
ebf3_cabin_frame_mounting_foot_set,ebf3_cabin_frame,4,1.32,12,metal,expand_but_flag,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for vacuum leak rate/outgassing; stiffness/tolerance/interface fit.
ebf3_cabin_gun_port_flange_ring,ebf3_cabin_gun_mounting_port,5,1.65,15,metal,keep_ebf3_leaf,route_as_leaf,high,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for vacuum leak rate/outgassing; electron-beam geometry/thermal stability.
ebf3_cabin_gun_port_reinforcement_ring,ebf3_cabin_gun_mounting_port,3,0.99,9,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for vacuum leak rate/outgassing; electron-beam geometry/thermal stability.
ebf3_cabin_lighting_port_frame,ebf3_cabin_lighting_mount_and_port,30,9.9,90,metal,expand_but_flag,route_as_leaf,high,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for vacuum leak rate/outgassing; stiffness/tolerance/interface fit.
ebf3_cabin_lighting_shield_mount,ebf3_cabin_lighting_mount_and_port,12.08,3.986,36.24,metal,keep_ebf3_leaf,route_as_leaf,high,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for vacuum leak rate/outgassing; stiffness/tolerance/interface fit.
ebf3_cabin_positioning_floor_mount_plate,ebf3_cabin_positioning_mount_interface,12,3.96,36,metal,expand_but_flag,route_as_leaf,high,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for vacuum leak rate/outgassing; stiffness/tolerance/interface fit.
ebf3_cabin_positioning_leveling_pad_set,ebf3_cabin_positioning_mount_interface,3,0.99,9,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for vacuum leak rate/outgassing.
ebf3_cabin_sacrificial_liner_retainer_set,ebf3_cabin_sacrificial_liner,2,0.66,6,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for vacuum leak rate/outgassing.
ebf3_cabin_wall_panel_seam_set,ebf3_cabin_wall_panels,3,0.99,9,composite,keep_ebf3_leaf,defer_split_import_fallback,high,Seam is probably a manufacturing/process feature rather than a stable discrete child item; routing it now risks fake BOM fidelity.,"Use first-run import/defer fallback for accounting, then replace with welded seam/leak-test process if cabin manufacturing energy is material."
ebf3_cabin_wall_panel_set,ebf3_cabin_wall_panels,34,11.22,102,metal,keep_ebf3_leaf,route_as_leaf,high,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for vacuum leak rate/outgassing; stiffness/tolerance/interface fit.
ebf3_cabin_wall_stiffener_set,ebf3_cabin_wall_panels,8,2.64,24,metal,keep_ebf3_leaf,route_as_leaf,high,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for vacuum leak rate/outgassing.
ebf3_cabin_wire_feeder_port_flange_ring,ebf3_cabin_wire_feeder_mounting_port,6,1.98,18,metal,keep_ebf3_leaf,route_as_leaf,high,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for vacuum leak rate/outgassing.
ebf3_cabin_wire_feeder_port_reinforcement_ring,ebf3_cabin_wire_feeder_mounting_port,4,1.32,12,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for vacuum leak rate/outgassing.
ebf3_can_bus_connector_set,ebf3_can_bus_interface,0.15,0.0495,0.45,electronic,keep_ebf3_leaf,import_as_leaf,medium,"Connector/terminal item is low-mass, mixed-material, and rating-sensitive; direct import avoids invented contact/body/dielectric manufacturing.",Count as Earth import for first run; split only for a later connector-specific study.
ebf3_can_bus_interface_shield,ebf3_can_bus_interface,0.1,0.05,0.2,metal,keep_ebf3_leaf,route_as_leaf,medium,Simple material/function leaf; decomposition would add process detail but not change first-order import mass.,Route directly to KB material/process candidate.
ebf3_can_transceiver_board,ebf3_can_bus_interface,0.25,0.1,0.625,electronic,keep_ebf3_leaf,import_as_leaf,medium,Complex electronic/optical/electron-gun item with low-confidence local capability; splitting now would be a large research task for limited first-sim value.,Count as Earth import in first simulation; split only if this import mass dominates the result.
ebf3_control_computer_io_connector_set,ebf3_control_computer,0.5,0.165,1.5,electronic,keep_ebf3_leaf,import_as_leaf,high,Complex electronic/optical/electron-gun item with low-confidence local capability; splitting now would be a large research task for limited first-sim value.,Count as Earth import in first simulation; split only if this import mass dominates the result.
ebf3_control_computer_processor_board,ebf3_control_computer,1.2,0.48,3,electronic,keep_ebf3_leaf,import_as_leaf,high,Complex electronic/optical/electron-gun item with low-confidence local capability; splitting now would be a large research task for limited first-sim value.,Count as Earth import in first simulation; split only if this import mass dominates the result.
ebf3_control_computer_storage_module,ebf3_control_computer,0.3,0.12,0.75,electronic,keep_ebf3_leaf,import_as_leaf,medium,Complex electronic/optical/electron-gun item with low-confidence local capability; splitting now would be a large research task for limited first-sim value.,Count as Earth import in first simulation; split only if this import mass dominates the result.
ebf3_control_software,ebf3_controls,0.01,0.005,0.02,software,keep_ebf3_leaf,import_as_leaf,medium,Complex electronic/optical/electron-gun item with low-confidence local capability; splitting now would be a large research task for limited first-sim value.,Count as Earth import in first simulation; split only if this import mass dominates the result.
ebf3_controls_cabinet_mounting_rail_set,ebf3_controls_cabinet,0.9,0.45,1.8,metal,keep_ebf3_leaf,route_as_leaf,medium,Simple material/function leaf; decomposition would add process detail but not change first-order import mass.,Route directly to KB material/process candidate.
ebf3_data_logger_board,ebf3_data_logger_timebase,0.25,0.1,0.625,electronic,keep_ebf3_leaf,import_as_leaf,medium,Complex electronic/optical/electron-gun item with low-confidence local capability; splitting now would be a large research task for limited first-sim value.,Count as Earth import in first simulation; split only if this import mass dominates the result.
ebf3_data_logger_connector_set,ebf3_data_logger_timebase,0.05,0.0165,0.15,electronic,keep_ebf3_leaf,import_as_leaf,medium,"Connector/terminal item is low-mass, mixed-material, and rating-sensitive; direct import avoids invented contact/body/dielectric manufacturing.",Count as Earth import for first run; split only for a later connector-specific study.
ebf3_data_logger_storage_module,ebf3_data_logger_timebase,0.1,0.04,0.25,electronic,keep_ebf3_leaf,import_as_leaf,medium,Complex electronic/optical/electron-gun item with low-confidence local capability; splitting now would be a large research task for limited first-sim value.,Count as Earth import in first simulation; split only if this import mass dominates the result.
ebf3_dc_link_busbar_set,ebf3_dc_link_capacitor_bank,0.9,0.297,2.7,metal,expand_but_flag,route_as_leaf,medium,Already split to a material/function leaf; process routing should use mass bounds plus performance gates rather than further BOM decomposition.,Proceed to KB process route classification with performance gate.
ebf3_dc_link_capacitor_module_set,ebf3_dc_link_capacitor_bank,3,1.2,7.5,electronic,expand_but_flag,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_dc_link_discharge_resistor_set,ebf3_dc_link_capacitor_bank,0.4,0.2,0.8,electronic,keep_ebf3_leaf,import_as_leaf,medium,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_dc_link_mounting_frame,ebf3_dc_link_capacitor_bank,0.7,0.35,1.4,metal,expand_but_flag,route_as_leaf,medium,Already split to a material/function leaf; process routing should use mass bounds plus performance gates rather than further BOM decomposition.,Proceed to KB process route classification with performance gate.
ebf3_disconnect_switch_actuator,ebf3_main_disconnect_switch,0.4,0.2,0.8,polymer,keep_ebf3_leaf,route_as_leaf,medium,Simple material/function leaf; decomposition would add process detail but not change first-order import mass.,Route directly to KB material/process candidate.
ebf3_disconnect_switch_contact_set,ebf3_main_disconnect_switch,0.7,0.35,1.4,electronic,keep_ebf3_leaf,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_drive_roll_carrier_body,ebf3_drive_roll_carrier,0.11,0.055,0.22,metal,keep_ebf3_leaf,route_as_leaf,medium,Simple material/function leaf; decomposition would add process detail but not change first-order import mass.,Route directly to KB material/process candidate.
ebf3_drive_roll_carrier_spacer,ebf3_wire_feeder,0.1,0.05,0.2,metal,keep_ebf3_leaf,route_as_leaf,medium,Simple material/function leaf; decomposition would add process detail but not change first-order import mass.,Route directly to KB material/process candidate.
ebf3_drive_roll_cover_shell,ebf3_drive_roll_cover,0.48,0.24,0.96,metal,keep_ebf3_leaf,route_as_leaf,medium,Simple material/function leaf; decomposition would add process detail but not change first-order import mass.,Route directly to KB material/process candidate.
ebf3_ebf_wire_guide_tip_body,ebf3_ebf_wire_guide_tip,0.12,0.048,0.3,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_ebf_wire_guide_tip_mounting_feature,ebf3_ebf_wire_guide_tip,0.03,0.012,0.075,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_ebf_wire_guide_tip_wear_orifice,ebf3_ebf_wire_guide_tip,0.05,0.02,0.125,ceramic,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_emi_filter_capacitor_set,ebf3_emi_filter,0.7,0.28,1.75,electronic,expand_but_flag,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_emi_filter_choke_set,ebf3_emi_filter,0.8,0.4,1.6,electronic,expand_but_flag,split_implemented_parent,high,"Child BOM implemented into core, winding, insulation/support, terminals, and mounting base. Ratings and material choices remain unresolved.",Route its child leaves in the post-split process route queue; do not route this parent as a fabricated leaf.
ebf3_emi_filter_enclosure,ebf3_emi_filter,0.3,0.15,0.6,metal,expand_but_flag,route_as_leaf,medium,Already split to a material/function leaf; process routing should use mass bounds plus performance gates rather than further BOM decomposition.,Proceed to KB process route classification with performance gate.
ebf3_feed_liner_end_ferrule_set,ebf3_feed_liner,0.08,0.04,0.16,metal,keep_ebf3_leaf,route_as_leaf,medium,Simple material/function leaf; decomposition would add process detail but not change first-order import mass.,Route directly to KB material/process candidate.
ebf3_feed_liner_tube,ebf3_feed_liner,0.28,0.14,0.56,composite,keep_ebf3_leaf,refined_to_simulation_material,medium,Architecture selected as a replaceable metallic guide tube; no lower child BOM is needed before process routing.,"Route as a single leaf with bore, surface finish, wear, and vacuum compatibility gates."
ebf3_fixed_side_screw_angular_contact_bearing_set,ebf3_fixed_side_screw_bearing_blocks,0.35,0.14,0.875,precision_metal,expand_but_flag,defer_split_import_fallback,medium,"Precision mechanical part may be locally manufacturable eventually, but low mass or hidden tolerances make direct import acceptable for first sim.",Import for conservative first run; split into races/gears/shafts/lube only if sensitivity demands.
ebf3_fixed_side_screw_bearing_block_body_set,ebf3_fixed_side_screw_bearing_blocks,0.5,0.2,1.25,precision_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_fixed_side_screw_bearing_retainer_set,ebf3_fixed_side_screw_bearing_blocks,0.15,0.06,0.375,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_floating_side_screw_bearing_block_body_set,ebf3_floating_side_screw_bearing_blocks,0.55,0.22,1.375,precision_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_floating_side_screw_bearing_retainer_set,ebf3_floating_side_screw_bearing_blocks,0.15,0.06,0.375,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_floating_side_screw_radial_bearing_set,ebf3_floating_side_screw_bearing_blocks,0.3,0.12,0.75,precision_metal,expand_but_flag,defer_split_import_fallback,medium,"Precision mechanical part may be locally manufacturable eventually, but low mass or hidden tolerances make direct import acceptable for first sim.",Import for conservative first run; split into races/gears/shafts/lube only if sensitivity demands.
ebf3_full_bridge_dc_busbar_set,ebf3_full_bridge_inverter,0.9,0.297,2.7,metal,expand_but_flag,route_as_leaf,medium,Already split to a material/function leaf; process routing should use mass bounds plus performance gates rather than further BOM decomposition.,Proceed to KB process route classification with performance gate.
ebf3_full_bridge_gate_driver_board_set,ebf3_full_bridge_inverter,0.8,0.32,2,electronic,keep_ebf3_leaf,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_full_bridge_heat_sink,ebf3_full_bridge_inverter,1.5,0.75,3,metal,expand_but_flag,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for thermal load/temperature rise.
ebf3_full_bridge_power_semiconductor_module_set,ebf3_full_bridge_inverter,2.2,0.88,5.5,electronic,keep_ebf3_leaf,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_full_bridge_snubber_component_set,ebf3_full_bridge_inverter,0.6,0.3,1.2,electronic,keep_ebf3_leaf,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_gun_anode,ebf3_fixed_electron_beam_gun,0.25,0.0825,0.75,refractory_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability.
ebf3_gun_beam_boundary_collector_electrode,ebf3_gun_beam_boundary_pickup,0.12,0.0396,0.36,conductive_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability.
ebf3_gun_beam_boundary_pickup_insulator,ebf3_gun_beam_boundary_pickup,0.06,0.0198,0.18,ceramic,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for voltage/current/dielectric rating; electron-beam geometry/thermal stability.
ebf3_gun_cathode,ebf3_fixed_electron_beam_gun,0.02,0.0066,0.06,scarce_trace_refractory_metal,keep_ebf3_leaf,import_as_leaf,medium,Complex electronic/optical/electron-gun item with low-confidence local capability; splitting now would be a large research task for limited first-sim value.,Count as Earth import in first simulation; split only if this import mass dominates the result.
ebf3_gun_cathode_cartridge_base,ebf3_gun_cathode_cartridge,0.18,0.0594,0.54,composite,keep_ebf3_leaf,defer_split_import_fallback,medium,Composite/mixed-material leaf is small; splitting may be unnecessary for first sim unless it controls a critical capability.,Use import fallback now; split only if sensitivity/high-risk subsystem requires it.
ebf3_gun_cathode_ceramic_standoff_set,ebf3_gun_cathode_cartridge,0.05,0.0165,0.15,ceramic,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability.
ebf3_gun_cathode_current_lead_pair,ebf3_gun_cathode_heater_leads,0.1,0.033,0.3,scarce_trace_refractory_metal,keep_ebf3_leaf,import_as_leaf,medium,Complex electronic/optical/electron-gun item with low-confidence local capability; splitting now would be a large research task for limited first-sim value.,Count as Earth import in first simulation; split only if this import mass dominates the result.
ebf3_gun_cathode_hot_contact_pair,ebf3_gun_cathode_cartridge,0.03,0.0099,0.09,scarce_trace_refractory_metal,keep_ebf3_leaf,import_as_leaf,medium,Complex electronic/optical/electron-gun item with low-confidence local capability; splitting now would be a large research task for limited first-sim value.,Count as Earth import in first simulation; split only if this import mass dominates the result.
ebf3_gun_cathode_lead_termination_set,ebf3_gun_cathode_heater_leads,0.05,0.0165,0.15,composite,keep_ebf3_leaf,import_as_leaf,medium,Complex electronic/optical/electron-gun item with low-confidence local capability; splitting now would be a large research task for limited first-sim value.,Count as Earth import in first simulation; split only if this import mass dominates the result.
ebf3_gun_cathode_locating_clamp,ebf3_gun_cathode_cartridge,0.04,0.0132,0.12,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability; stiffness/tolerance/interface fit.
ebf3_gun_cathode_radiation_shield_clip_set,ebf3_gun_cathode_radiation_shield,0.01,0.0033,0.03,refractory_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability.
ebf3_gun_cathode_radiation_shield_foil_stack,ebf3_gun_cathode_radiation_shield,0.07,0.0231,0.21,refractory_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability.
ebf3_gun_cathode_radiation_shield_spacer_set,ebf3_gun_cathode_radiation_shield,0.02,0.0066,0.06,refractory_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability.
ebf3_gun_column_body_shell,ebf3_gun_column,2.2,0.726,6.6,vacuum_structural_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability.
ebf3_gun_column_gun_side_mating_flange,ebf3_gun_column,0.55,0.1815,1.65,vacuum_structural_metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability.
ebf3_gun_column_internal_support_frame,ebf3_gun_column,0.75,0.2475,2.25,vacuum_structural_metal,expand_but_flag,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability; stiffness/tolerance/interface fit.
