item_id,item_path,old_material,new_material,route_material_basis,policy,mass_kg
ebf3_controls_cabinet_door_and_latch,kb/items/parts/ebf3_controls_cabinet_door_and_latch.yaml,metal,steel,steel_plate_or_sheet,sensitivity_flag,0.69
ebf3_controls_cabinet_mounting_rail_set,kb/items/parts/ebf3_controls_cabinet_mounting_rail_set.yaml,metal,steel,steel_plate_or_sheet,local_nominal,0.9
ebf3_dc_link_busbar_set,kb/items/parts/ebf3_dc_link_busbar_set.yaml,metal,aluminum,aluminum_conductor,sensitivity_flag,0.9
ebf3_dc_link_mounting_frame,kb/items/parts/ebf3_dc_link_mounting_frame.yaml,metal,steel,steel_structural_stock,local_nominal,0.7
ebf3_disconnect_switch_housing,kb/items/parts/ebf3_disconnect_switch_housing.yaml,metal,steel_or_aluminum,steel_or_aluminum_housing,local_nominal,0.6
ebf3_drive_roll_carrier_body,kb/items/parts/ebf3_drive_roll_carrier_body.yaml,metal,steel,steel_stock,local_nominal,0.11
ebf3_drive_roll_carrier_spacer,kb/items/parts/ebf3_drive_roll_carrier_spacer.yaml,metal,steel,steel_spacer,local_nominal,0.1
ebf3_drive_roll_cover_fastener_tab_set,kb/items/parts/ebf3_drive_roll_cover_fastener_tab_set.yaml,metal,steel,steel_plate_or_sheet,local_nominal,0.12
ebf3_drive_roll_cover_shell,kb/items/parts/ebf3_drive_roll_cover_shell.yaml,metal,steel,steel_sheet_1mm,sensitivity_flag,0.48
ebf3_ebf_wire_guide_tip_body,kb/items/parts/ebf3_ebf_wire_guide_tip_body.yaml,metal,hardened_steel,hardened_steel,import_until_gap_resolved,0.12
ebf3_ebf_wire_guide_tip_mounting_feature,kb/items/parts/ebf3_ebf_wire_guide_tip_mounting_feature.yaml,metal,steel,steel,local_nominal,0.03
ebf3_emi_filter_choke_mounting_base_set,kb/items/parts/ebf3_emi_filter_choke_mounting_base_set.yaml,metal,steel_or_aluminum,aluminum_or_steel_mount,local_nominal,0.07
ebf3_emi_filter_enclosure,kb/items/parts/ebf3_emi_filter_enclosure.yaml,metal,steel,steel_plate_or_sheet,local_nominal,0.3
ebf3_feed_liner_end_ferrule_set,kb/items/parts/ebf3_feed_liner_end_ferrule_set.yaml,metal,steel,steel,local_nominal,0.08
ebf3_fixed_side_screw_bearing_retainer_set,kb/items/parts/ebf3_fixed_side_screw_bearing_retainer_set.yaml,metal,steel,steel,sensitivity_flag,0.15
ebf3_floating_side_screw_bearing_retainer_set,kb/items/parts/ebf3_floating_side_screw_bearing_retainer_set.yaml,metal,steel,steel_retainer,local_nominal,0.15
ebf3_full_bridge_dc_busbar_set,kb/items/parts/ebf3_full_bridge_dc_busbar_set.yaml,metal,aluminum,aluminum_conductor,sensitivity_flag,0.9
ebf3_full_bridge_heat_sink,kb/items/parts/ebf3_full_bridge_heat_sink.yaml,metal,aluminum,aluminum,sensitivity_flag,1.5
ebf3_gun_cathode_locating_clamp,kb/items/parts/ebf3_gun_cathode_locating_clamp.yaml,metal,refractory_metal,tungsten_or_tantalum_refractory_part,import_nominal,0.04
ebf3_gun_dynamic_lens_pole_pieces,kb/items/parts/ebf3_gun_dynamic_lens_pole_pieces.yaml,metal,electrical_steel_or_soft_iron,soft_iron_or_low_carbon_steel,import_until_gap_resolved,0.3
ebf3_gun_dynamic_lens_yoke,kb/items/parts/ebf3_gun_dynamic_lens_yoke.yaml,metal,electrical_steel_or_soft_iron,electrical_steel_sheet,import_until_gap_resolved,0.4
ebf3_gun_feeder_wire_path_alignment_sleeve,kb/items/parts/ebf3_gun_feeder_wire_path_alignment_sleeve.yaml,metal,steel,steel,local_nominal,0.12
ebf3_gun_hv_input_flange_housing,kb/items/parts/ebf3_gun_hv_input_flange_housing.yaml,metal,steel,steel_stock,sensitivity_flag,0.28
ebf3_gun_hv_insulator_mounting_collar_set,kb/items/parts/ebf3_gun_hv_insulator_mounting_collar_set.yaml,metal,alumina_ceramic,alumina_ceramic_v0,import_until_gap_resolved,0.12
ebf3_gun_main_lens_pole_pieces,kb/items/parts/ebf3_gun_main_lens_pole_pieces.yaml,metal,electrical_steel_or_soft_iron,soft_iron_or_electrical_steel,import_until_gap_resolved,0.7
ebf3_gun_main_lens_yoke,kb/items/parts/ebf3_gun_main_lens_yoke.yaml,metal,electrical_steel_or_soft_iron,soft_iron_or_low_carbon_steel,import_until_gap_resolved,0.6
ebf3_gun_trajectory_corrector_mount,kb/items/parts/ebf3_gun_trajectory_corrector_mount.yaml,metal,steel,steel_stock,sensitivity_flag,0.04
ebf3_gun_trajectory_corrector_pole_piece_set,kb/items/parts/ebf3_gun_trajectory_corrector_pole_piece_set.yaml,metal,electrical_steel_or_soft_iron,electrical_steel,import_until_gap_resolved,0.18
ebf3_heater_supply_enclosure,kb/items/parts/ebf3_heater_supply_enclosure.yaml,metal,steel,steel,local_nominal,0.6
ebf3_heater_supply_heat_sink,kb/items/parts/ebf3_heater_supply_heat_sink.yaml,metal,aluminum,aluminum_heat_sink,sensitivity_flag,1.2
ebf3_hv_drain_valve,kb/items/parts/ebf3_hv_drain_valve.yaml,metal,steel,steel_stock,import_until_gap_resolved,0.2
ebf3_hv_fill_port,kb/items/parts/ebf3_hv_fill_port.yaml,metal,steel,steel,sensitivity_flag,0.12
ebf3_hv_lead_conductor_set,kb/items/parts/ebf3_hv_lead_conductor_set.yaml,metal,aluminum,aluminum_conductor,import_until_gap_resolved,0.6
ebf3_hv_pressure_relief_valve_body,kb/items/parts/ebf3_hv_pressure_relief_valve_body.yaml,metal,steel,steel_stock,sensitivity_flag,0.22
ebf3_hv_tank_bonding_anchor,kb/items/parts/ebf3_hv_tank_bonding_anchor.yaml,metal,steel_or_aluminum,steel_or_aluminum_grounding_anchor,local_nominal,0.08
ebf3_hv_tank_ground_lug,kb/items/parts/ebf3_hv_tank_ground_lug.yaml,metal,steel_or_aluminum,aluminum_or_steel_lug,local_nominal,0.12
ebf3_hv_tank_lid,kb/items/parts/ebf3_hv_tank_lid.yaml,metal,steel,steel,sensitivity_flag,2.0
ebf3_hv_tank_shell,kb/items/parts/ebf3_hv_tank_shell.yaml,metal,steel,steel_sheet_or_shell,import_until_gap_resolved,8.0
ebf3_hv_tank_temperature_sensor_mount,kb/items/parts/ebf3_hv_tank_temperature_sensor_mount.yaml,metal,steel,steel,sensitivity_flag,0.02
ebf3_input_rectifier_busbar_set,kb/items/parts/ebf3_input_rectifier_busbar_set.yaml,metal,aluminum,aluminum_busbar,sensitivity_flag,0.7
ebf3_input_rectifier_heat_sink,kb/items/parts/ebf3_input_rectifier_heat_sink.yaml,metal,aluminum,aluminum_heat_sink,sensitivity_flag,0.8
ebf3_intermediate_wire_guide_body,kb/items/parts/ebf3_intermediate_wire_guide_body.yaml,metal,steel,steel_stock,local_nominal,0.16
ebf3_linear_encoder_mounting_bracket_set,kb/items/parts/ebf3_linear_encoder_mounting_bracket_set.yaml,metal,steel,steel,local_nominal,0.3
ebf3_linear_guide_carriage_retainer_set,kb/items/parts/ebf3_linear_guide_carriage_retainer_set.yaml,metal,steel,steel,sensitivity_flag,0.25
ebf3_linear_guide_rail_body_set,kb/items/parts/ebf3_linear_guide_rail_body_set.yaml,metal,hardened_steel,hardened_steel_rail,import_until_gap_resolved,2.4
ebf3_linear_guide_rail_end_stop_set,kb/items/parts/ebf3_linear_guide_rail_end_stop_set.yaml,metal,steel,steel_stock,local_nominal,0.3
ebf3_lv_distribution_busbar_set,kb/items/parts/ebf3_lv_distribution_busbar_set.yaml,metal,aluminum,aluminum_busbar,local_nominal,1.1
ebf3_lv_distribution_panel_plate,kb/items/parts/ebf3_lv_distribution_panel_plate.yaml,metal,steel,steel_plate_or_sheet,local_nominal,0.8
ebf3_matching_network_busbar_set,kb/items/parts/ebf3_matching_network_busbar_set.yaml,metal,aluminum,aluminum_alloy_ingot,sensitivity_flag,0.6
ebf3_matching_network_inductor_mounting_base_set,kb/items/parts/ebf3_matching_network_inductor_mounting_base_set.yaml,metal,steel_or_aluminum,steel_or_aluminum,local_nominal,0.14
ebf3_matching_network_mounting_frame,kb/items/parts/ebf3_matching_network_mounting_frame.yaml,metal,steel,steel_structural_stock,local_nominal,0.9
ebf3_motion_drive_heat_spreader,kb/items/parts/ebf3_motion_drive_heat_spreader.yaml,metal,aluminum,aluminum,sensitivity_flag,0.5
ebf3_motor_coupling_clamp_screw_set,kb/items/parts/ebf3_motor_coupling_clamp_screw_set.yaml,metal,steel,steel_fastener_set,sensitivity_flag,0.08
ebf3_motor_coupling_hub_set,kb/items/parts/ebf3_motor_coupling_hub_set.yaml,metal,steel,steel_hub,local_nominal,0.28
ebf3_motor_mount_bracket_fastener_interface_set,kb/items/parts/ebf3_motor_mount_bracket_fastener_interface_set.yaml,metal,steel,steel_stock,sensitivity_flag,0.15
ebf3_motor_mount_bracket_plate_set,kb/items/parts/ebf3_motor_mount_bracket_plate_set.yaml,metal,steel,steel,local_nominal,0.65
ebf3_motor_mount_bracket_spacer_set,kb/items/parts/ebf3_motor_mount_bracket_spacer_set.yaml,metal,steel,steel,local_nominal,0.2
ebf3_multi_channel_driver_enclosure,kb/items/parts/ebf3_multi_channel_driver_enclosure.yaml,metal,steel,steel,local_nominal,0.6
ebf3_multi_channel_heat_sink,kb/items/parts/ebf3_multi_channel_heat_sink.yaml,metal,aluminum,aluminum_heat_sink,sensitivity_flag,1.2
ebf3_positioning_axis_base_plate,kb/items/parts/ebf3_positioning_axis_base_plate.yaml,metal,steel,steel_plate_or_sheet,local_nominal,3.0
ebf3_positioning_base_frame_crossmember_set,kb/items/parts/ebf3_positioning_base_frame_crossmember_set.yaml,metal,steel,steel_stock,local_nominal,2.2
ebf3_positioning_base_frame_mounting_foot_set,kb/items/parts/ebf3_positioning_base_frame_mounting_foot_set.yaml,metal,steel,steel,local_nominal,0.8
ebf3_positioning_base_frame_rail_set,kb/items/parts/ebf3_positioning_base_frame_rail_set.yaml,metal,steel,steel_structural_stock,sensitivity_flag,4.0
ebf3_positioning_bellows_end_retainer_set,kb/items/parts/ebf3_positioning_bellows_end_retainer_set.yaml,metal,steel,steel_retainer,local_nominal,0.18
ebf3_positioning_bellows_folded_cover,kb/items/parts/ebf3_positioning_bellows_folded_cover.yaml,metal,steel,steel_plate_or_sheet,import_until_gap_resolved,0.55
ebf3_positioning_bellows_mounting_tab_set,kb/items/parts/ebf3_positioning_bellows_mounting_tab_set.yaml,metal,steel,steel,local_nominal,0.07
ebf3_positioning_feedthrough_flange,kb/items/parts/ebf3_positioning_feedthrough_flange.yaml,metal,steel,steel,sensitivity_flag,0.2
ebf3_positioning_motor_cable_shield_set,kb/items/parts/ebf3_positioning_motor_cable_shield_set.yaml,metal,steel_or_aluminum,aluminum_or_steel_shield,import_until_gap_resolved,0.16
ebf3_positioning_motor_power_conductor_set,kb/items/parts/ebf3_positioning_motor_power_conductor_set.yaml,metal,aluminum,aluminum_wire_with_vacuum_insulation,import_until_gap_resolved,0.32
ebf3_positioning_signal_cable_shield_set,kb/items/parts/ebf3_positioning_signal_cable_shield_set.yaml,metal,steel_or_aluminum,plain_steel_or_aluminum_braid,import_until_gap_resolved,0.18
ebf3_positioning_signal_conductor_set,kb/items/parts/ebf3_positioning_signal_conductor_set.yaml,metal,aluminum,aluminum_signal_conductor,import_until_gap_resolved,0.24
ebf3_power_electronics_cold_plate_port_interface_set,kb/items/parts/ebf3_power_electronics_cold_plate_port_interface_set.yaml,metal,aluminum,aluminum_cold_plate_port,sensitivity_flag,0.3
ebf3_power_electronics_conductive_cooling_line_or_strap_set,kb/items/parts/ebf3_power_electronics_conductive_cooling_line_or_strap_set.yaml,metal,aluminum,aluminum_alloy_ingot,local_nominal,0.3
ebf3_power_electronics_cooling_line_support_clamp_set,kb/items/parts/ebf3_power_electronics_cooling_line_support_clamp_set.yaml,metal,steel,steel,local_nominal,0.1
ebf3_power_electronics_cooling_plate_set,kb/items/parts/ebf3_power_electronics_cooling_plate_set.yaml,metal,aluminum,aluminum_plate,sensitivity_flag,2.0
ebf3_power_electronics_heat_sink_set,kb/items/parts/ebf3_power_electronics_heat_sink_set.yaml,metal,aluminum,aluminum_heat_sink,sensitivity_flag,3.0
ebf3_power_input_cable_conductor_set,kb/items/parts/ebf3_power_input_cable_conductor_set.yaml,metal,aluminum_or_copper_conductor,aluminum_or_copper_power_conductor,import_until_gap_resolved,0.7
ebf3_power_input_gland_body,kb/items/parts/ebf3_power_input_gland_body.yaml,metal,steel,steel,sensitivity_flag,0.5
ebf3_pressure_adjustment_threaded_insert,kb/items/parts/ebf3_pressure_adjustment_threaded_insert.yaml,metal,steel,steel,local_nominal,0.07
ebf3_pressure_spring,kb/items/parts/ebf3_pressure_spring.yaml,metal,steel,steel_bar_stock,import_until_gap_resolved,0.3
ebf3_primary_transformer_core,kb/items/parts/ebf3_primary_transformer_core.yaml,metal,electrical_steel_or_soft_iron,electrical_steel_sheet,import_until_gap_resolved,1.5
ebf3_primary_transformer_mount,kb/items/parts/ebf3_primary_transformer_mount.yaml,metal,steel,steel_stock,local_nominal,0.6
ebf3_primary_transformer_winding_set,kb/items/parts/ebf3_primary_transformer_winding_set.yaml,metal,aluminum,aluminum_conductor,import_until_gap_resolved,1.3
ebf3_realtime_processor_enclosure,kb/items/parts/ebf3_realtime_processor_enclosure.yaml,metal,steel,steel_plate_or_sheet,local_nominal,0.25
ebf3_ripple_inductor_core,kb/items/parts/ebf3_ripple_inductor_core.yaml,metal,electrical_steel_or_soft_iron,electrical_steel_or_ferrite_core,import_until_gap_resolved,0.35
ebf3_ripple_inductor_mount,kb/items/parts/ebf3_ripple_inductor_mount.yaml,metal,steel,steel_stock,local_nominal,0.08
ebf3_ripple_inductor_winding,kb/items/parts/ebf3_ripple_inductor_winding.yaml,metal,aluminum,aluminum_conductor,import_until_gap_resolved,0.45
ebf3_rotary_axis_bearing_inner_ring,kb/items/parts/ebf3_rotary_axis_bearing_inner_ring.yaml,metal,bearing_steel,bearing_steel,import_until_gap_resolved,1.1
ebf3_rotary_axis_bearing_outer_ring,kb/items/parts/ebf3_rotary_axis_bearing_outer_ring.yaml,metal,bearing_steel,hardened_bearing_steel,import_until_gap_resolved,1.3
ebf3_rotary_axis_bearing_retainer,kb/items/parts/ebf3_rotary_axis_bearing_retainer.yaml,metal,steel,steel_stock,local_nominal,0.4
ebf3_rotary_axis_bearing_rolling_element_set,kb/items/parts/ebf3_rotary_axis_bearing_rolling_element_set.yaml,metal,bearing_steel,bearing_steel,import_until_gap_resolved,1.2
ebf3_safety_logic_enclosure,kb/items/parts/ebf3_safety_logic_enclosure.yaml,metal,steel,steel_plate_or_sheet,local_nominal,0.25
ebf3_sensor_interface_shield,kb/items/parts/ebf3_sensor_interface_shield.yaml,metal,aluminum,aluminum_sheet,local_nominal,0.05
ebf3_spatter_shield_mounting_tab_set,kb/items/parts/ebf3_spatter_shield_mounting_tab_set.yaml,metal,steel_or_aluminum,steel_or_aluminum,local_nominal,0.15
ebf3_spatter_shield_panel_set,kb/items/parts/ebf3_spatter_shield_panel_set.yaml,metal,steel,steel_plate_or_sheet,local_nominal,1.1
ebf3_spatter_shield_retainer_set,kb/items/parts/ebf3_spatter_shield_retainer_set.yaml,metal,steel,steel_stock,local_nominal,0.25
ebf3_spool_brake_adjuster_knob,kb/items/parts/ebf3_spool_brake_adjuster_knob.yaml,metal,steel,steel_stock,local_nominal,0.07
ebf3_spool_brake_adjuster_lock_nut,kb/items/parts/ebf3_spool_brake_adjuster_lock_nut.yaml,metal,steel,steel_fastener_set,local_nominal,0.03
ebf3_spool_brake_adjuster_screw,kb/items/parts/ebf3_spool_brake_adjuster_screw.yaml,metal,steel,steel_fastener_set,local_nominal,0.1
ebf3_spool_brake_washer,kb/items/parts/ebf3_spool_brake_washer.yaml,metal,steel,steel,sensitivity_flag,0.08
ebf3_spool_hub,kb/items/parts/ebf3_spool_hub.yaml,metal,steel,steel,local_nominal,0.6
ebf3_spool_retaining_ring,kb/items/parts/ebf3_spool_retaining_ring.yaml,metal,steel,steel_retaining_ring,import_until_gap_resolved,0.03
ebf3_spool_support_shaft,kb/items/parts/ebf3_spool_support_shaft.yaml,metal,steel,steel_bar_stock,sensitivity_flag,0.5
ebf3_substrate_clamp_jaw_set,kb/items/parts/ebf3_substrate_clamp_jaw_set.yaml,metal,steel,steel,sensitivity_flag,0.55
ebf3_substrate_clamp_screw_set,kb/items/parts/ebf3_substrate_clamp_screw_set.yaml,metal,steel,steel_fastener_set,sensitivity_flag,0.25
ebf3_tank_side_bushing_central_conductor,kb/items/parts/ebf3_tank_side_bushing_central_conductor.yaml,metal,aluminum,aluminum_conductor,sensitivity_flag,0.25
ebf3_tank_side_bushing_mounting_flange,kb/items/parts/ebf3_tank_side_bushing_mounting_flange.yaml,metal,steel,steel,sensitivity_flag,0.3
ebf3_thermal_imager_housing,kb/items/parts/ebf3_thermal_imager_housing.yaml,metal,aluminum,aluminum_housing,local_nominal,0.2
ebf3_visible_camera_housing,kb/items/parts/ebf3_visible_camera_housing.yaml,metal,aluminum,aluminum_housing,local_nominal,0.3
ebf3_wire_feed_control_shield,kb/items/parts/ebf3_wire_feed_control_shield.yaml,metal,steel,steel_plate_or_sheet,local_nominal,0.1
ebf3_wire_feed_drive_roll_body,kb/items/parts/ebf3_wire_feed_drive_roll_body.yaml,metal,hardened_steel,hardened_steel,import_until_gap_resolved,0.22
ebf3_wire_feed_drive_roll_groove_profile,kb/items/parts/ebf3_wire_feed_drive_roll_groove_profile.yaml,metal,hardened_steel,hardened_steel,import_until_gap_resolved,0.05
ebf3_wire_feed_drive_roll_set_screw_or_key,kb/items/parts/ebf3_wire_feed_drive_roll_set_screw_or_key.yaml,metal,steel,steel_fastener_set,sensitivity_flag,0.03
ebf3_wire_feed_encoder_target,kb/items/parts/ebf3_wire_feed_encoder_target.yaml,metal,steel,steel_encoder_target,import_until_gap_resolved,0.08
ebf3_wire_feed_idler_arm,kb/items/parts/ebf3_wire_feed_idler_arm.yaml,metal,steel,steel_stock,local_nominal,0.4
ebf3_wire_feed_motor_housing,kb/items/parts/ebf3_wire_feed_motor_housing.yaml,metal,steel,steel_stock,local_nominal,0.2
ebf3_wire_feed_motor_mount_clamp_alignment_pin_set,kb/items/parts/ebf3_wire_feed_motor_mount_clamp_alignment_pin_set.yaml,metal,steel,steel,sensitivity_flag,0.04
ebf3_wire_feed_motor_mount_clamp_fastener_set,kb/items/parts/ebf3_wire_feed_motor_mount_clamp_fastener_set.yaml,metal,steel,steel_fastener_set,sensitivity_flag,0.08
ebf3_wire_feed_motor_mount_clamp_half_set,kb/items/parts/ebf3_wire_feed_motor_mount_clamp_half_set.yaml,metal,steel,steel_clamp_halves,local_nominal,0.28
ebf3_wire_feed_pressure_arm_pivot_pin,kb/items/parts/ebf3_wire_feed_pressure_arm_pivot_pin.yaml,metal,steel,steel,sensitivity_flag,0.04
ebf3_wire_feed_pressure_roll,kb/items/parts/ebf3_wire_feed_pressure_roll.yaml,metal,steel,steel,import_until_gap_resolved,0.25
ebf3_wire_feeder_base_mounting_slot_set,kb/items/parts/ebf3_wire_feeder_base_mounting_slot_set.yaml,metal,steel,steel,local_nominal,0.36
ebf3_wire_feeder_base_plate,kb/items/parts/ebf3_wire_feeder_base_plate.yaml,metal,steel,steel_plate,local_nominal,1.8
ebf3_wire_feeder_base_standoff_set,kb/items/parts/ebf3_wire_feeder_base_standoff_set.yaml,metal,alumina_ceramic,alumina_ceramic_v0,sensitivity_flag,0.7
ebf3_wire_feeder_base_stiffener,kb/items/parts/ebf3_wire_feeder_base_stiffener.yaml,metal,steel,steel,local_nominal,0.4
ebf3_wire_feeder_feedthrough_flange,kb/items/parts/ebf3_wire_feeder_feedthrough_flange.yaml,metal,steel,steel_stock,sensitivity_flag,0.08
ebf3_wire_feeder_gun_bracket_body,kb/items/parts/ebf3_wire_feeder_gun_bracket_body.yaml,metal,steel,steel,sensitivity_flag,0.8
ebf3_wire_feeder_gun_bracket_fastener_interface_set,kb/items/parts/ebf3_wire_feeder_gun_bracket_fastener_interface_set.yaml,metal,steel,steel_fastener_interface,sensitivity_flag,0.2
ebf3_wire_inlet_guide,kb/items/parts/ebf3_wire_inlet_guide.yaml,metal,steel,steel_wire_guide,local_nominal,0.15
ebf3_wire_outlet_guide_tube,kb/items/parts/ebf3_wire_outlet_guide_tube.yaml,metal,steel,steel_stock,sensitivity_flag,0.25
ebf3_wire_spool_core,kb/items/parts/ebf3_wire_spool_core.yaml,metal,steel,steel_stock,local_nominal,0.35
ebf3_wire_spool_flange_set,kb/items/parts/ebf3_wire_spool_flange_set.yaml,metal,steel,steel,local_nominal,0.35
ebf3_wire_spool_retention_feature_set,kb/items/parts/ebf3_wire_spool_retention_feature_set.yaml,metal,steel,steel,local_nominal,0.1
ebf3_x_axis_ball_screw_shaft,kb/items/parts/ebf3_x_axis_ball_screw_shaft.yaml,metal,hardened_steel,hardened_steel_bar,import_until_gap_resolved,1.0
ebf3_y_axis_ball_screw_shaft,kb/items/parts/ebf3_y_axis_ball_screw_shaft.yaml,metal,steel,steel_bar_stock,import_until_gap_resolved,1.0
ebf3_z_axis_ball_screw_shaft,kb/items/parts/ebf3_z_axis_ball_screw_shaft.yaml,metal,bearing_steel,bearing_steel,import_until_gap_resolved,1.0
ebf3_z_axis_brake_mount,kb/items/parts/ebf3_z_axis_brake_mount.yaml,metal,steel,steel_mount,local_nominal,0.2
ebf3_z_axis_counterbalance_anchor_set,kb/items/parts/ebf3_z_axis_counterbalance_anchor_set.yaml,metal,steel,steel_stock,local_nominal,0.25
