item_id,item_path,mass_kg,item_material,route_material_basis,route_decision,simulation_import_mass_policy,recipe,is_import,issue_types,severity,name,notes
ebf3_beam_current_return_fastener_interface_set,kb/items/parts/ebf3_beam_current_return_fastener_interface_set.yaml,0.06,steel,steel_fastener_interface,lunar_candidate_flagged,sensitivity_flag,recipe_ebf3_beam_current_return_fastener_interface_set,,,,EBF3 beam current return fastener interface set,"Child of ebf3_beam_current_return_strap. Local fastener/interface set for attaching the platform/substrate continuity strap. This item is limited to the local platform/substrate continuity interface. Fastener type, isolation washers, contact preparation, and first-pass manufacturing/import route is "
ebf3_beam_current_return_flexible_conductor,kb/items/parts/ebf3_beam_current_return_flexible_conductor.yaml,0.32,aluminum,aluminum_flexible_conductor,route_gap,import_until_gap_resolved,,True,,,EBF3 beam current return flexible conductor,"Child of ebf3_beam_current_return_strap. Flexible conductor for platform/substrate beam-current continuity in the positioning package. This is not the complete system-level HV return conductor. Conductor sizing, material, routing, surface treatment, and first-pass manufacturing/import route is recor"
ebf3_beam_current_return_lug_set,kb/items/parts/ebf3_beam_current_return_lug_set.yaml,0.12,aluminum,aluminum_conductor,lunar_candidate_flagged,sensitivity_flag,recipe_ebf3_beam_current_return_lug_set,,,,EBF3 beam current return lug set,"Child of ebf3_beam_current_return_strap. Lug set for connecting the platform/substrate continuity strap to its local attachment points. This does not define the global HV return bus. Lug geometry, contact surface, fastener pattern, material, and first-pass manufacturing/import route is recorded in t"
ebf3_bias_supply_converter_board,kb/items/parts/ebf3_bias_supply_converter_board.yaml,1.1,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,high,EBF3 bias supply converter board,Child of ebf3_control_electrode_bias_supply. Converter board for EBF3 control electrode bias supply.
ebf3_bias_supply_hv_output_filter,kb/items/parts/ebf3_bias_supply_hv_output_filter.yaml,0.7,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,medium,EBF3 bias supply hv output filter,Child of ebf3_control_electrode_bias_supply. Hv output filter for EBF3 control electrode bias supply.
ebf3_bias_supply_terminal_set,kb/items/parts/ebf3_bias_supply_terminal_set.yaml,0.3,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,medium,EBF3 bias supply terminal set,Child of ebf3_control_electrode_bias_supply. Terminal set for EBF3 control electrode bias supply.
ebf3_cabin_access_door_hinge_bushing_or_bearing_set,kb/items/parts/ebf3_cabin_access_door_hinge_bushing_or_bearing_set.yaml,0.5,bearing_steel,steel_bushing_or_bearing_steel,route_gap,import_until_gap_resolved,,True,,,EBF3 cabin access door hinge bushing or bearing set,Bushing/bearing or sliding-contact hardware for the EBF3 cabin access door hinge set. Child of `ebf3_cabin_access_door_hinge_set` from research/ebf3_bom_sources/organized/split_before_route_leaf_decomposition_plan.md. This is not local-ready and has no manufacturing recipe.
ebf3_cabin_access_door_hinge_fastener_interface_set,kb/items/parts/ebf3_cabin_access_door_hinge_fastener_interface_set.yaml,0.7,steel,steel_stock,lunar_candidate_flagged,sensitivity_flag,recipe_ebf3_cabin_access_door_hinge_fastener_interface_set,,,,EBF3 cabin access door hinge fastener interface set,Fastener/interface hardware for mounting the EBF3 cabin access door hinge set. Child of `ebf3_cabin_access_door_hinge_set` from research/ebf3_bom_sources/organized/split_before_route_leaf_decomposition_plan.md. This is not local-ready and has no manufacturing recipe.
ebf3_cabin_access_door_hinge_leaf_or_bracket_set,kb/items/parts/ebf3_cabin_access_door_hinge_leaf_or_bracket_set.yaml,0.9,steel,steel,lunar_candidate,local_nominal,recipe_ebf3_cabin_access_door_hinge_leaf_or_bracket_set,,,,EBF3 cabin access door hinge leaf or bracket set,Hinge leaf/bracket hardware for the EBF3 cabin access door hinge set. Child of `ebf3_cabin_access_door_hinge_set` from research/ebf3_bom_sources/organized/split_before_route_leaf_decomposition_plan.md.
ebf3_cabin_access_door_hinge_pin_or_shaft_set,kb/items/parts/ebf3_cabin_access_door_hinge_pin_or_shaft_set.yaml,0.4,steel,steel,lunar_candidate,local_nominal,recipe_ebf3_cabin_access_door_hinge_pin_or_shaft_set,,,,EBF3 cabin access door hinge pin or shaft set,Hinge pin/shaft hardware for the EBF3 cabin access door hinge set. Child of `ebf3_cabin_access_door_hinge_set` from research/ebf3_bom_sources/organized/split_before_route_leaf_decomposition_plan.md.
ebf3_cabin_access_door_latch_fastener_interface_set,kb/items/parts/ebf3_cabin_access_door_latch_fastener_interface_set.yaml,0.5,steel,steel_fastener_interface,lunar_candidate,local_nominal,recipe_ebf3_cabin_access_door_latch_fastener_interface_set,,,,EBF3 cabin access door latch fastener interface set,Fastener/interface hardware for mounting the EBF3 cabin access door latch set. Child of `ebf3_cabin_access_door_latch_set` from research/ebf3_bom_sources/organized/split_before_route_leaf_decomposition_plan.md.
ebf3_cabin_access_door_latch_handle_or_cam_set,kb/items/parts/ebf3_cabin_access_door_latch_handle_or_cam_set.yaml,0.6,steel,steel_stock,lunar_candidate,local_nominal,recipe_ebf3_cabin_access_door_latch_handle_or_cam_set,,,,EBF3 cabin access door latch handle or cam set,Handle/cam actuation hardware for the EBF3 cabin access door latch set. Child of `ebf3_cabin_access_door_latch_set` from research/ebf3_bom_sources/organized/split_before_route_leaf_decomposition_plan.md.
ebf3_cabin_access_door_latch_pivot_axle_set,kb/items/parts/ebf3_cabin_access_door_latch_pivot_axle_set.yaml,0.4,steel,steel,lunar_candidate_flagged,sensitivity_flag,recipe_ebf3_cabin_access_door_latch_pivot_axle_set,,,,EBF3 cabin access door latch pivot axle set,Common pivot/axle hardware for the EBF3 cabin access door latch set. Child of `ebf3_cabin_access_door_latch_set` from research/ebf3_bom_sources/organized/split_before_route_leaf_decomposition_plan.md. This is not local-ready and has no manufacturing recipe.
ebf3_cabin_access_door_latch_return_spring_set,kb/items/parts/ebf3_cabin_access_door_latch_return_spring_set.yaml,0.2,spring_steel,spring_steel,route_gap,import_until_gap_resolved,,True,,,EBF3 cabin access door latch return spring set,Return spring hardware for the EBF3 cabin access door latch set. Child of `ebf3_cabin_access_door_latch_set` from research/ebf3_bom_sources/organized/split_before_route_leaf_decomposition_plan.md. This is not local-ready and has no manufacturing recipe.
ebf3_cabin_access_door_latch_strike_or_bar_set,kb/items/parts/ebf3_cabin_access_door_latch_strike_or_bar_set.yaml,0.8,steel,steel_bar_or_strike,lunar_candidate,local_nominal,recipe_ebf3_cabin_access_door_latch_strike_or_bar_set,,,,EBF3 cabin access door latch strike or bar set,Strike/bar or catch hardware for the EBF3 cabin access door latch set. Child of `ebf3_cabin_access_door_latch_set` from research/ebf3_bom_sources/organized/split_before_route_leaf_decomposition_plan.md.
ebf3_cabin_access_door_panel,kb/items/parts/ebf3_cabin_access_door_panel.yaml,13.0,steel,steel_sheet,route_gap,import_until_gap_resolved,,True,,,EBF3 cabin access door panel,Child of MC-3. Main door panel for service access to the manufacture cabin.
ebf3_cabin_access_door_vacuum_seal,kb/items/parts/ebf3_cabin_access_door_vacuum_seal.yaml,2.0,polymer,metal_gasket_or_imported_vacuum_elastomer,route_gap,import_until_gap_resolved,,True,item_material_family_only,high,EBF3 cabin access door vacuum seal,Child of MC-3. Vacuum seal for the access door.
ebf3_cabin_frame_corner_gusset_set,kb/items/parts/ebf3_cabin_frame_corner_gusset_set.yaml,7.0,steel,steel_plate_or_sheet,lunar_candidate_flagged,sensitivity_flag,recipe_ebf3_cabin_frame_corner_gusset_set,,,,EBF3 cabin frame corner gusset set,Child of MC-1. Corner gussets or local reinforcement pieces for the cabin frame.
ebf3_cabin_frame_member_set,kb/items/parts/ebf3_cabin_frame_member_set.yaml,24.0,steel,steel_structural_stock,lunar_candidate_flagged,sensitivity_flag,recipe_ebf3_cabin_frame_member_set,,,,EBF3 cabin frame member set,Child of MC-1. Structural rail/member set for the manufacture cabin frame.
ebf3_cabin_frame_mounting_foot_set,kb/items/parts/ebf3_cabin_frame_mounting_foot_set.yaml,4.0,steel,steel_structural_stock,lunar_candidate,local_nominal,recipe_ebf3_cabin_frame_mounting_foot_set,,,,EBF3 cabin frame mounting foot set,Child of MC-1. Frame mounting feet or pads for locating the cabin structure.
ebf3_cabin_gun_port_flange_ring,kb/items/parts/ebf3_cabin_gun_port_flange_ring.yaml,5.0,steel,steel_plate_or_ring,lunar_candidate_flagged,sensitivity_flag,recipe_ebf3_cabin_gun_port_flange_ring,,,,EBF3 cabin gun port flange ring,Child of MC-5. Chamber-side flange ring around the fixed-gun insertion port.
ebf3_cabin_gun_port_reinforcement_ring,kb/items/parts/ebf3_cabin_gun_port_reinforcement_ring.yaml,3.0,steel,steel_plate_or_sheet,lunar_candidate,local_nominal,recipe_ebf3_cabin_gun_port_reinforcement_ring,,,,EBF3 cabin gun port reinforcement ring,Child of MC-5. Local reinforcement for the gun mounting opening in the cabin shell.
ebf3_cabin_lighting_port_frame,kb/items/parts/ebf3_cabin_lighting_port_frame.yaml,30.0,steel,steel_structural_stock,route_gap,import_until_gap_resolved,,True,,,EBF3 cabin lighting port frame,Child of MC-9. Passive chamber-side frame or port for process lighting access.
ebf3_cabin_lighting_shield_mount,kb/items/parts/ebf3_cabin_lighting_shield_mount.yaml,12.08,steel,steel,lunar_candidate,local_nominal,recipe_ebf3_cabin_lighting_shield_mount,,,,EBF3 cabin lighting shield mount,Child of MC-9. Passive mount or shield support associated with cabin lighting.
ebf3_cabin_positioning_floor_mount_plate,kb/items/parts/ebf3_cabin_positioning_floor_mount_plate.yaml,12.0,steel,steel_plate_or_sheet,lunar_candidate,local_nominal,recipe_ebf3_cabin_positioning_floor_mount_plate,,,,EBF3 cabin positioning floor mount plate,Child of MC-8. Chamber-floor plate or reinforced interface for the four-axis positioning system. Positioning hardware and build-platform tooling remain in the positioning subsystem.
ebf3_cabin_positioning_leveling_pad_set,kb/items/parts/ebf3_cabin_positioning_leveling_pad_set.yaml,3.0,steel,steel_stock,lunar_candidate,local_nominal,recipe_ebf3_cabin_positioning_leveling_pad_set,,,,EBF3 cabin positioning leveling pad set,Child of MC-8. Leveling or support pad set at the cabin-side positioning interface.
ebf3_cabin_sacrificial_liner_panel_set,kb/items/parts/ebf3_cabin_sacrificial_liner_panel_set.yaml,10.0,steel,steel_plate_or_sheet,lunar_candidate_flagged,sensitivity_flag,recipe_ebf3_cabin_sacrificial_liner_panel_set,,,,EBF3 cabin sacrificial liner panel set,"Child of MC-7. Replaceable liner panel set protecting chamber walls from deposition, spatter, and process debris."
ebf3_cabin_sacrificial_liner_retainer_set,kb/items/parts/ebf3_cabin_sacrificial_liner_retainer_set.yaml,2.0,steel,steel,lunar_candidate,local_nominal,recipe_ebf3_cabin_sacrificial_liner_retainer_set,,,,EBF3 cabin sacrificial liner retainer set,Child of MC-7. Retainers or clips for replaceable liner panels.
ebf3_cabin_wall_panel_seam_set,kb/items/parts/ebf3_cabin_wall_panel_seam_set.yaml,3.0,composite,composite,defer_split_import_fallback,import_until_gap_resolved,,True,item_material_family_only;route_material_basis_family_only,high,EBF3 cabin wall panel seam set,"Child of MC-2. Seams, weld lands, or seal interfaces between chamber wall panels."
ebf3_cabin_wall_panel_set,kb/items/parts/ebf3_cabin_wall_panel_set.yaml,34.0,steel,steel_sheet,route_gap,import_until_gap_resolved,,True,,,EBF3 cabin wall panel set,Child of MC-2. Vacuum-boundary chamber wall panel set.
ebf3_cabin_wall_stiffener_set,kb/items/parts/ebf3_cabin_wall_stiffener_set.yaml,8.0,steel,steel,lunar_candidate_flagged,sensitivity_flag,recipe_ebf3_cabin_wall_stiffener_set,,,,EBF3 cabin wall stiffener set,Child of MC-2. Stiffeners for cabin wall panels.
ebf3_cabin_wire_feeder_port_flange_ring,kb/items/parts/ebf3_cabin_wire_feeder_port_flange_ring.yaml,6.0,steel,steel_plate_or_ring,lunar_candidate_flagged,sensitivity_flag,recipe_ebf3_cabin_wire_feeder_port_flange_ring,,,,EBF3 cabin wire-feeder port flange ring,Child of MC-6. Chamber-side flange ring for the wire-feeder mounting port.
ebf3_cabin_wire_feeder_port_reinforcement_ring,kb/items/parts/ebf3_cabin_wire_feeder_port_reinforcement_ring.yaml,4.0,steel,steel_plate_or_sheet,lunar_candidate,local_nominal,recipe_ebf3_cabin_wire_feeder_port_reinforcement_ring,,,,EBF3 cabin wire-feeder port reinforcement ring,Child of MC-6. Local reinforcement for the wire-feeder opening in the cabin wall.
ebf3_can_bus_connector_set,kb/items/parts/ebf3_can_bus_connector_set.yaml,0.15,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,medium,EBF3 can bus connector set,Child of ebf3_can_bus_interface. Connector set for EBF3 CAN-bus communication interface.
ebf3_can_bus_interface_shield,kb/items/parts/ebf3_can_bus_interface_shield.yaml,0.1,aluminum,aluminum_sheet,lunar_candidate,local_nominal,recipe_ebf3_can_bus_interface_shield,,,,EBF3 can bus interface shield,Child of ebf3_can_bus_interface. Shield for EBF3 CAN-bus communication interface.
ebf3_can_transceiver_board,kb/items/parts/ebf3_can_transceiver_board.yaml,0.25,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,medium,EBF3 can transceiver board,Child of ebf3_can_bus_interface. Can transceiver board for EBF3 CAN-bus communication interface.
ebf3_control_computer_io_connector_set,kb/items/parts/ebf3_control_computer_io_connector_set.yaml,0.5,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,medium,EBF3 control computer io connector set,Child of ebf3_control_computer. I/o connector set for EBF3 control computer.
ebf3_control_computer_processor_board,kb/items/parts/ebf3_control_computer_processor_board.yaml,1.2,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,high,EBF3 control computer processor board,Child of ebf3_control_computer. Processor board for EBF3 control computer.
ebf3_control_computer_storage_module,kb/items/parts/ebf3_control_computer_storage_module.yaml,0.3,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,medium,EBF3 control computer storage module,Child of ebf3_control_computer. Storage module for EBF3 control computer.
ebf3_control_software,kb/items/parts/ebf3_control_software.yaml,0.01,software,software,import_as_leaf,import_nominal,,True,,,EBF3 control software,"CTL-3. Control software stored on controller media; command sequencing, interlocks, data logging, and process control logic. Intentional Level-2 leaf: this is a software artifact. Do not split into modules unless software-function modeling becomes a project goal. See research/ebf3_bom_sources/organi"
ebf3_controls_cabinet_cable_duct_set,kb/items/parts/ebf3_controls_cabinet_cable_duct_set.yaml,0.7,polymer,mixed_electrical_or_polymer_harness,earth_import,import_nominal,,True,item_material_family_only,medium,EBF3 controls cabinet cable duct set,Child of ebf3_controls_cabinet. Cable duct set for EBF3 controls cabinet.
ebf3_controls_cabinet_door_and_latch,kb/items/parts/ebf3_controls_cabinet_door_and_latch.yaml,0.69,steel,steel_plate_or_sheet,lunar_candidate_flagged,sensitivity_flag,recipe_ebf3_controls_cabinet_door_and_latch,,,,EBF3 controls cabinet door and latch,Child of ebf3_controls_cabinet. Door and latch for EBF3 controls cabinet.
ebf3_controls_cabinet_mounting_rail_set,kb/items/parts/ebf3_controls_cabinet_mounting_rail_set.yaml,0.9,steel,steel_plate_or_sheet,lunar_candidate,local_nominal,recipe_ebf3_controls_cabinet_mounting_rail_set,,,,EBF3 controls cabinet mounting rail set,Child of ebf3_controls_cabinet. Mounting rail set for EBF3 controls cabinet.
ebf3_controls_cabinet_panel_terminal_set,kb/items/parts/ebf3_controls_cabinet_panel_terminal_set.yaml,1.0,electronic,mixed_electrical_or_polymer_harness,earth_import,import_nominal,,True,item_material_family_only,high,EBF3 controls cabinet panel terminal set,Child of ebf3_controls_cabinet. Panel terminal set for EBF3 controls cabinet.
ebf3_data_logger_board,kb/items/parts/ebf3_data_logger_board.yaml,0.25,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,medium,EBF3 data logger board,Child of ebf3_data_logger_timebase. Data logger board for EBF3 data logger and timebase.
ebf3_data_logger_connector_set,kb/items/parts/ebf3_data_logger_connector_set.yaml,0.05,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,medium,EBF3 data logger connector set,Child of ebf3_data_logger_timebase. Connector set for EBF3 data logger and timebase.
ebf3_data_logger_storage_module,kb/items/parts/ebf3_data_logger_storage_module.yaml,0.1,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,medium,EBF3 data logger storage module,Child of ebf3_data_logger_timebase. Storage module for EBF3 data logger and timebase.
ebf3_dc_link_busbar_set,kb/items/parts/ebf3_dc_link_busbar_set.yaml,0.9,aluminum,aluminum_conductor,lunar_candidate_flagged,sensitivity_flag,recipe_ebf3_dc_link_busbar_set,,,,EBF3 dc link busbar set,Child of ebf3_dc_link_capacitor_bank. Busbar set for EBF3 DC-link capacitor bank.
ebf3_dc_link_capacitor_module_set,kb/items/parts/ebf3_dc_link_capacitor_module_set.yaml,3.0,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,high,EBF3 dc link capacitor module set,Child of ebf3_dc_link_capacitor_bank. Capacitor module set for EBF3 DC-link capacitor bank.
ebf3_dc_link_discharge_resistor_set,kb/items/parts/ebf3_dc_link_discharge_resistor_set.yaml,0.4,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,medium,EBF3 dc link discharge resistor set,Child of ebf3_dc_link_capacitor_bank. Discharge resistor set for EBF3 DC-link capacitor bank.
ebf3_dc_link_mounting_frame,kb/items/parts/ebf3_dc_link_mounting_frame.yaml,0.7,steel,steel_structural_stock,lunar_candidate,local_nominal,recipe_ebf3_dc_link_mounting_frame,,,,EBF3 dc link mounting frame,Child of ebf3_dc_link_capacitor_bank. Mounting frame for EBF3 DC-link capacitor bank.
ebf3_disconnect_switch_actuator,kb/items/parts/ebf3_disconnect_switch_actuator.yaml,0.4,polymer,silicone_rubber_or_engineering_polymer,earth_import,import_nominal,,True,item_material_family_only,medium,EBF3 disconnect switch actuator,Child of ebf3_main_disconnect_switch. Switch actuator for EBF3 main disconnect switch.
ebf3_disconnect_switch_contact_set,kb/items/parts/ebf3_disconnect_switch_contact_set.yaml,0.7,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,medium,EBF3 disconnect switch contact set,Child of ebf3_main_disconnect_switch. Switch contact set for EBF3 main disconnect switch.
ebf3_disconnect_switch_housing,kb/items/parts/ebf3_disconnect_switch_housing.yaml,0.6,steel_or_aluminum,steel_or_aluminum_housing,lunar_candidate,local_nominal,recipe_ebf3_disconnect_switch_housing,,,,EBF3 disconnect switch housing,Child of ebf3_main_disconnect_switch. Switch housing for EBF3 main disconnect switch.
ebf3_disconnect_switch_terminal_set,kb/items/parts/ebf3_disconnect_switch_terminal_set.yaml,0.3,electronic,mixed_electrical_or_polymer_harness,earth_import,import_nominal,,True,item_material_family_only,medium,EBF3 disconnect switch terminal set,Child of ebf3_main_disconnect_switch. Terminal set for EBF3 main disconnect switch.
ebf3_drive_roll_carrier_body,kb/items/parts/ebf3_drive_roll_carrier_body.yaml,0.11,steel,steel_stock,lunar_candidate,local_nominal,recipe_ebf3_drive_roll_carrier_body,,,,EBF3 drive roll carrier body,Level-3 child of WF-10. Carrier body holding the drive-roll bearing set and keeping the drive roll aligned with the wire path.
ebf3_drive_roll_carrier_spacer,kb/items/parts/ebf3_drive_roll_carrier_spacer.yaml,0.1,steel,steel_spacer,lunar_candidate,local_nominal,recipe_ebf3_drive_roll_carrier_spacer,,,,EBF3 drive roll carrier spacer,WF-11. Spacer maintaining drive-roll carrier spacing and alignment. Intentional Level-2 single-part spacer leaf; thickness tolerance and material choice remain material/process details. See research/ebf3_bom_sources/organized/wire_feeder_level_2_audit.md. First-pass manufacturing/import route is rec
ebf3_drive_roll_cover_fastener_tab_set,kb/items/parts/ebf3_drive_roll_cover_fastener_tab_set.yaml,0.12,steel,steel_plate_or_sheet,lunar_candidate,local_nominal,recipe_ebf3_drive_roll_cover_fastener_tab_set,,,,EBF3 drive roll cover fastener tab set,Child of ebf3_drive_roll_cover. Fastener tab set for EBF3 drive-roll cover.
ebf3_drive_roll_cover_shell,kb/items/parts/ebf3_drive_roll_cover_shell.yaml,0.48,steel,steel_sheet_1mm,lunar_candidate_flagged,sensitivity_flag,recipe_ebf3_drive_roll_cover_shell,,,,EBF3 drive roll cover shell,Child of ebf3_drive_roll_cover. Cover shell for EBF3 drive-roll cover.
