item_id,parent_ids,source_queue_type,mass_nominal_kg,route_material_basis,availability_class,route_decision,primary_process_id,secondary_process_ids,ready_machine_ids,blocked_machine_or_process_reason,critical_performance_requirements,simulation_import_mass_policy,confidence,flags,reasoning_brief
ebf3_drive_roll_cover_fastener_tab_set,ebf3_drive_roll_cover,reachable_leaf_backfill_after_bom_recipe_sync,0.12,steel_plate_or_sheet,local_derived,lunar_candidate_flagged,machining_basic_v0,sheet_metal_cutting_v0;fastener_kit_small_fabrication_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,cover retention; vibration; serviceability; fit to drive-roll cover,sensitivity_flag,medium,fastener_interface;wire_feeder,"Small cover tabs are locally machinable, with fit/serviceability carried as flags."
ebf3_emi_filter_terminal_set,ebf3_emi_filter,reachable_leaf_backfill_after_bom_recipe_sync,0.2,mixed_electrical_or_polymer_harness,earth_import,earth_import,import_receiving_basic_v0,,labor_bot_general_v0,EMI filter terminals are mixed conductor/insulator connection hardware with electrical/EMI performance requirements.,electrical rating; insulation/outgassing; connector fit; termination reliability,import_nominal,medium,electrical;connector_or_cable;earth_import,EMI filter terminals are mixed conductor/insulator connection hardware with electrical/EMI performance requirements.
ebf3_heater_supply_output_terminal_set,ebf3_cathode_heater_supply,reachable_leaf_backfill_after_bom_recipe_sync,0.5,mixed_electrical_or_polymer_harness,earth_import,earth_import,import_receiving_basic_v0,,labor_bot_general_v0,Cathode heater output terminals are rating-sensitive electrical connection hardware.,electrical rating; insulation/outgassing; connector fit; termination reliability,import_nominal,medium,electrical;connector_or_cable;earth_import,Cathode heater output terminals are rating-sensitive electrical connection hardware.
ebf3_lv_distribution_panel_plate,ebf3_low_voltage_distribution_panel,reachable_leaf_backfill_after_bom_recipe_sync,0.8,steel_plate_or_sheet,local_derived,lunar_candidate_flagged,sheet_metal_cutting_v0,machining_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center,,mounting hole pattern; electrical clearance; cabinet fit; grounding continuity,sensitivity_flag,medium,electrical_enclosure;panel,Panel plate is a simple metal plate but electrical clearances and grounding fit need flags.
ebf3_lv_distribution_terminal_block_set,ebf3_low_voltage_distribution_panel,reachable_leaf_backfill_after_bom_recipe_sync,0.9,mixed_electrical_or_polymer_harness,earth_import,earth_import,import_receiving_basic_v0,,labor_bot_general_v0,Low-voltage terminal blocks are mixed electronic/electrical connection hardware with polymer insulators and plated contacts.,electrical rating; insulation/outgassing; connector fit; termination reliability,import_nominal,medium,electrical;connector_or_cable;earth_import,Low-voltage terminal blocks are mixed electronic/electrical connection hardware with polymer insulators and plated contacts.
ebf3_motion_drive_terminal_block_set,ebf3_motion_control_drive_module,reachable_leaf_backfill_after_bom_recipe_sync,0.4,mixed_electrical_or_polymer_harness,earth_import,earth_import,import_receiving_basic_v0,,labor_bot_general_v0,Motion-drive terminal blocks are mixed conductor/insulator electrical hardware and rating-sensitive.,electrical rating; insulation/outgassing; connector fit; termination reliability,import_nominal,medium,electrical;connector_or_cable;earth_import,Motion-drive terminal blocks are mixed conductor/insulator electrical hardware and rating-sensitive.
ebf3_multi_channel_output_terminal_set,ebf3_multi_channel_driver_module,reachable_leaf_backfill_after_bom_recipe_sync,0.8,mixed_electrical_or_polymer_harness,earth_import,earth_import,import_receiving_basic_v0,,labor_bot_general_v0,Driver output terminals are rating-sensitive electrical connection hardware with mixed conductor/insulator details.,electrical rating; insulation/outgassing; connector fit; termination reliability,import_nominal,medium,electrical;connector_or_cable;earth_import,Driver output terminals are rating-sensitive electrical connection hardware with mixed conductor/insulator details.
ebf3_power_input_cable_conductor_set,ebf3_power_input_cable_gland,reachable_leaf_backfill_after_bom_recipe_sync,0.7,aluminum_or_copper_power_conductor,local_derived,route_gap,wire_drawing_aluminum_v0,power_cable_assembly_v0;metal_wire_drawing_process_v0,labor_bot_general_v0;assembly_tools_basic,Power cable conductor requires drawn/flexible conductor route and cable qualification; existing similar EBF conductor items are route_gap because wire drawing and insulation routes are not closed.,current capacity; flexibility/strain relief; termination compatibility; vacuum/outgassing near gland; electrical safety,import_until_gap_resolved,medium,power_cable;wire_drawing_blocked;cable_qualification,"Metal conductor is lunar-derivable in principle, but cable conductor manufacturing/qualification is a route gap in the current KB."
ebf3_power_input_cable_insulation_set,ebf3_power_input_cable_gland,reachable_leaf_backfill_after_bom_recipe_sync,0.5,mixed_electrical_or_polymer_harness,earth_import,earth_import,import_receiving_basic_v0,,labor_bot_general_v0,Power cable insulation is polymer/dielectric material; local vacuum-compatible insulation route is not closed.,electrical rating; insulation/outgassing; connector fit; termination reliability,import_nominal,medium,electrical;connector_or_cable;earth_import,Power cable insulation is polymer/dielectric material; local vacuum-compatible insulation route is not closed.
ebf3_realtime_processor_enclosure,ebf3_realtime_control_processor,reachable_leaf_backfill_after_bom_recipe_sync,0.25,steel_plate_or_sheet,local_derived,lunar_candidate_flagged,sheet_metal_cutting_v0,machining_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center,,electronics mounting; EMI shielding; grounding; connector access,sensitivity_flag,medium,electronics_enclosure;emi,Processor enclosure is a simple sheet/metal enclosure but electronics EMI and fit remain flags.
ebf3_rotary_encoder_signal_lead,ebf3_rotary_encoder,reachable_leaf_backfill_after_bom_recipe_sync,0.1,mixed_electrical_or_polymer_harness,earth_import,earth_import,import_receiving_basic_v0,,labor_bot_general_v0,Encoder signal lead is low-mass shielded signal cabling; local cable/connector qualification is not closed.,electrical rating; insulation/outgassing; connector fit; termination reliability,import_nominal,medium,electrical;connector_or_cable;earth_import,Encoder signal lead is low-mass shielded signal cabling; local cable/connector qualification is not closed.
ebf3_safety_logic_enclosure,ebf3_safety_blocking_logic,reachable_leaf_backfill_after_bom_recipe_sync,0.25,steel_plate_or_sheet,local_derived,lunar_candidate_flagged,sheet_metal_cutting_v0,machining_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center,,safety relay mounting; electrical clearance; EMI/grounding; service access,sensitivity_flag,medium,electronics_enclosure;safety,"Safety logic enclosure is locally fabricable as a metal enclosure, but safety/electrical integration remains flagged."
ebf3_safety_logic_terminal_block_set,ebf3_safety_blocking_logic,reachable_leaf_backfill_after_bom_recipe_sync,0.25,mixed_electrical_or_polymer_harness,earth_import,earth_import,import_receiving_basic_v0,,labor_bot_general_v0,Safety logic terminal blocks are low-mass mixed electrical connector hardware; import avoids false local electronics closure.,electrical rating; insulation/outgassing; connector fit; termination reliability,import_nominal,medium,electrical;connector_or_cable;earth_import,Safety logic terminal blocks are low-mass mixed electrical connector hardware; import avoids false local electronics closure.
ebf3_spatter_shield_panel_set,ebf3_spatter_shielding,reachable_leaf_backfill_after_bom_recipe_sync,1.1,steel_plate_or_sheet,local_derived,lunar_candidate_flagged,sheet_metal_cutting_v0,sheet_metal_fabrication_v0;machining_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,spatter resistance; stiffness; cleanable vacuum-exposed surface; mounting alignment,sensitivity_flag,medium,spatter;vacuum_exposed;shielding,"Shield panels match existing EBF shield-panel local candidates, but process exposure and material choice stay flagged."
ebf3_spool_brake_adjuster_lock_nut,ebf3_spool_brake_adjuster,reachable_leaf_backfill_after_bom_recipe_sync,0.03,steel_fastener_set,local_derived,lunar_candidate_flagged,fastener_kit_small_fabrication_v0,machining_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,thread fit; vibration resistance; serviceability,sensitivity_flag,medium,fastener;adjustment_locking,Lock nut is a small fastener; local route is plausible with thread/vibration flags.
ebf3_spool_brake_adjuster_screw,ebf3_spool_brake_adjuster,reachable_leaf_backfill_after_bom_recipe_sync,0.1,steel_fastener_set,local_derived,lunar_candidate_flagged,fastener_kit_small_fabrication_v0,machining_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,thread quality; adjustment repeatability; wear; preload retention,sensitivity_flag,medium,fastener;adjustment_thread,Adjuster screw is a small threaded metal part; local fabrication is plausible but adjustment quality is flagged.
ebf3_substrate_clamp_screw_set,ebf3_substrate_clamp,reachable_leaf_backfill_after_bom_recipe_sync,0.25,steel_fastener_set,local_derived,lunar_candidate_flagged,fastener_kit_small_fabrication_v0,machining_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,thread fit; preload retention; galling/anti-seize compatibility; thermal cycling,sensitivity_flag,medium,fastener;thermal_preload,Clamp screws are small metal fasteners; local route is plausible but thread quality and thermal service need flags.
ebf3_visible_camera_signal_cable,ebf3_visible_camera,reachable_leaf_backfill_after_bom_recipe_sync,0.15,mixed_electrical_or_polymer_harness,earth_import,earth_import,import_receiving_basic_v0,,labor_bot_general_v0,Camera signal cable is a low-mass shielded signal cable with insulation/outgassing and connector performance requirements.,electrical rating; insulation/outgassing; connector fit; termination reliability,import_nominal,medium,electrical;connector_or_cable;earth_import,Camera signal cable is a low-mass shielded signal cable with insulation/outgassing and connector performance requirements.
ebf3_wire_feed_drive_roll_set_screw_or_key,ebf3_wire_feed_drive_roll,reachable_leaf_backfill_after_bom_recipe_sync,0.03,steel_fastener_set,local_derived,lunar_candidate_flagged,fastener_kit_small_fabrication_v0,machining_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,torque transfer; set-screw/key fit; wear; vibration retention,sensitivity_flag,medium,fastener;drive_interface,Small drive-roll key/set-screw hardware is plausible locally but torque retention and fit stay flagged.
ebf3_wire_feed_encoder_signal_lead,ebf3_wire_feed_encoder_sensor,reachable_leaf_backfill_after_bom_recipe_sync,0.08,mixed_electrical_or_polymer_harness,earth_import,earth_import,import_receiving_basic_v0,,labor_bot_general_v0,Wire-feed encoder signal lead is low-mass signal cabling; local cable/connector qualification is not closed.,electrical rating; insulation/outgassing; connector fit; termination reliability,import_nominal,medium,electrical;connector_or_cable;earth_import,Wire-feed encoder signal lead is low-mass signal cabling; local cable/connector qualification is not closed.
ebf3_wire_feed_motor_lead_set,ebf3_wire_feed_gearmotor,reachable_leaf_backfill_after_bom_recipe_sync,0.15,mixed_electrical_or_polymer_harness,earth_import,earth_import,import_receiving_basic_v0,,labor_bot_general_v0,Wire-feed motor lead set is cable/harness hardware with insulation and termination qualification gaps.,electrical rating; insulation/outgassing; connector fit; termination reliability,import_nominal,medium,electrical;connector_or_cable;earth_import,Wire-feed motor lead set is cable/harness hardware with insulation and termination qualification gaps.
