target_item_id,recipe_id,item_material,route_material_basis,policy,original_or_current_labor_only_process_id,current_process_id,replacement_process_id,decision,action,rationale,recipe_path,item_path
ebf3_hv_voltage_divider_insulating_support,recipe_ebf3_hv_voltage_divider_insulating_support,insulator,alumina_ceramic_v0,sensitivity_flag,ceramic_base_fabrication_v0,ceramic_base_fabrication_v0,,not_cnc_candidate,recorded_future_gap,Keep out of CNC: HV alumina support needs explicit ceramic pressing/sintering and leakage validation route.,kb/recipes/recipe_ebf3_hv_voltage_divider_insulating_support.yaml,kb/items/parts/ebf3_hv_voltage_divider_insulating_support.yaml
ebf3_input_rectifier_heat_sink,recipe_ebf3_input_rectifier_heat_sink,metal,aluminum_heat_sink,sensitivity_flag,heat_sink_extrusion_v0,aluminum_housing_machining_v1,aluminum_housing_machining_v1,fixed,rerouted_to_aluminum_cnc,CNC aluminum heat-sink proxy consistent with other EBF3 heat-sink routes; thermal rating remains flagged.,kb/recipes/recipe_ebf3_input_rectifier_heat_sink.yaml,kb/items/parts/ebf3_input_rectifier_heat_sink.yaml
ebf3_intermediate_wire_guide_wear_insert,recipe_ebf3_intermediate_wire_guide_wear_insert,ceramic,alumina_ceramic,sensitivity_flag,ceramic_block_small_production_v0,ceramic_block_small_production_v0,,not_cnc_candidate,recorded_future_gap,Keep out of CNC: ceramic wear insert needs explicit ceramic pressing/sintering and wear-face finishing route.,kb/recipes/recipe_ebf3_intermediate_wire_guide_wear_insert.yaml,kb/items/parts/ebf3_intermediate_wire_guide_wear_insert.yaml
ebf3_matching_network_mounting_frame,recipe_ebf3_matching_network_mounting_frame,metal,steel_structural_stock,sensitivity_flag,mounting_bracket_steel_forming_v0,machining_basic_v0,machining_basic_v0,fixed,rerouted_to_cnc,CNC proxy for steel mounting frame; keep grounding and matching-network clearance sensitivity flag.,kb/recipes/recipe_ebf3_matching_network_mounting_frame.yaml,kb/items/parts/ebf3_matching_network_mounting_frame.yaml
ebf3_motion_drive_heat_spreader,recipe_ebf3_motion_drive_heat_spreader,metal,aluminum,sensitivity_flag,heat_sink_extrusion_v0,aluminum_housing_machining_v1,aluminum_housing_machining_v1,fixed,rerouted_to_aluminum_cnc,CNC aluminum heat-spreader proxy; thermal contact and isolation remain flagged.,kb/recipes/recipe_ebf3_motion_drive_heat_spreader.yaml,kb/items/parts/ebf3_motion_drive_heat_spreader.yaml
ebf3_motor_mount_bracket_plate_set,recipe_ebf3_motor_mount_bracket_plate_set,metal,steel,sensitivity_flag,mounting_bracket_steel_forming_v0,machining_basic_v0,machining_basic_v0,fixed,rerouted_to_cnc,CNC proxy for motor bracket plates; keep alignment and stiffness sensitivity flag.,kb/recipes/recipe_ebf3_motor_mount_bracket_plate_set.yaml,kb/items/parts/ebf3_motor_mount_bracket_plate_set.yaml
ebf3_multi_channel_heat_sink,recipe_ebf3_multi_channel_heat_sink,metal,aluminum_heat_sink,sensitivity_flag,heat_sink_extrusion_v0,aluminum_housing_machining_v1,aluminum_housing_machining_v1,fixed,rerouted_to_aluminum_cnc,CNC aluminum heat-sink proxy consistent with other EBF3 heat-sink routes; thermal margin remains flagged.,kb/recipes/recipe_ebf3_multi_channel_heat_sink.yaml,kb/items/parts/ebf3_multi_channel_heat_sink.yaml
ebf3_positioning_base_frame_mounting_foot_set,recipe_ebf3_positioning_base_frame_mounting_foot_set,metal,steel,local_nominal,mounting_bracket_steel_forming_v0,machining_basic_v0,machining_basic_v0,fixed,rerouted_to_cnc,CNC proxy for ordinary steel mounting feet.,kb/recipes/recipe_ebf3_positioning_base_frame_mounting_foot_set.yaml,kb/items/parts/ebf3_positioning_base_frame_mounting_foot_set.yaml
ebf3_positioning_bellows_mounting_tab_set,recipe_ebf3_positioning_bellows_mounting_tab_set,metal,steel,sensitivity_flag,mounting_bracket_steel_forming_v0,machining_basic_v0,machining_basic_v0,fixed,rerouted_to_cnc,CNC proxy for small steel tabs; keep bellows/vacuum-interface sensitivity flag.,kb/recipes/recipe_ebf3_positioning_bellows_mounting_tab_set.yaml,kb/items/parts/ebf3_positioning_bellows_mounting_tab_set.yaml
ebf3_positioning_feedthrough_shield_termination_interface,recipe_ebf3_positioning_feedthrough_shield_termination_interface,conductive_metal,aluminum_or_steel_conductor,sensitivity_flag,electrical_feedthrough_vacuum_fabrication_v0,machining_basic_v0,machining_basic_v0,fixed,rerouted_to_cnc,CNC proxy for metal shield termination interface; feedthrough HV/vacuum behavior remains flagged.,kb/recipes/recipe_ebf3_positioning_feedthrough_shield_termination_interface.yaml,kb/items/parts/ebf3_positioning_feedthrough_shield_termination_interface.yaml
ebf3_positioning_motor_cable_shield_set,recipe_ebf3_positioning_motor_cable_shield_set,metal,aluminum_or_steel_shield,sensitivity_flag,sheet_making_from_ingot_to_metal_sheet_v0,sheet_metal_cutting_v0,sheet_metal_cutting_v0,fixed,rerouted_to_sheet_cutting,Sheet-metal cutting proxy for a metal cable shield set; not forced to CNC because flexible cable shields are not solid machined parts.,kb/recipes/recipe_ebf3_positioning_motor_cable_shield_set.yaml,kb/items/parts/ebf3_positioning_motor_cable_shield_set.yaml
ebf3_positioning_signal_cable_shield_set,recipe_ebf3_positioning_signal_cable_shield_set,metal,plain_steel_or_aluminum_braid,sensitivity_flag,wire_forming_process_v0,wire_forming_process_v0,,not_cnc_candidate,recorded_future_gap,Keep out of CNC: cable shield/braid needs explicit wire drawing/braiding or shield fabrication route.,kb/recipes/recipe_ebf3_positioning_signal_cable_shield_set.yaml,kb/items/parts/ebf3_positioning_signal_cable_shield_set.yaml
ebf3_power_electronics_cooling_line_support_clamp_set,recipe_ebf3_power_electronics_cooling_line_support_clamp_set,metal,steel,sensitivity_flag,mounting_bracket_steel_forming_v0,machining_basic_v0,machining_basic_v0,fixed,rerouted_to_cnc,CNC proxy for metal clamp hardware; keep thermal expansion and retention sensitivity flag.,kb/recipes/recipe_ebf3_power_electronics_cooling_line_support_clamp_set.yaml,kb/items/parts/ebf3_power_electronics_cooling_line_support_clamp_set.yaml
ebf3_substrate_clamp_insulating_pad_set,recipe_ebf3_substrate_clamp_insulating_pad_set,ceramic,alumina_ceramic,sensitivity_flag,ceramic_block_small_production_v0,ceramic_block_small_production_v0,,not_cnc_candidate,recorded_future_gap,Keep out of CNC: ceramic insulating pad needs explicit ceramic pressing/sintering route.,kb/recipes/recipe_ebf3_substrate_clamp_insulating_pad_set.yaml,kb/items/parts/ebf3_substrate_clamp_insulating_pad_set.yaml
ebf3_thermal_isolation_standoff_body_set,recipe_ebf3_thermal_isolation_standoff_body_set,insulator,alumina_ceramic_v0,sensitivity_flag,ceramic_base_fabrication_v0,ceramic_base_fabrication_v0,,not_cnc_candidate,recorded_future_gap,Keep out of CNC: ceramic standoff needs explicit ceramic pressing/sintering route.,kb/recipes/recipe_ebf3_thermal_isolation_standoff_body_set.yaml,kb/items/parts/ebf3_thermal_isolation_standoff_body_set.yaml
ebf3_thermal_isolation_standoff_fastener_interface_set,recipe_ebf3_thermal_isolation_standoff_fastener_interface_set,ceramic,alumina_ceramic,sensitivity_flag,ceramic_block_small_production_v0,ceramic_block_small_production_v0,,not_cnc_candidate,recorded_future_gap,Keep out of CNC: route-review material is alumina ceramic; item material was corrected from metal to ceramic.,kb/recipes/recipe_ebf3_thermal_isolation_standoff_fastener_interface_set.yaml,kb/items/parts/ebf3_thermal_isolation_standoff_fastener_interface_set.yaml
ebf3_wire_feed_motor_clamp_insulator,recipe_ebf3_wire_feed_motor_clamp_insulator,insulator,alumina_ceramic,sensitivity_flag,ceramic_block_small_production_v0,ceramic_block_small_production_v0,,not_cnc_candidate,recorded_future_gap,Keep out of CNC: alumina/insulator part needs explicit ceramic pressing/sintering route.,kb/recipes/recipe_ebf3_wire_feed_motor_clamp_insulator.yaml,kb/items/parts/ebf3_wire_feed_motor_clamp_insulator.yaml
ebf3_wire_feeder_base_plate,recipe_ebf3_wire_feeder_base_plate,metal,steel_plate,sensitivity_flag,sheet_making_from_ingot_to_metal_sheet_v0,machining_basic_v0,machining_basic_v0,fixed,rerouted_to_cnc,CNC proxy for base plate fabrication; keep flatness and stiffness sensitivity flag.,kb/recipes/recipe_ebf3_wire_feeder_base_plate.yaml,kb/items/parts/ebf3_wire_feeder_base_plate.yaml
