item_id,parent_ids,name,current_mass_kg,mass_low_kg,mass_high_kg,unit,unit_kind,material_class,material_candidate,material_alternates,material_note,performance_checks,tolerance,surface_finish,sealing_quality,alignment_accuracy,existing_candidate,candidate_mass_kg,candidate_fit,candidate_note,suggested_decision,item_path
ebf3_axis_limit_switch_actuator_set,ebf3_axis_travel_limit_switches,EBF3 axis limit switch actuator set,0.05,0.02,0.125,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_axis_limit_switch_actuator_set.yaml
ebf3_axis_limit_switch_body_set,ebf3_axis_travel_limit_switches,EBF3 axis limit switch body set,0.1,0.04,0.25,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,motion tolerance/load/lubrication,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_import_decision,kb/items/parts/ebf3_axis_limit_switch_body_set.yaml
ebf3_axis_motor_body_set,ebf3_axis_motors,EBF3 axis motor body set,3.2,1.28,8,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,motion tolerance/load/lubrication,review_required,review_required,,review_required,stepper_motor_precision,3,accuracy_risk,"Torque, vacuum compatibility, encoder, and insulation need review.",reuse_with_accuracy_risk,kb/items/parts/ebf3_axis_motor_body_set.yaml
ebf3_axis_motor_housing_set,ebf3_axis_motors,EBF3 axis motor housing set,1,0.4,2.5,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication,review_required,review_required,,review_required,stepper_motor_precision,3,accuracy_risk,"Torque, vacuum compatibility, encoder, and insulation need review.",reuse_with_accuracy_risk,kb/items/parts/ebf3_axis_motor_housing_set.yaml
ebf3_axis_motor_mounting_feature_set,ebf3_axis_motors,EBF3 axis motor mounting feature set,1,0.4,2.5,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication,review_required,review_required,,review_required,stepper_motor_precision,3,accuracy_risk,"Torque, vacuum compatibility, encoder, and insulation need review.",reuse_with_accuracy_risk,kb/items/parts/ebf3_axis_motor_mounting_feature_set.yaml
ebf3_ball_nut_body_set,ebf3_ball_nuts,EBF3 ball nut body set,1.1,0.55,2.2,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,basic function/material/scale,,,,,ball_screw_assembly,6,accuracy_risk,Ball-nut detail is part of screw-drive accuracy/lubrication review.,reuse_with_accuracy_risk,kb/items/parts/ebf3_ball_nut_body_set.yaml
ebf3_ball_nut_recirculation_insert_set,ebf3_ball_nuts,EBF3 ball nut recirculation insert set,0.3,0.15,0.6,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,basic function/material/scale,,,,,ball_screw_assembly,6,accuracy_risk,Ball-nut detail is part of screw-drive accuracy/lubrication review.,reuse_with_accuracy_risk,kb/items/parts/ebf3_ball_nut_recirculation_insert_set.yaml
ebf3_ball_nut_rolling_ball_set,ebf3_ball_nuts,EBF3 ball nut rolling ball set,0.45,0.225,0.9,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,basic function/material/scale,,,,,ball_screw_assembly,6,accuracy_risk,Ball-nut detail is part of screw-drive accuracy/lubrication review.,reuse_with_accuracy_risk,kb/items/parts/ebf3_ball_nut_rolling_ball_set.yaml
ebf3_ball_nut_wiper_or_seal_set,ebf3_ball_nuts,EBF3 ball nut wiper or seal set,0.15,0.0495,0.45,unit,discrete,polymer,silicone_rubber,metal_gasket,Vacuum/oil compatibility decides final material.,vacuum leak rate/outgassing,,review_required,review_required,,ball_screw_assembly,6,accuracy_risk,Ball-nut detail is part of screw-drive accuracy/lubrication review.,reuse_with_accuracy_risk,kb/items/parts/ebf3_ball_nut_wiper_or_seal_set.yaml
ebf3_beam_current_return_fastener_interface_set,ebf3_beam_current_return_strap,EBF3 beam current return fastener interface set,0.06,0.0198,0.18,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,fastener_kit_medium,1,likely_reuse,Generic fastener kit is acceptable for non-precision interfaces.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_beam_current_return_fastener_interface_set.yaml
ebf3_beam_current_return_flexible_conductor,ebf3_beam_current_return_strap,EBF3 beam current return flexible conductor,0.32,0.1056,0.96,unit,discrete,metal,aluminum,copper,Use copper only when conductivity/size penalty matters.,voltage/current/dielectric rating; electron-beam geometry/thermal stability,review_required,review_required,,review_required,electrical_wire_and_connectors,1,accuracy_risk,"Length, conductor, insulation, and termination need scaling.",needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_beam_current_return_flexible_conductor.yaml
ebf3_beam_current_return_lug_set,ebf3_beam_current_return_strap,EBF3 beam current return lug set,0.12,0.0396,0.36,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,electron-beam geometry/thermal stability,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_beam_current_return_lug_set.yaml
ebf3_bias_supply_converter_board,ebf3_control_electrode_bias_supply,EBF3 bias supply converter board,1.1,0.44,2.75,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,circuit function/rating,,,,,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_import_decision,kb/items/parts/ebf3_bias_supply_converter_board.yaml
ebf3_bias_supply_hv_output_filter,ebf3_control_electrode_bias_supply,EBF3 bias supply hv output filter,0.7,0.231,2.1,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,voltage/current/dielectric rating,,,,,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_import_decision,kb/items/parts/ebf3_bias_supply_hv_output_filter.yaml
ebf3_bias_supply_terminal_set,ebf3_control_electrode_bias_supply,EBF3 bias supply terminal set,0.3,0.099,0.9,unit,discrete,electronic,copper_alloy_contact,steel_mounting_hardware,Electrical contact material; check voltage/current and insulation.,voltage/current/dielectric rating,,,,,terminal_block_set,2,likely_reuse,Same broad terminal-block set; check voltage/current class.,registered_not_enough_accuracy,kb/items/parts/ebf3_bias_supply_terminal_set.yaml
ebf3_cabin_access_door_hinge_set,ebf3_cabin_access_door,EBF3 cabin access door hinge set,2.5,0.825,7.5,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,vacuum leak rate/outgassing,,review_required,review_required,,door_hinge_assembly,0.3,likely_reuse,Same function; check vacuum and load.,registered_not_enough_accuracy,kb/items/parts/ebf3_cabin_access_door_hinge_set.yaml
ebf3_cabin_access_door_latch_set,ebf3_cabin_access_door,EBF3 cabin access door latch set,2.5,0.825,7.5,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,vacuum leak rate/outgassing,,review_required,review_required,,panel_or_door_assembly,18,accuracy_risk,"Door geometry, stiffness, and sealing assumptions need scaling.",registered_not_enough_accuracy,kb/items/parts/ebf3_cabin_access_door_latch_set.yaml
ebf3_cabin_access_door_panel,ebf3_cabin_access_door,EBF3 cabin access door panel,13,4.29,39,unit,discrete,metal,steel_sheet,aluminum_sheet,"Select by stiffness, thermal exposure, and manufacturability.",vacuum leak rate/outgassing; stiffness/tolerance/interface fit,review_required,review_required,review_required,,panel_or_door_assembly,18,accuracy_risk,"Panel geometry, stiffness, and sealing assumptions need scaling.",registered_not_enough_accuracy,kb/items/parts/ebf3_cabin_access_door_panel.yaml
ebf3_cabin_access_door_vacuum_seal,ebf3_cabin_access_door,EBF3 cabin access door vacuum seal,2,0.66,6,unit,discrete,polymer,silicone_rubber,metal_gasket,Vacuum/oil compatibility decides final material.,vacuum leak rate/outgassing,,review_required,review_required,,vacuum_seal_assembly,5,accuracy_risk,Seal geometry/material/leak rate are hidden.,reuse_with_accuracy_risk,kb/items/parts/ebf3_cabin_access_door_vacuum_seal.yaml
ebf3_cabin_frame_corner_gusset_set,ebf3_cabin_frame,EBF3 cabin frame corner gusset set,7,2.31,21,unit,discrete,metal,steel_structural_stock,aluminum_structural_stock,Select by stiffness and fabrication route.,vacuum leak rate/outgassing; stiffness/tolerance/interface fit,review_required,review_required,review_required,,structural_frame_small_v0,12,accuracy_risk,"Frame geometry, stiffness, and mounting assumptions need scaling.",reuse_with_accuracy_risk,kb/items/parts/ebf3_cabin_frame_corner_gusset_set.yaml
ebf3_cabin_frame_member_set,ebf3_cabin_frame,EBF3 cabin frame member set,24,7.92,72,unit,discrete,metal,steel_structural_stock,aluminum_structural_stock,Select by stiffness and fabrication route.,vacuum leak rate/outgassing; stiffness/tolerance/interface fit,review_required,review_required,review_required,,structural_frame_small_v0,12,accuracy_risk,"Frame geometry, stiffness, and mounting assumptions need scaling.",reuse_with_accuracy_risk,kb/items/parts/ebf3_cabin_frame_member_set.yaml
ebf3_cabin_frame_mounting_foot_set,ebf3_cabin_frame,EBF3 cabin frame mounting foot set,4,1.32,12,unit,discrete,metal,steel_structural_stock,aluminum_structural_stock,Select by stiffness and fabrication route.,vacuum leak rate/outgassing; stiffness/tolerance/interface fit,review_required,review_required,review_required,,structural_frame_small_v0,12,accuracy_risk,"Frame geometry, stiffness, and mounting assumptions need scaling.",reuse_with_accuracy_risk,kb/items/parts/ebf3_cabin_frame_mounting_foot_set.yaml
ebf3_cabin_gun_port_flange_ring,ebf3_cabin_gun_mounting_port,EBF3 cabin gun port flange ring,5,1.65,15,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,vacuum leak rate/outgassing; electron-beam geometry/thermal stability,review_required,review_required,review_required,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_cabin_gun_port_flange_ring.yaml
ebf3_cabin_gun_port_reinforcement_ring,ebf3_cabin_gun_mounting_port,EBF3 cabin gun port reinforcement ring,3,0.99,9,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,vacuum leak rate/outgassing; electron-beam geometry/thermal stability,review_required,review_required,review_required,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_dedicated_readiness,kb/items/parts/ebf3_cabin_gun_port_reinforcement_ring.yaml
ebf3_cabin_lighting_port_frame,ebf3_cabin_lighting_mount_and_port,EBF3 cabin lighting port frame,30,9.9,90,unit,discrete,metal,steel_structural_stock,aluminum_structural_stock,Select by stiffness and fabrication route.,vacuum leak rate/outgassing; stiffness/tolerance/interface fit,review_required,review_required,review_required,,structural_frame_small_v0,12,accuracy_risk,"Frame geometry, stiffness, and mounting assumptions need scaling.",reuse_with_accuracy_risk,kb/items/parts/ebf3_cabin_lighting_port_frame.yaml
ebf3_cabin_lighting_shield_mount,ebf3_cabin_lighting_mount_and_port,EBF3 cabin lighting shield mount,12.08,3.986,36.24,unit,discrete,metal,steel,aluminum; alumina_ceramic,Simple machined/bent/welded hardware unless insulating.,vacuum leak rate/outgassing; stiffness/tolerance/interface fit,review_required,review_required,review_required,,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_cabin_lighting_shield_mount.yaml
ebf3_cabin_positioning_floor_mount_plate,ebf3_cabin_positioning_mount_interface,EBF3 cabin positioning floor mount plate,12,3.96,36,unit,discrete,metal,steel,aluminum; alumina_ceramic,Simple machined/bent/welded hardware unless insulating.,vacuum leak rate/outgassing; stiffness/tolerance/interface fit,review_required,review_required,review_required,,metal_sheet_or_plate,1,accuracy_risk,Stock is not a same-level replacement; use for material/process only.,reuse_with_accuracy_risk,kb/items/parts/ebf3_cabin_positioning_floor_mount_plate.yaml
ebf3_cabin_positioning_leveling_pad_set,ebf3_cabin_positioning_mount_interface,EBF3 cabin positioning leveling pad set,3,0.99,9,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,vacuum leak rate/outgassing,,review_required,review_required,,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_cabin_positioning_leveling_pad_set.yaml
ebf3_cabin_sacrificial_liner_retainer_set,ebf3_cabin_sacrificial_liner,EBF3 cabin sacrificial liner retainer set,2,0.66,6,unit,discrete,metal,steel,aluminum,Simple retaining hardware unless high temperature.,vacuum leak rate/outgassing,,review_required,review_required,,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_cabin_sacrificial_liner_retainer_set.yaml
ebf3_cabin_wall_panel_seam_set,ebf3_cabin_wall_panels,EBF3 cabin wall panel seam set,3,0.99,9,unit,discrete,composite,steel_sheet,aluminum_sheet,"Select by stiffness, thermal exposure, and manufacturability.",vacuum leak rate/outgassing; stiffness/tolerance/interface fit,review_required,review_required,review_required,,panel_or_door_assembly,18,accuracy_risk,"Panel geometry, stiffness, and sealing assumptions need scaling.",registered_wrong_functional_object,kb/items/parts/ebf3_cabin_wall_panel_seam_set.yaml
ebf3_cabin_wall_panel_set,ebf3_cabin_wall_panels,EBF3 cabin wall panel set,34,11.22,102,unit,discrete,metal,steel_sheet,aluminum_sheet,"Select by stiffness, thermal exposure, and manufacturability.",vacuum leak rate/outgassing; stiffness/tolerance/interface fit,review_required,review_required,review_required,,panel_or_door_assembly,18,accuracy_risk,"Panel geometry, stiffness, and sealing assumptions need scaling.",registered_not_enough_accuracy,kb/items/parts/ebf3_cabin_wall_panel_set.yaml
ebf3_cabin_wall_stiffener_set,ebf3_cabin_wall_panels,EBF3 cabin wall stiffener set,8,2.64,24,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,vacuum leak rate/outgassing,,review_required,review_required,,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_cabin_wall_stiffener_set.yaml
ebf3_cabin_wire_feeder_port_flange_ring,ebf3_cabin_wire_feeder_mounting_port,EBF3 cabin wire-feeder port flange ring,6,1.98,18,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,vacuum leak rate/outgassing,,review_required,review_required,,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_cabin_wire_feeder_port_flange_ring.yaml
ebf3_cabin_wire_feeder_port_reinforcement_ring,ebf3_cabin_wire_feeder_mounting_port,EBF3 cabin wire-feeder port reinforcement ring,4,1.32,12,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,vacuum leak rate/outgassing,,review_required,review_required,,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_cabin_wire_feeder_port_reinforcement_ring.yaml
ebf3_can_bus_connector_set,ebf3_can_bus_interface,EBF3 can bus connector set,0.15,0.0495,0.45,unit,discrete,electronic,copper_alloy_contact,ceramic_or_polymer_body,Contact/body materials should be split if closure matters.,voltage/current/dielectric rating,,,,,connector_electrical_multi_pin,0.1,accuracy_risk,"Pin count, seal, and rating assumptions are hidden.",registered_not_enough_accuracy,kb/items/parts/ebf3_can_bus_connector_set.yaml
ebf3_can_bus_interface_shield,ebf3_can_bus_interface,EBF3 can bus interface shield,0.1,0.05,0.2,unit,discrete,metal,steel,aluminum; refractory_foil,Radiation/HV shields may need refractory metal.,basic function/material/scale,,,,,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_can_bus_interface_shield.yaml
ebf3_can_transceiver_board,ebf3_can_bus_interface,EBF3 can transceiver board,0.25,0.1,0.625,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,circuit function/rating,,,,,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_import_decision,kb/items/parts/ebf3_can_transceiver_board.yaml
ebf3_control_computer_io_connector_set,ebf3_control_computer,EBF3 control computer io connector set,0.5,0.165,1.5,unit,discrete,electronic,copper_alloy_contact,ceramic_or_polymer_body,Contact/body materials should be split if closure matters.,voltage/current/dielectric rating,,,,,connector_electrical_multi_pin,0.1,accuracy_risk,"Pin count, seal, and rating assumptions are hidden.",registered_not_enough_accuracy,kb/items/parts/ebf3_control_computer_io_connector_set.yaml
ebf3_control_computer_processor_board,ebf3_control_computer,EBF3 control computer processor board,1.2,0.48,3,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,circuit function/rating,,,,,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_import_decision,kb/items/parts/ebf3_control_computer_processor_board.yaml
ebf3_control_computer_storage_module,ebf3_control_computer,EBF3 control computer storage module,0.3,0.12,0.75,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,circuit function/rating,,,,,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_import_decision,kb/items/parts/ebf3_control_computer_storage_module.yaml
ebf3_control_software,ebf3_controls,EBF3 control software,0.01,0.005,0.02,unit,discrete,software,software,,Current material_class is the starting point.,basic function/material/scale,,,,,compiled_firmware_binary,0.001,likely_reuse,Information artifact proxy; machine behavior requirements still need review.,registered_not_enough_accuracy,kb/items/parts/ebf3_control_software.yaml
ebf3_controls_cabinet_mounting_rail_set,ebf3_controls_cabinet,EBF3 controls cabinet mounting rail set,0.9,0.45,1.8,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,basic function/material/scale,,,,,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_controls_cabinet_mounting_rail_set.yaml
ebf3_data_logger_board,ebf3_data_logger_timebase,EBF3 data logger board,0.25,0.1,0.625,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,circuit function/rating,,,,,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_import_decision,kb/items/parts/ebf3_data_logger_board.yaml
ebf3_data_logger_connector_set,ebf3_data_logger_timebase,EBF3 data logger connector set,0.05,0.0165,0.15,unit,discrete,electronic,copper_alloy_contact,ceramic_or_polymer_body,Contact/body materials should be split if closure matters.,voltage/current/dielectric rating,,,,,connector_electrical_multi_pin,0.1,accuracy_risk,"Pin count, seal, and rating assumptions are hidden.",registered_not_enough_accuracy,kb/items/parts/ebf3_data_logger_connector_set.yaml
ebf3_data_logger_storage_module,ebf3_data_logger_timebase,EBF3 data logger storage module,0.1,0.04,0.25,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,circuit function/rating,,,,,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_import_decision,kb/items/parts/ebf3_data_logger_storage_module.yaml
ebf3_dc_link_busbar_set,ebf3_dc_link_capacitor_bank,EBF3 dc link busbar set,0.9,0.297,2.7,unit,discrete,metal,aluminum,copper,Use copper only when current density or thermal penalty matters.,voltage/current/dielectric rating,,,,,busbar_distribution_system_v0,12,accuracy_risk,Current rating and conductor geometry need scaling.,reuse_with_accuracy_risk,kb/items/parts/ebf3_dc_link_busbar_set.yaml
ebf3_dc_link_capacitor_module_set,ebf3_dc_link_capacitor_bank,EBF3 dc link capacitor module set,3,1.2,7.5,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,circuit function/rating,,,,,capacitor_bank_filter,0.3,accuracy_risk,"Voltage, ripple current, and dielectric assumptions are hidden.",reuse_with_accuracy_risk,kb/items/parts/ebf3_dc_link_capacitor_module_set.yaml
ebf3_dc_link_discharge_resistor_set,ebf3_dc_link_capacitor_bank,EBF3 dc link discharge resistor set,0.4,0.2,0.8,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,basic function/material/scale,,,,,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_import_decision,kb/items/parts/ebf3_dc_link_discharge_resistor_set.yaml
ebf3_dc_link_mounting_frame,ebf3_dc_link_capacitor_bank,EBF3 dc link mounting frame,0.7,0.35,1.4,unit,discrete,metal,steel_structural_stock,aluminum_structural_stock,Select by stiffness and fabrication route.,stiffness/tolerance/interface fit,review_required,review_required,,,structural_frame_small_v0,12,accuracy_risk,"Frame geometry, stiffness, and mounting assumptions need scaling.",reuse_with_accuracy_risk,kb/items/parts/ebf3_dc_link_mounting_frame.yaml
ebf3_disconnect_switch_actuator,ebf3_main_disconnect_switch,EBF3 disconnect switch actuator,0.4,0.2,0.8,unit,discrete,polymer,silicone_rubber,other_kb_polymer,Check vacuum/outgassing and temperature limits.,basic function/material/scale,,,,,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_disconnect_switch_actuator.yaml
ebf3_disconnect_switch_contact_set,ebf3_main_disconnect_switch,EBF3 disconnect switch contact set,0.7,0.35,1.4,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,basic function/material/scale,,,,,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_import_decision,kb/items/parts/ebf3_disconnect_switch_contact_set.yaml
ebf3_drive_roll_carrier_body,ebf3_drive_roll_carrier,EBF3 drive roll carrier body,0.11,0.055,0.22,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,basic function/material/scale,,,,,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_drive_roll_carrier_body.yaml
ebf3_drive_roll_carrier_spacer,ebf3_wire_feeder,EBF3 drive roll carrier spacer,0.1,0.05,0.2,unit,discrete,metal,steel,aluminum; alumina_ceramic,Choose ceramic if electrical/thermal isolation matters.,basic function/material/scale,,,,,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_drive_roll_carrier_spacer.yaml
ebf3_drive_roll_cover_shell,ebf3_drive_roll_cover,EBF3 drive roll cover shell,0.48,0.24,0.96,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,basic function/material/scale,,,,,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_drive_roll_cover_shell.yaml
ebf3_ebf_wire_guide_tip_body,ebf3_ebf_wire_guide_tip,EBF3 ebf wire guide tip body,0.12,0.048,0.3,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_ebf_wire_guide_tip_body.yaml
ebf3_ebf_wire_guide_tip_mounting_feature,ebf3_ebf_wire_guide_tip,EBF3 ebf wire guide tip mounting feature,0.03,0.012,0.075,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_ebf_wire_guide_tip_mounting_feature.yaml
