item_id,name,mass_kg,policy,route_decision,material_before,material,primary_process_id,decomposition_action,process_risk_level,process_risk_type,process_risk_reason,item_path
ebf3_cabin_wire_feeder_port_flange_ring,EBF3 cabin wire-feeder port flange ring,6.0,sensitivity_flag,lunar_candidate_flagged,steel,steel,machining_basic_v0,no_material_change,medium_high,structural_vacuum_qa,"Material is local-plausible, but leak/seal/surface/large-panel distortion qualification is not closed.",kb/items/parts/ebf3_cabin_wire_feeder_port_flange_ring.yaml
ebf3_cabin_wire_feeder_port_reinforcement_ring,EBF3 cabin wire-feeder port reinforcement ring,4.0,local_nominal,lunar_candidate,steel,steel,machining_basic_v0,no_material_change,medium_high,structural_vacuum_qa,"Material is local-plausible, but leak/seal/surface/large-panel distortion qualification is not closed.",kb/items/parts/ebf3_cabin_wire_feeder_port_reinforcement_ring.yaml
ebf3_can_bus_connector_set,EBF3 can bus connector set,0.15,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_can_bus_connector_set.yaml
ebf3_can_bus_interface_shield,EBF3 can bus interface shield,0.1,local_nominal,lunar_candidate,aluminum,aluminum,sheet_metal_fabrication_v0,no_material_change,medium_high,electrical_conductor_route,Conductor material is plausible only with drawing/insulation/termination/field or vacuum electrical tests; copper is import/recycle constrained.,kb/items/parts/ebf3_can_bus_interface_shield.yaml
ebf3_can_transceiver_board,EBF3 can transceiver board,0.25,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_can_transceiver_board.yaml
ebf3_control_computer_io_connector_set,EBF3 control computer io connector set,0.5,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_control_computer_io_connector_set.yaml
ebf3_control_computer_processor_board,EBF3 control computer processor board,1.2,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_control_computer_processor_board.yaml
ebf3_control_computer_storage_module,EBF3 control computer storage module,0.3,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_control_computer_storage_module.yaml
ebf3_control_software,EBF3 control software,0.01,import_nominal,import_as_leaf,software,software,import_receiving_basic_v0,no_material_change,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_control_software.yaml
ebf3_controls_cabinet_cable_duct_set,EBF3 controls cabinet cable duct set,0.7,import_nominal,earth_import,polymer,engineering_polymer,import_receiving_basic_v0,updated_material,high,polymer_or_special_chemistry,"Polymer, elastomer, oil, TIM, and friction materials depend on organics/special chemistry and vacuum/HV qualification.",kb/items/parts/ebf3_controls_cabinet_cable_duct_set.yaml
ebf3_controls_cabinet_door_and_latch,EBF3 controls cabinet door and latch,0.69,sensitivity_flag,lunar_candidate_flagged,steel,steel,sheet_metal_cutting_v0,no_material_change,medium_high,structural_vacuum_qa,"Material is local-plausible, but leak/seal/surface/large-panel distortion qualification is not closed.",kb/items/parts/ebf3_controls_cabinet_door_and_latch.yaml
ebf3_controls_cabinet_mounting_rail_set,EBF3 controls cabinet mounting rail set,0.9,local_nominal,lunar_candidate,steel,steel,sheet_metal_cutting_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_controls_cabinet_mounting_rail_set.yaml
ebf3_controls_cabinet_panel_terminal_set,EBF3 controls cabinet panel terminal set,1.0,import_nominal,earth_import,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_controls_cabinet_panel_terminal_set.yaml
ebf3_data_logger_board,EBF3 data logger board,0.25,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_data_logger_board.yaml
ebf3_data_logger_connector_set,EBF3 data logger connector set,0.05,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_data_logger_connector_set.yaml
ebf3_data_logger_storage_module,EBF3 data logger storage module,0.1,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_data_logger_storage_module.yaml
ebf3_dc_link_busbar_set,EBF3 dc link busbar set,0.9,sensitivity_flag,lunar_candidate_flagged,aluminum,aluminum,machining_basic_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_dc_link_busbar_set.yaml
ebf3_dc_link_capacitor_module_set,EBF3 dc link capacitor module set,3.0,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_dc_link_capacitor_module_set.yaml
ebf3_dc_link_discharge_resistor_set,EBF3 dc link discharge resistor set,0.4,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_dc_link_discharge_resistor_set.yaml
ebf3_dc_link_mounting_frame,EBF3 dc link mounting frame,0.7,local_nominal,lunar_candidate,steel,steel,machining_basic_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_dc_link_mounting_frame.yaml
ebf3_disconnect_switch_actuator,EBF3 disconnect switch actuator,0.4,import_nominal,earth_import,polymer,engineering_polymer,silicone_rubber_vulcanization_v0,updated_material,high,polymer_or_special_chemistry,"Polymer, elastomer, oil, TIM, and friction materials depend on organics/special chemistry and vacuum/HV qualification.",kb/items/parts/ebf3_disconnect_switch_actuator.yaml
ebf3_disconnect_switch_contact_set,EBF3 disconnect switch contact set,0.7,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_disconnect_switch_contact_set.yaml
ebf3_disconnect_switch_housing,EBF3 disconnect switch housing,0.6,local_nominal,lunar_candidate,steel_or_aluminum,steel,machining_basic_v0,updated_material,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_disconnect_switch_housing.yaml
ebf3_disconnect_switch_terminal_set,EBF3 disconnect switch terminal set,0.3,import_nominal,earth_import,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_disconnect_switch_terminal_set.yaml
ebf3_drive_roll_carrier_body,EBF3 drive roll carrier body,0.11,local_nominal,lunar_candidate,steel,steel,machining_basic_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_drive_roll_carrier_body.yaml
ebf3_drive_roll_carrier_spacer,EBF3 drive roll carrier spacer,0.1,local_nominal,lunar_candidate,steel,steel,machining_basic_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_drive_roll_carrier_spacer.yaml
ebf3_drive_roll_cover_fastener_tab_set,EBF3 drive roll cover fastener tab set,0.12,local_nominal,lunar_candidate,steel,steel,machining_basic_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_drive_roll_cover_fastener_tab_set.yaml
ebf3_drive_roll_cover_shell,EBF3 drive roll cover shell,0.48,sensitivity_flag,lunar_candidate_flagged,steel,steel,metal_forming_basic_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_drive_roll_cover_shell.yaml
