item_id,current_worker_decision,recommended_decision,reason,route_action,future_work_note
ebf3_emi_filter_choke_mounting_base_set,keep_flagged_local,local_nominal,The base is a simple local machined mount and does not require magnetic or dielectric processing.,drop_issue,Keep EMI spacing and magnetic interaction as design notes.
ebf3_emi_filter_choke_terminal_set,keep_flagged_local,keep_flagged_local,Aluminum terminal machining is local but current heating and insulation clearance are functional electrical risks.,keep_flag,Promote after terminal rating contact heating and spacing are represented.
ebf3_feed_liner_end_ferrule_set,keep_flagged_local,local_nominal,Ferrule turning boring and deburring are within CNC and finishing scope.,drop_issue,Keep burr control liner retention and feed wear as future QA notes.
ebf3_fixed_side_screw_bearing_block_body_set,keep_flagged_local,local_nominal,Bearing-seat bore geometry boring reaming and basic inspection are covered by the upgraded CNC cell.,drop_issue,Keep coaxiality and bearing-fit acceptance as precision-motion notes.
ebf3_floating_side_screw_bearing_block_body_set,keep_flagged_local,local_nominal,Block body and axial-float geometry are CNC machinable from local steel.,drop_issue,Track bearing fit and axial float acceptance without blocking the route.
ebf3_floating_side_screw_bearing_retainer_set,keep_flagged_local,local_nominal,Retainer fit faces and holes are ordinary CNC features.,drop_issue,Leave bearing-system tolerance as an assembly note.
ebf3_full_bridge_dc_busbar_set,keep_flagged_local,keep_flagged_local,Busbar machining is local but inverter current clearance and insulation performance affect electrical feasibility.,keep_flag,Close busbar current rating thermal rise and insulation-spacing acceptance.
ebf3_gun_cathode_radiation_shield_clip_set,import_until_gap_resolved,import_until_gap_resolved,If refractory foil is required the material route is not local; CNC only covers a possible steel-clip variant.,keep_import,Split steel clip versus refractory foil clip before localizing.
ebf3_gun_column_body_shell,keep_flagged_local,keep_flagged_local,Machining the steel shell is plausible but electron-gun vacuum cleanliness and column geometry are core risks.,keep_flag,Retain until gun-column cleanliness and alignment acceptance are explicit.
ebf3_gun_column_gun_side_mating_flange,keep_flagged_local,keep_flagged_local,Local CNC covers the flange geometry but this is an electron-gun vacuum and HV alignment interface.,keep_flag,Close seal-face coaxiality cleanliness and HV-clearance acceptance.
ebf3_gun_feeder_wire_path_alignment_sleeve,keep_flagged_local,local_nominal,Sleeve bore and outside geometry are CNC-local and do not need a new process.,drop_issue,Keep bore wear and beam-adjacent alignment as functional notes.
ebf3_gun_hv_input_central_conductor,keep_flagged_local,keep_flagged_local,Field radii and smooth conductor geometry are CNC scope but HV withstand and cleanliness remain core acceptance gaps.,keep_flag,Retain until HV cleaning surface finish and withstand checks are modeled.
ebf3_gun_hv_input_flange_housing,keep_flagged_local,keep_flagged_local,The housing is machinable but serves a high-voltage vacuum input and seal interface.,keep_flag,Close creepage seal-face and field-interface qualification before dropping.
ebf3_gun_secondary_electron_ring_collector,keep_flagged_local,keep_flagged_local,Conductive ring machining is local but bias placement outgassing and thermal load affect beam diagnostics.,keep_flag,Keep until electron-gun diagnostic acceptance is represented.
ebf3_gun_signal_shield_termination_interface,keep_flagged_local,keep_flagged_local,The shield termination is machinable but gun-side EMI continuity and vacuum cleanliness are core acceptance risks.,keep_flag,Close grounding continuity cleanliness and feedthrough interface acceptance.
ebf3_gun_trajectory_corrector_mount,keep_flagged_local,keep_flagged_local,CNC can make the mount but trajectory-corrector alignment and magnetic cleanliness affect beam control.,keep_flag,Retain as flagged local rather than a new process chain.
ebf3_hv_pressure_relief_valve_body,keep_flagged_local,keep_flagged_local,Valve-body machining is local but setpoint seal and pressure/oil qualification are not closed by CNC.,keep_flag,Keep flagged until valve functional qualification is represented.
ebf3_hv_tank_bonding_anchor,keep_flagged_local,local_nominal,Grounding anchor geometry is simple local machining and fastening.,drop_issue,Track low-impedance bond and pullout strength as assembly acceptance.
ebf3_hv_tank_ground_lug,keep_flagged_local,local_nominal,Ground lug geometry and holes are CNC-local aluminum or steel hardware.,drop_issue,Leave fault-current bond integrity as an electrical design note.
ebf3_input_rectifier_busbar_set,keep_flagged_local,keep_flagged_local,Busbar fabrication is local but rectifier current density clearance and thermal rise affect power feasibility.,keep_flag,Close electrical and thermal rating before dropping.
ebf3_intermediate_wire_guide_body,keep_flagged_local,local_nominal,Bore finish contouring and deburring are CNC and finishing scope.,drop_issue,Keep feed wear debris and acceptance testing as notes.
ebf3_linear_encoder_mounting_bracket_set,keep_flagged_local,local_nominal,Bracket geometry alignment features and on-machine probing are CNC scope.,drop_issue,Leave encoder metrology stability as future acceptance.
ebf3_linear_guide_rail_end_stop_set,keep_flagged_local,local_nominal,End stops are simple machined steel parts.,drop_issue,Track load fit and interference checks as assembly notes.
ebf3_linear_guide_rail_mounting_hole_datum_set,keep_flagged_local,local_nominal,Rail datum holes and flat features are exactly CNC drilling milling and probing work.,drop_issue,Keep rail straightness and metrology as nonblocking motion QA notes.
ebf3_lv_distribution_busbar_set,keep_flagged_local,local_nominal,LV aluminum busbar blanking drilling and edge finishing are local CNC work.,drop_issue,Keep current capacity and short-circuit force as electrical design notes.
ebf3_matching_network_busbar_set,keep_flagged_local,keep_flagged_local,Machined aluminum busbar is local but RF layout HV clearance and heating affect matching-network behavior.,keep_flag,Close RF contact resistance clearance and thermal-rise acceptance.
ebf3_matching_network_inductor_mounting_base_set,keep_flagged_local,local_nominal,The base is simple local metal machining and not a magnetic-core process.,drop_issue,Keep insulation spacing and magnetic clearance as layout notes.
ebf3_matching_network_inductor_terminal_set,keep_flagged_local,keep_flagged_local,Terminal machining is local but RF contact heating and clearance are functional electrical risks.,keep_flag,Retain until terminal rating and RF/HV spacing are explicit.
ebf3_matching_network_mounting_frame,keep_flagged_local,local_nominal,Steel frame geometry is CNC-local and does not require a special process.,drop_issue,Keep RF/HV clearance grounding and thermal drift as design notes.
ebf3_motor_coupling_hub_set,keep_flagged_local,local_nominal,Hub bore keying faces and concentricity are CNC and probing scope.,drop_issue,Track torque transfer balance and coupling alignment as acceptance notes.
ebf3_motor_mount_bracket_plate_set,keep_flagged_local,local_nominal,Motor bracket plates are straightforward CNC steel geometry.,drop_issue,Leave alignment stiffness preload and vibration as assembly notes.
ebf3_motor_mount_bracket_spacer_set,keep_flagged_local,local_nominal,Spacers are simple turned or milled local steel parts.,drop_issue,Track stack height and stiffness in assembly QA.
ebf3_moveable_build_platform_clamp_slot_set,keep_flagged_local,local_nominal,Clamp slots and mounting features are CNC-local geometry.,drop_issue,Keep repeatability stiffness and thermal distortion as process tuning notes.
ebf3_moveable_build_platform_plate,keep_flagged_local,keep_flagged_local,The plate can be machined but build-surface flatness and thermal distortion directly affect EBF output.,keep_flag,Retain until build-plate flatness thermal cycling and datum acceptance are represented.
ebf3_positioning_axis_base_plate,keep_flagged_local,local_nominal,Base-plate flatness holes and datum faces are CNC and probing scope.,drop_issue,Keep stiffness and thermal distortion as precision-motion notes.
ebf3_positioning_base_frame_rail_set,keep_flagged_local,keep_flagged_local,CNC can machine the rails but straightness parallelism and thermal stability are precision-motion core risks.,keep_flag,Keep flagged local until rail alignment acceptance is represented.
ebf3_positioning_bellows_end_retainer_set,keep_flagged_local,local_nominal,Bellows retainer geometry is simple machined steel.,drop_issue,Track abrasion fatigue and vacuum interface as maintenance notes.
ebf3_positioning_bellows_mounting_tab_set,keep_flagged_local,local_nominal,Small bellows tabs are ordinary CNC steel parts.,drop_issue,Keep fit fastener retention and vacuum finish as notes.
ebf3_positioning_feedthrough_flange,keep_flagged_local,keep_flagged_local,The flange leaf is machined locally but hermetic feedthrough seal and HV rating are separate unresolved gaps.,keep_flag,Retain until feedthrough sealing and voltage acceptance are explicit.
ebf3_positioning_feedthrough_shield_termination_interface,keep_flagged_local,keep_flagged_local,Shield termination machining is local but feedthrough creepage grounding and vacuum behavior remain functional gaps.,keep_flag,Close feedthrough interface acceptance before dropping.
ebf3_power_electronics_cold_plate_port_interface_set,keep_flagged_local,keep_flagged_local,Aluminum port machining is local but leak tightness and thermal contact affect electronics cooling.,keep_flag,Retain until cold-plate port seal and conductance acceptance are represented.
ebf3_power_electronics_conductive_cooling_line_or_strap_set,keep_flagged_local,local_nominal,Under the conduction-strap baseline this is simple aluminum machining or forming and CNC is adequate.,drop_issue,If interpreted as a fluid line split to a tube or leak-tight route.
ebf3_power_electronics_cooling_line_support_clamp_set,keep_flagged_local,local_nominal,Support clamps are ordinary local machined metal hardware.,drop_issue,Keep thermal expansion and retention as assembly notes.
ebf3_power_electronics_cooling_plate_set,keep_flagged_local,keep_flagged_local,Aluminum plate machining is local but spreading resistance and flatness affect electronics thermal output.,keep_flag,Retain until cooling-plate thermal and flatness acceptance are represented.
ebf3_power_input_gland_body,keep_flagged_local,keep_flagged_local,The gland body is machinable but cable retention grounding and seal compatibility are functional interface gaps.,keep_flag,Close gland seal and cable-retention acceptance before promoting.
ebf3_primary_transformer_mount,keep_flagged_local,local_nominal,Transformer mount geometry is ordinary CNC steel work.,drop_issue,Keep clearance vibration and insulation interface as layout notes.
ebf3_ripple_inductor_mount,keep_flagged_local,local_nominal,Inductor mount geometry is simple local machining and not a magnetic component route.,drop_issue,Track magnetic disturbance and insulation interface as design notes.
ebf3_rotary_axis_bearing_retainer,keep_flagged_local,local_nominal,Retainer geometry fit and runout checks are CNC and probing scope.,drop_issue,Keep preload lubrication and bearing-system acceptance as notes.
ebf3_rotary_axis_table_hub,keep_flagged_local,keep_flagged_local,The hub is machinable but bearing-seat tolerance and rotary runout are precision-motion core risks.,keep_flag,Retain until rotary-axis runout and bearing-seat acceptance are explicit.
ebf3_rotary_axis_table_mounting_pattern,keep_flagged_local,local_nominal,Mounting pattern holes and datum features are CNC-local geometry.,drop_issue,Keep concentricity clamp repeatability and stiffness as assembly notes.
ebf3_rotary_axis_table_plate,keep_flagged_local,keep_flagged_local,The table plate is machinable but balance runout flatness and heat exposure directly affect build output.,keep_flag,Retain until rotary build-table acceptance is represented.
ebf3_spool_retaining_ring,needs_new_process_chain,needs_new_process_chain,Definition is ambiguous between a rigid CNC collar and a spring snap ring needing forming heat treatment and fatigue validation.,define_part_first,Split rigid retaining collar from spring snap-ring route.
ebf3_substrate_clamp_jaw_set,keep_flagged_local,keep_flagged_local,Jaw machining is local but grip force flatness thermal behavior and substrate protection affect EBF build quality.,keep_flag,Retain until substrate clamp acceptance is represented.
ebf3_tank_side_bushing_central_conductor,keep_flagged_local,keep_flagged_local,Field-radius conductor geometry is CNC scope but HV withstand cleanliness and seal-interface behavior remain core gaps.,keep_flag,Close HV withstand surface cleanliness and seal-interface acceptance.
ebf3_tank_side_bushing_field_grading_shield,keep_flagged_local,keep_flagged_local,Shield geometry and polishing are CNC scope but corona control and HV oil or vacuum qualification remain core gaps.,keep_flag,Retain until field grading acceptance is represented.
ebf3_tank_side_bushing_mounting_flange,keep_flagged_local,keep_flagged_local,The flange body is machinable but bushing sealing HV clearance and oil compatibility are functional gaps.,keep_flag,Close seal-face and HV/oil compatibility acceptance before dropping.
ebf3_wire_feed_encoder_target,needs_new_process_chain,needs_new_process_chain,Definition is ambiguous between a simple CNC index target and an optical magnetic or encoded target needing another process route.,define_part_first,Split simple metal target from optical scale magnetic ring or encoded target.
ebf3_wire_feed_idler_arm,keep_flagged_local,local_nominal,Idler arm geometry pivot holes and stiffness are CNC-local steel work.,drop_issue,Track pressure stability wear debris and pivot fit as wire-feed QA notes.
ebf3_wire_feed_motor_mount_clamp_half_set,keep_flagged_local,local_nominal,Clamp halves and motor locating geometry are CNC-local.,drop_issue,Keep preload vibration alignment and any insulation assumption as notes.
ebf3_wire_feeder_base_plate,keep_flagged_local,local_nominal,Base-plate flatness hole pattern and faces are CNC scope.,drop_issue,Track stiffness vibration and thermal stability as assembly notes.
ebf3_wire_feeder_feedthrough_flange,keep_flagged_local,keep_flagged_local,The flange is machinable but hermetic feedthrough closure is not closed by CNC.,keep_flag,Retain until feedthrough seal and qualification are explicit.
ebf3_wire_feeder_feedthrough_shield_termination_interface,keep_flagged_local,keep_flagged_local,Shield termination is simple machining but feedthrough HV/vacuum compatibility remains a functional gap.,keep_flag,Close feedthrough continuity clearance and vacuum acceptance.
ebf3_wire_feeder_gun_bracket_body,keep_flagged_local,keep_flagged_local,The bracket is machinable but wire-to-gun alignment and thermal stability affect beam delivery.,keep_flag,Keep flagged local until gun/wire alignment acceptance is represented.
ebf3_wire_inlet_guide,keep_flagged_local,local_nominal,Wire-path bore smoothness and guide geometry are CNC and finishing scope.,drop_issue,Keep wear and wire-feed acceptance as notes.
ebf3_wire_outlet_guide_tube,reroute_existing_process,reroute_existing_process,Geometry is CNC-finishable but the stock basis should be tube cutting end-facing reaming polishing and cleaning rather than solid-block machining.,reroute_recipe,Use tube-stock route with CNC for end and bore finishing.
ebf3_z_axis_brake_mount,keep_flagged_local,local_nominal,Brake mount holes faces and load-path geometry are CNC-local.,drop_issue,Track safety load path stiffness alignment and vibration as acceptance notes.
ebf3_z_axis_counterbalance_anchor_set,keep_flagged_local,local_nominal,Anchor geometry threads holes and faces are CNC scope.,drop_issue,Keep load path fatigue preload and alignment as notes.
ebf3_z_axis_counterbalance_preload_adjustment_interface,keep_flagged_local,local_nominal,Threaded adjustment geometry is CNC and probing scope.,drop_issue,Track locking fatigue and force calibration as acceptance notes.
ebf3_z_axis_counterbalance_spring_end_seat_set,keep_flagged_local,local_nominal,Spring seat geometry is straightforward CNC-local steel work.,drop_issue,Keep spring centering capture wear and fatigue as notes.
ebf3_gun_main_lens_pole_pieces,import_until_gap_resolved,import_until_gap_resolved,CNC covers pole-piece geometry but not magnetic material control anneal or lens field validation.,keep_import,Import until soft-iron or electrical-steel magnetic-property route and field QA exist.
ebf3_hv_tank_shell,import_until_gap_resolved,import_until_gap_resolved,A tank shell is not closed by CNC machining because shell forming joining containment and HV service qualification are missing.,keep_import,Define shell forming welding sealing and HV/oil qualification before localizing.
ebf3_linear_guide_carriage_block_set,import_until_gap_resolved,import_until_gap_resolved,Carriage blocks need precision guideway surfaces hardening grinding preload and bearing/lubrication acceptance beyond CNC.,keep_import,Import until precision carriage process and inspection chain exist.
ebf3_wire_feed_drive_roll_groove_profile,import_until_gap_resolved,import_until_gap_resolved,CNC can cut the groove but hardened wear surface traction and heat treatment are unresolved.,keep_import,Import until roll hardening finishing and wire-traction qualification are modeled.
ebf3_wire_feed_pressure_roll,import_until_gap_resolved,import_until_gap_resolved,The roll geometry is machinable but heat treatment wear and feed-force qualification remain route gaps.,keep_import,Import until pressure-roll hardening finishing and wear qualification exist.
