batch_id,item_id,parent_ids,source_queue_type,mass_nominal_kg,mass_low_kg,mass_high_kg,unit,unit_kind,material_class,material_hint,material_alternates,material_note,performance_checks,existing_candidate,candidate_fit,candidate_note,architecture_assumption,item_path
route_batch_04,ebf3_beam_current_return_flexible_conductor,ebf3_beam_current_return_strap,existing_route_as_leaf,0.32,0.1056,0.96,unit,discrete,metal,aluminum,copper,Use copper only when conductivity/size penalty matters.,voltage/current/dielectric rating; electron-beam geometry/thermal stability,electrical_wire_and_connectors,accuracy_risk,"Length, conductor, insulation, and termination need scaling.",,kb/items/parts/ebf3_beam_current_return_flexible_conductor.yaml
route_batch_01,ebf3_beam_current_return_lug_set,ebf3_beam_current_return_strap,existing_route_as_leaf,0.12,0.0396,0.36,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,electron-beam geometry/thermal stability,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_beam_current_return_lug_set.yaml
route_batch_02,ebf3_cabin_access_door_panel,ebf3_cabin_access_door,existing_route_as_leaf,13,4.29,39,unit,discrete,metal,steel_sheet,aluminum_sheet,"Select by stiffness, thermal exposure, and manufacturability.",vacuum leak rate/outgassing; stiffness/tolerance/interface fit,panel_or_door_assembly,accuracy_risk,"Panel geometry, stiffness, and sealing assumptions need scaling.",,kb/items/parts/ebf3_cabin_access_door_panel.yaml
route_batch_03,ebf3_cabin_access_door_vacuum_seal,ebf3_cabin_access_door,existing_route_as_leaf,2,0.66,6,unit,discrete,polymer,silicone_rubber,metal_gasket,Vacuum/oil compatibility decides final material.,vacuum leak rate/outgassing,vacuum_seal_assembly,accuracy_risk,Seal geometry/material/leak rate are hidden.,,kb/items/parts/ebf3_cabin_access_door_vacuum_seal.yaml
route_batch_04,ebf3_cabin_access_door_hinge_bushing_or_bearing_set,ebf3_cabin_access_door_hinge_set,implemented_split_child,0.5,,,unit,discrete,metal,metal,,Child material is only a coarse hint from the implemented split; worker must choose a simulation material or import decision.,"derive from item name, parent function, and split plan; keep HV/vacuum/thermal/magnetic/motion gates explicit",,,,,kb/items/parts/ebf3_cabin_access_door_hinge_bushing_or_bearing_set.yaml
route_batch_01,ebf3_cabin_access_door_hinge_fastener_interface_set,ebf3_cabin_access_door_hinge_set,implemented_split_child,0.7,,,unit,discrete,metal,metal,,Child material is only a coarse hint from the implemented split; worker must choose a simulation material or import decision.,"derive from item name, parent function, and split plan; keep HV/vacuum/thermal/magnetic/motion gates explicit",,,,,kb/items/parts/ebf3_cabin_access_door_hinge_fastener_interface_set.yaml
route_batch_02,ebf3_cabin_access_door_hinge_leaf_or_bracket_set,ebf3_cabin_access_door_hinge_set,implemented_split_child,0.9,,,unit,discrete,metal,metal,,Child material is only a coarse hint from the implemented split; worker must choose a simulation material or import decision.,"derive from item name, parent function, and split plan; keep HV/vacuum/thermal/magnetic/motion gates explicit",,,,,kb/items/parts/ebf3_cabin_access_door_hinge_leaf_or_bracket_set.yaml
route_batch_03,ebf3_cabin_access_door_hinge_pin_or_shaft_set,ebf3_cabin_access_door_hinge_set,implemented_split_child,0.4,,,unit,discrete,metal,metal,,Child material is only a coarse hint from the implemented split; worker must choose a simulation material or import decision.,"derive from item name, parent function, and split plan; keep HV/vacuum/thermal/magnetic/motion gates explicit",,,,,kb/items/parts/ebf3_cabin_access_door_hinge_pin_or_shaft_set.yaml
route_batch_04,ebf3_cabin_access_door_latch_fastener_interface_set,ebf3_cabin_access_door_latch_set,implemented_split_child,0.5,,,unit,discrete,metal,metal,,Child material is only a coarse hint from the implemented split; worker must choose a simulation material or import decision.,"derive from item name, parent function, and split plan; keep HV/vacuum/thermal/magnetic/motion gates explicit",,,,,kb/items/parts/ebf3_cabin_access_door_latch_fastener_interface_set.yaml
route_batch_01,ebf3_cabin_access_door_latch_handle_or_cam_set,ebf3_cabin_access_door_latch_set,implemented_split_child,0.6,,,unit,discrete,metal,metal,,Child material is only a coarse hint from the implemented split; worker must choose a simulation material or import decision.,"derive from item name, parent function, and split plan; keep HV/vacuum/thermal/magnetic/motion gates explicit",,,,,kb/items/parts/ebf3_cabin_access_door_latch_handle_or_cam_set.yaml
route_batch_02,ebf3_cabin_access_door_latch_pivot_axle_set,ebf3_cabin_access_door_latch_set,implemented_split_child,0.4,,,unit,discrete,metal,metal,,Child material is only a coarse hint from the implemented split; worker must choose a simulation material or import decision.,"derive from item name, parent function, and split plan; keep HV/vacuum/thermal/magnetic/motion gates explicit",,,,,kb/items/parts/ebf3_cabin_access_door_latch_pivot_axle_set.yaml
route_batch_03,ebf3_cabin_access_door_latch_return_spring_set,ebf3_cabin_access_door_latch_set,implemented_split_child,0.2,,,unit,discrete,metal,metal,,Child material is only a coarse hint from the implemented split; worker must choose a simulation material or import decision.,"derive from item name, parent function, and split plan; keep HV/vacuum/thermal/magnetic/motion gates explicit",,,,,kb/items/parts/ebf3_cabin_access_door_latch_return_spring_set.yaml
route_batch_04,ebf3_cabin_access_door_latch_strike_or_bar_set,ebf3_cabin_access_door_latch_set,implemented_split_child,0.8,,,unit,discrete,metal,metal,,Child material is only a coarse hint from the implemented split; worker must choose a simulation material or import decision.,"derive from item name, parent function, and split plan; keep HV/vacuum/thermal/magnetic/motion gates explicit",,,,,kb/items/parts/ebf3_cabin_access_door_latch_strike_or_bar_set.yaml
route_batch_01,ebf3_cabin_frame_corner_gusset_set,ebf3_cabin_frame,existing_route_as_leaf,7,2.31,21,unit,discrete,metal,steel_structural_stock,aluminum_structural_stock,Select by stiffness and fabrication route.,vacuum leak rate/outgassing; stiffness/tolerance/interface fit,structural_frame_small_v0,accuracy_risk,"Frame geometry, stiffness, and mounting assumptions need scaling.",,kb/items/parts/ebf3_cabin_frame_corner_gusset_set.yaml
route_batch_02,ebf3_cabin_frame_member_set,ebf3_cabin_frame,existing_route_as_leaf,24,7.92,72,unit,discrete,metal,steel_structural_stock,aluminum_structural_stock,Select by stiffness and fabrication route.,vacuum leak rate/outgassing; stiffness/tolerance/interface fit,structural_frame_small_v0,accuracy_risk,"Frame geometry, stiffness, and mounting assumptions need scaling.",,kb/items/parts/ebf3_cabin_frame_member_set.yaml
route_batch_03,ebf3_cabin_frame_mounting_foot_set,ebf3_cabin_frame,existing_route_as_leaf,4,1.32,12,unit,discrete,metal,steel_structural_stock,aluminum_structural_stock,Select by stiffness and fabrication route.,vacuum leak rate/outgassing; stiffness/tolerance/interface fit,structural_frame_small_v0,accuracy_risk,"Frame geometry, stiffness, and mounting assumptions need scaling.",,kb/items/parts/ebf3_cabin_frame_mounting_foot_set.yaml
route_batch_04,ebf3_cabin_gun_port_flange_ring,ebf3_cabin_gun_mounting_port,existing_route_as_leaf,5,1.65,15,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,vacuum leak rate/outgassing; electron-beam geometry/thermal stability,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_cabin_gun_port_flange_ring.yaml
route_batch_01,ebf3_cabin_gun_port_reinforcement_ring,ebf3_cabin_gun_mounting_port,existing_route_as_leaf,3,0.99,9,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,vacuum leak rate/outgassing; electron-beam geometry/thermal stability,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_cabin_gun_port_reinforcement_ring.yaml
route_batch_02,ebf3_cabin_lighting_port_frame,ebf3_cabin_lighting_mount_and_port,existing_route_as_leaf,30,9.9,90,unit,discrete,metal,steel_structural_stock,aluminum_structural_stock,Select by stiffness and fabrication route.,vacuum leak rate/outgassing; stiffness/tolerance/interface fit,structural_frame_small_v0,accuracy_risk,"Frame geometry, stiffness, and mounting assumptions need scaling.",,kb/items/parts/ebf3_cabin_lighting_port_frame.yaml
route_batch_03,ebf3_cabin_lighting_shield_mount,ebf3_cabin_lighting_mount_and_port,existing_route_as_leaf,12.08,3.986,36.24,unit,discrete,metal,steel,aluminum; alumina_ceramic,Simple machined/bent/welded hardware unless insulating.,vacuum leak rate/outgassing; stiffness/tolerance/interface fit,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_cabin_lighting_shield_mount.yaml
route_batch_04,ebf3_cabin_positioning_floor_mount_plate,ebf3_cabin_positioning_mount_interface,existing_route_as_leaf,12,3.96,36,unit,discrete,metal,steel,aluminum; alumina_ceramic,Simple machined/bent/welded hardware unless insulating.,vacuum leak rate/outgassing; stiffness/tolerance/interface fit,metal_sheet_or_plate,accuracy_risk,Stock is not a same-level replacement; use for material/process only.,,kb/items/parts/ebf3_cabin_positioning_floor_mount_plate.yaml
route_batch_01,ebf3_cabin_positioning_leveling_pad_set,ebf3_cabin_positioning_mount_interface,existing_route_as_leaf,3,0.99,9,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,vacuum leak rate/outgassing,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_cabin_positioning_leveling_pad_set.yaml
route_batch_02,ebf3_cabin_sacrificial_liner_retainer_set,ebf3_cabin_sacrificial_liner,existing_route_as_leaf,2,0.66,6,unit,discrete,metal,steel,aluminum,Simple retaining hardware unless high temperature.,vacuum leak rate/outgassing,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_cabin_sacrificial_liner_retainer_set.yaml
route_batch_02,ebf3_cabin_wall_panel_set,ebf3_cabin_wall_panels,existing_route_as_leaf,34,11.22,102,unit,discrete,metal,steel_sheet,aluminum_sheet,"Select by stiffness, thermal exposure, and manufacturability.",vacuum leak rate/outgassing; stiffness/tolerance/interface fit,panel_or_door_assembly,accuracy_risk,"Panel geometry, stiffness, and sealing assumptions need scaling.",,kb/items/parts/ebf3_cabin_wall_panel_set.yaml
route_batch_03,ebf3_cabin_wall_stiffener_set,ebf3_cabin_wall_panels,existing_route_as_leaf,8,2.64,24,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,vacuum leak rate/outgassing,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_cabin_wall_stiffener_set.yaml
route_batch_04,ebf3_cabin_wire_feeder_port_flange_ring,ebf3_cabin_wire_feeder_mounting_port,existing_route_as_leaf,6,1.98,18,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,vacuum leak rate/outgassing,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_cabin_wire_feeder_port_flange_ring.yaml
route_batch_01,ebf3_cabin_wire_feeder_port_reinforcement_ring,ebf3_cabin_wire_feeder_mounting_port,existing_route_as_leaf,4,1.32,12,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,vacuum leak rate/outgassing,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_cabin_wire_feeder_port_reinforcement_ring.yaml
route_batch_02,ebf3_can_bus_interface_shield,ebf3_can_bus_interface,existing_route_as_leaf,0.1,0.05,0.2,unit,discrete,metal,steel,aluminum; refractory_foil,Radiation/HV shields may need refractory metal.,basic function/material/scale,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_can_bus_interface_shield.yaml
route_batch_03,ebf3_heater_supply_enclosure,ebf3_cathode_heater_supply,existing_route_as_leaf,0.6,0.3,1.2,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,basic function/material/scale,enclosure_electrical_medium,likely_reuse,Same-level enclosure if scale and environment pass review.,,kb/items/parts/ebf3_heater_supply_enclosure.yaml
route_batch_04,ebf3_heater_supply_heat_sink,ebf3_cathode_heater_supply,existing_route_as_leaf,1.2,0.6,2.4,unit,discrete,metal,aluminum,steel,Aluminum is the normal heat-sink material; steel only as closure proxy.,thermal load/temperature rise,heat_sink_base_machined,likely_reuse,Same-level heat-sink hardware if heat load is modest.,,kb/items/parts/ebf3_heater_supply_heat_sink.yaml
route_batch_01,ebf3_controls_cabinet_mounting_rail_set,ebf3_controls_cabinet,existing_route_as_leaf,0.9,0.45,1.8,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,basic function/material/scale,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_controls_cabinet_mounting_rail_set.yaml
route_batch_02,ebf3_dc_link_busbar_set,ebf3_dc_link_capacitor_bank,existing_route_as_leaf,0.9,0.297,2.7,unit,discrete,metal,aluminum,copper,Use copper only when current density or thermal penalty matters.,voltage/current/dielectric rating,busbar_distribution_system_v0,accuracy_risk,Current rating and conductor geometry need scaling.,,kb/items/parts/ebf3_dc_link_busbar_set.yaml
route_batch_03,ebf3_dc_link_mounting_frame,ebf3_dc_link_capacitor_bank,existing_route_as_leaf,0.7,0.35,1.4,unit,discrete,metal,steel_structural_stock,aluminum_structural_stock,Select by stiffness and fabrication route.,stiffness/tolerance/interface fit,structural_frame_small_v0,accuracy_risk,"Frame geometry, stiffness, and mounting assumptions need scaling.",,kb/items/parts/ebf3_dc_link_mounting_frame.yaml
route_batch_04,ebf3_drive_roll_carrier_body,ebf3_drive_roll_carrier,existing_route_as_leaf,0.11,0.055,0.22,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,basic function/material/scale,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_drive_roll_carrier_body.yaml
route_batch_01,ebf3_drive_roll_cover_shell,ebf3_drive_roll_cover,existing_route_as_leaf,0.48,0.24,0.96,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,basic function/material/scale,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_drive_roll_cover_shell.yaml
route_batch_02,ebf3_ebf_wire_guide_tip_body,ebf3_ebf_wire_guide_tip,existing_route_as_leaf,0.12,0.048,0.3,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_ebf_wire_guide_tip_body.yaml
route_batch_03,ebf3_ebf_wire_guide_tip_mounting_feature,ebf3_ebf_wire_guide_tip,existing_route_as_leaf,0.03,0.012,0.075,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_ebf_wire_guide_tip_mounting_feature.yaml
route_batch_04,ebf3_ebf_wire_guide_tip_wear_orifice,ebf3_ebf_wire_guide_tip,existing_route_as_leaf,0.05,0.02,0.125,unit,discrete,ceramic,alumina_ceramic,porcelain; fused_silica,Select dielectric/thermal grade before recipe work.,motion tolerance/load/lubrication,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_ebf_wire_guide_tip_wear_orifice.yaml
route_batch_01,ebf3_emi_filter_enclosure,ebf3_emi_filter,existing_route_as_leaf,0.3,0.15,0.6,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,basic function/material/scale,enclosure_electrical_medium,likely_reuse,Same-level enclosure if scale and environment pass review.,,kb/items/parts/ebf3_emi_filter_enclosure.yaml
route_batch_02,ebf3_emi_filter_choke_bobbin_or_insulation_set,ebf3_emi_filter_choke_set,implemented_split_child,0.12,,,unit,discrete,insulator,insulator,,Child material is only a coarse hint from the implemented split; worker must choose a simulation material or import decision.,"derive from item name, parent function, and split plan; keep HV/vacuum/thermal/magnetic/motion gates explicit",,,,,kb/items/parts/ebf3_emi_filter_choke_bobbin_or_insulation_set.yaml
route_batch_03,ebf3_emi_filter_choke_core_set,ebf3_emi_filter_choke_set,implemented_split_child,0.25,,,unit,discrete,magnetic_material,magnetic_material,,Child material is only a coarse hint from the implemented split; worker must choose a simulation material or import decision.,"derive from item name, parent function, and split plan; keep HV/vacuum/thermal/magnetic/motion gates explicit",,,,,kb/items/parts/ebf3_emi_filter_choke_core_set.yaml
route_batch_04,ebf3_emi_filter_choke_mounting_base_set,ebf3_emi_filter_choke_set,implemented_split_child,0.07,,,unit,discrete,metal,metal,,Child material is only a coarse hint from the implemented split; worker must choose a simulation material or import decision.,"derive from item name, parent function, and split plan; keep HV/vacuum/thermal/magnetic/motion gates explicit",,,,,kb/items/parts/ebf3_emi_filter_choke_mounting_base_set.yaml
route_batch_01,ebf3_emi_filter_choke_terminal_set,ebf3_emi_filter_choke_set,implemented_split_child,0.06,,,unit,discrete,conductive_metal,conductive_metal,,Child material is only a coarse hint from the implemented split; worker must choose a simulation material or import decision.,"derive from item name, parent function, and split plan; keep HV/vacuum/thermal/magnetic/motion gates explicit",,,,,kb/items/parts/ebf3_emi_filter_choke_terminal_set.yaml
route_batch_02,ebf3_emi_filter_choke_winding_set,ebf3_emi_filter_choke_set,implemented_split_child,0.3,,,unit,discrete,copper,copper,,Child material is only a coarse hint from the implemented split; worker must choose a simulation material or import decision.,"derive from item name, parent function, and split plan; keep HV/vacuum/thermal/magnetic/motion gates explicit",,,,,kb/items/parts/ebf3_emi_filter_choke_winding_set.yaml
route_batch_03,ebf3_feed_liner_end_ferrule_set,ebf3_feed_liner,existing_route_as_leaf,0.08,0.04,0.16,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,basic function/material/scale,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_feed_liner_end_ferrule_set.yaml
route_batch_04,ebf3_feed_liner_tube,ebf3_feed_liner,existing_route_as_leaf,0.28,0.14,0.56,unit,discrete,composite,composite_placeholder,split_into_materials,Split or proxy if material mix affects closure.,basic function/material/scale,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_feed_liner_tube.yaml
route_batch_01,ebf3_gun_anode,ebf3_fixed_electron_beam_gun,existing_route_as_leaf,0.25,0.0825,0.75,unit,discrete,refractory_metal,molybdenum,tungsten,Electron-gun electrode material; aperture/thermal stability dominate.,electron-beam geometry/thermal stability,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_gun_anode.yaml
route_batch_02,ebf3_gun_control_electrode,ebf3_fixed_electron_beam_gun,existing_route_as_leaf,0.08,0.0264,0.24,unit,discrete,refractory_metal,molybdenum,tungsten,Electron-gun electrode material; precision and thermal stability dominate.,electron-beam geometry/thermal stability,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_gun_control_electrode.yaml
route_batch_03,ebf3_gun_control_electrode_insulator,ebf3_fixed_electron_beam_gun,existing_route_as_leaf,0.12,0.0396,0.36,unit,discrete,ceramic,molybdenum,tungsten,Electron-gun electrode material; precision and thermal stability dominate.,voltage/current/dielectric rating; electron-beam geometry/thermal stability,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_gun_control_electrode_insulator.yaml
route_batch_04,ebf3_gun_screen_electrode,ebf3_fixed_electron_beam_gun,existing_route_as_leaf,0.08,0.0264,0.24,unit,discrete,refractory_metal,molybdenum,tungsten,Electron-gun electrode material; precision and thermal stability dominate.,electron-beam geometry/thermal stability,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_gun_screen_electrode.yaml
route_batch_01,ebf3_fixed_side_screw_bearing_block_body_set,ebf3_fixed_side_screw_bearing_blocks,existing_route_as_leaf,0.5,0.2,1.25,unit,discrete,precision_metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication,bearing_set_heavy,accuracy_risk,"Load, runout, lubrication, and vacuum compatibility need review.",,kb/items/parts/ebf3_fixed_side_screw_bearing_block_body_set.yaml
route_batch_02,ebf3_fixed_side_screw_bearing_retainer_set,ebf3_fixed_side_screw_bearing_blocks,existing_route_as_leaf,0.15,0.06,0.375,unit,discrete,metal,steel,aluminum,Simple retaining hardware unless high temperature.,motion tolerance/load/lubrication,bearing_set_heavy,accuracy_risk,"Load, runout, lubrication, and vacuum compatibility need review.",,kb/items/parts/ebf3_fixed_side_screw_bearing_retainer_set.yaml
route_batch_03,ebf3_floating_side_screw_bearing_block_body_set,ebf3_floating_side_screw_bearing_blocks,existing_route_as_leaf,0.55,0.22,1.375,unit,discrete,precision_metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication,bearing_set_heavy,accuracy_risk,"Load, runout, lubrication, and vacuum compatibility need review.",,kb/items/parts/ebf3_floating_side_screw_bearing_block_body_set.yaml
route_batch_04,ebf3_floating_side_screw_bearing_retainer_set,ebf3_floating_side_screw_bearing_blocks,existing_route_as_leaf,0.15,0.06,0.375,unit,discrete,metal,steel,aluminum,Simple retaining hardware unless high temperature.,motion tolerance/load/lubrication,bearing_set_heavy,accuracy_risk,"Load, runout, lubrication, and vacuum compatibility need review.",,kb/items/parts/ebf3_floating_side_screw_bearing_retainer_set.yaml
route_batch_01,ebf3_positioning_axis_base_plate,ebf3_four_axis_positioning_system,existing_route_as_leaf,3,1.2,7.5,unit,discrete,metal,steel_plate,aluminum_plate,"Select by stiffness, flatness, thermal exposure, and manufacturability.",motion tolerance/load/lubrication; stiffness/tolerance/interface fit,metal_sheet_or_plate,accuracy_risk,Stock is not a same-level replacement; use for material/process only.,,kb/items/parts/ebf3_positioning_axis_base_plate.yaml
route_batch_02,ebf3_full_bridge_dc_busbar_set,ebf3_full_bridge_inverter,existing_route_as_leaf,0.9,0.297,2.7,unit,discrete,metal,aluminum,copper,Use copper only when current density or thermal penalty matters.,voltage/current/dielectric rating,busbar_distribution_system_v0,accuracy_risk,Current rating and conductor geometry need scaling.,,kb/items/parts/ebf3_full_bridge_dc_busbar_set.yaml
