batch,item_id,parent_ids,disposition,confidence,reason,checked_refs,next_action
2,ebf3_cabin_frame_member_set,ebf3_cabin_frame,expand_but_flag,medium,"structural_frame_small_v0 has a basic local steel-frame recipe, but mass scale, member profile, joint geometry, and vacuum-compatible finish are not same-level resolved for this cabin frame member set.",readiness_csv; item_yaml; candidate_item_yaml; recipe_structural_frame_small_v0,May use structural_frame_small_v0 as coarse frame proxy with scaling; keep flagged.
2,ebf3_cabin_frame_mounting_foot_set,ebf3_cabin_frame,expand_but_flag,medium,"structural_frame_small_v0 has a basic local recipe, but mounting feet need interface geometry, leveling/isolation assumptions, and load path review that the generic frame item does not encode.",readiness_csv; item_yaml; candidate_item_yaml; recipe_structural_frame_small_v0,May use structural_frame_small_v0 as coarse proxy only; keep mounting-interface risk flagged.
2,ebf3_cabin_gun_port_flange_ring,ebf3_cabin_gun_mounting_port,keep_ebf3_leaf,high,"No same-level candidate. This flange ring is a vacuum and fixed-gun interface with seal type, bolt pattern, gun-side flange, and HV/feedthrough details unresolved.",readiness_csv; item_yaml,Keep EBF3 leaf; review as dedicated vacuum/gun-port flange.
2,ebf3_cabin_gun_port_reinforcement_ring,ebf3_cabin_gun_mounting_port,keep_ebf3_leaf,medium,"No same-level candidate. Reinforcement ring is likely local metal work, but load case, geometry, and gun-port interface are unresolved.",readiness_csv; item_yaml,Keep EBF3 leaf; later review as local machined or welded reinforcement ring.
2,ebf3_cabin_lighting_port_frame,ebf3_cabin_lighting_mount_and_port,expand_but_flag,medium,"structural_frame_small_v0 can proxy steel frame fabrication, but this lighting port frame also carries vacuum, optical, wiring, seal, and thermal assumptions not encoded by the generic frame.",readiness_csv; item_yaml; candidate_item_yaml; recipe_structural_frame_small_v0,May use structural_frame_small_v0 only as coarse frame proxy; keep lighting-port closure flagged.
2,ebf3_cabin_lighting_shield_mount,ebf3_cabin_lighting_mount_and_port,keep_ebf3_leaf,medium,"No same-level candidate. Passive metal mount is probably local, but lamp/LED module relation, shield geometry, wiring, and thermal management are unresolved.",readiness_csv; item_yaml,Keep EBF3 leaf; later review as local sheet/machined mount if lighting subsystem matters.
2,ebf3_cabin_positioning_floor_mount_plate,ebf3_cabin_positioning_mount_interface,expand_but_flag,medium,"metal_sheet_or_plate has a local stock recipe, but readiness notes say it is not a same-level replacement. Plate thickness, flatness, datum interface, and positioning loads remain unresolved.",readiness_csv; item_yaml; candidate_item_yaml; recipe_metal_sheet_or_plate_v0,May use metal_sheet_or_plate only for material/process sensitivity; do not treat as full mount-plate closure.
2,ebf3_cabin_positioning_leveling_pad_set,ebf3_cabin_positioning_mount_interface,keep_ebf3_leaf,medium,"No same-level candidate. Leveling pad set is likely local metal hardware, but adjustment mechanism, datum scheme, fasteners, and isolation assumptions are unresolved.",readiness_csv; item_yaml,Keep EBF3 leaf; later review as local leveling/support hardware.
2,ebf3_cabin_sacrificial_liner_retainer_set,ebf3_cabin_sacrificial_liner,keep_ebf3_leaf,medium,"No same-level candidate. Retainers are likely local metal clips, but attachment method, liner interaction, thermal exposure, and vacuum compatibility remain unresolved.",readiness_csv; item_yaml,Keep EBF3 leaf; later review as local retainer/clip hardware.
3,ebf3_cabin_wall_panel_seam_set,ebf3_cabin_wall_panels,keep_ebf3_leaf,high,"Replacement register marks panel_or_door_assembly as wrong functional object. This leaf is the vacuum joining/sealing interface, not a panel body.",readiness_csv; item_yaml; replacement_register; candidate_item_yaml; recipe_panel_or_door_assembly_v0,Keep EBF3 seam leaf; review weld/seal/leak-test route explicitly.
3,ebf3_cabin_wall_panel_set,ebf3_cabin_wall_panels,keep_ebf3_leaf,high,"Replacement register marks panel_or_door_assembly as not enough accuracy for vacuum cabin boundary. Stiffness, thickness, sealing, and leak-test assumptions are hidden.",readiness_csv; item_yaml; replacement_register; candidate_item_yaml; recipe_panel_or_door_assembly_v0,Keep EBF3 wall panel leaf; evaluate cabin-wall substitution only after vacuum boundary review.
3,ebf3_cabin_wall_stiffener_set,ebf3_cabin_wall_panels,keep_ebf3_leaf,medium,"No same-level candidate. Likely local metalwork, but stiffener layout, joining method, vacuum finish, and effect on sealing are unresolved.",readiness_csv; item_yaml,Keep EBF3 leaf; later review as local structural metal subpart if cabin wall closure matters.
3,ebf3_cabin_wire_feeder_port_flange_ring,ebf3_cabin_wire_feeder_mounting_port,keep_ebf3_leaf,high,"No same-level candidate. This is a vacuum port flange with seal type, bolt pattern, feeder interface, and leak-tight geometry unresolved.",readiness_csv; item_yaml,Keep EBF3 flange leaf; review as dedicated vacuum/feedthrough flange.
3,ebf3_cabin_wire_feeder_port_reinforcement_ring,ebf3_cabin_wire_feeder_mounting_port,keep_ebf3_leaf,medium,"No same-level candidate. Likely local metalwork, but port geometry, load path, weld/fastening, and vacuum finish are unresolved.",readiness_csv; item_yaml,Keep EBF3 reinforcement leaf; later review as local machined or welded ring.
3,ebf3_can_bus_connector_set,ebf3_can_bus_interface,keep_ebf3_leaf,high,"Replacement register marks connector_electrical_multi_pin as not enough accuracy. Pin count, rating, shielding, and environment are hidden.",readiness_csv; item_yaml; replacement_register; candidate_item_yaml; recipe_connector_electrical_multi_pin_v0,Keep EBF3 connector leaf; do not use generic connector as reliable closure.
3,ebf3_can_bus_interface_shield,ebf3_can_bus_interface,keep_ebf3_leaf,medium,"No same-level candidate. Simple shield may be local, but material, EMI role, mounting, and clearance assumptions are unresolved.",readiness_csv; item_yaml,Keep EBF3 shield leaf; later review as local sheet/foil shield if controls closure matters.
3,ebf3_can_transceiver_board,ebf3_can_bus_interface,keep_ebf3_leaf,high,"Trusted EBF3 electronics board has no recipe or approved replacement. Generic electronics would hide semiconductor, transceiver, isolation, and rating assumptions.",readiness_csv; item_yaml,Treat as EBF3 import/deferred electronics leaf unless board-level decomposition is done.
3,ebf3_control_computer_io_connector_set,ebf3_control_computer,keep_ebf3_leaf,high,"Replacement register marks connector_electrical_multi_pin as not enough accuracy. Control I/O connector count, rating, shielding, and service environment are hidden.",readiness_csv; item_yaml; replacement_register; candidate_item_yaml; recipe_connector_electrical_multi_pin_v0,Keep EBF3 connector leaf; do not use generic connector as reliable closure.
3,ebf3_control_computer_processor_board,ebf3_control_computer,keep_ebf3_leaf,high,"Trusted EBF3 processor board has no recipe or approved replacement. Local closure would hide CPU, memory, PCB, semiconductor, and assembly import assumptions.",readiness_csv; item_yaml,Treat as EBF3 import/deferred electronics leaf unless control computer is decomposed.
3,ebf3_control_computer_storage_module,ebf3_control_computer,keep_ebf3_leaf,high,Trusted EBF3 storage module has no recipe or approved replacement. Flash/storage semiconductor content and board/interface details are hidden.,readiness_csv; item_yaml,Treat as EBF3 import/deferred electronics leaf unless storage module is decomposed.
3,ebf3_control_software,ebf3_controls,keep_ebf3_leaf,high,"compiled_firmware_binary is import-encoded and replacement register marks it not enough accuracy. Firmware artifact does not capture EBF3 sequencing, interlocks, logging, or control behavior.",readiness_csv; item_yaml; replacement_register; candidate_item_yaml,Keep EBF3 software leaf; model as dedicated software/control artifact if simulation needs behavior.
3,ebf3_controls_cabinet_mounting_rail_set,ebf3_controls_cabinet,keep_ebf3_leaf,medium,"No same-level candidate. Mounting rails are likely local metalwork, but rail profile, hole pattern, finish, and cabinet interface are unresolved.",readiness_csv; item_yaml,Keep EBF3 leaf; later review as local sheet/extruded rail hardware.
3,ebf3_data_logger_board,ebf3_data_logger_timebase,keep_ebf3_leaf,high,"Trusted EBF3 data logger board has no recipe or approved replacement. Electronics, timebase, storage interface, and semiconductor imports are hidden.",readiness_csv; item_yaml,Treat as EBF3 import/deferred electronics leaf unless data logger is decomposed.
3,ebf3_data_logger_connector_set,ebf3_data_logger_timebase,keep_ebf3_leaf,high,"Replacement register marks connector_electrical_multi_pin as not enough accuracy. Connector pin count, rating, shielding, and environment affect this interface.",readiness_csv; item_yaml; replacement_register; candidate_item_yaml; recipe_connector_electrical_multi_pin_v0,Keep EBF3 connector leaf; do not use generic connector as reliable closure.
3,ebf3_data_logger_storage_module,ebf3_data_logger_timebase,keep_ebf3_leaf,high,Trusted EBF3 storage module has no recipe or approved replacement. Storage semiconductor and board/interface assumptions are hidden.,readiness_csv; item_yaml,Treat as EBF3 import/deferred electronics leaf unless decomposed.
3,ebf3_dc_link_busbar_set,ebf3_dc_link_capacitor_bank,expand_but_flag,medium,"busbar_distribution_system_v0 has a recipe, but it is a placeholder distribution network. DC-link current rating, conductor geometry, insulation, and scaling are hidden.",readiness_csv; item_yaml; candidate_item_yaml; recipe_busbar_distribution_system_v0,May use busbar_distribution_system_v0 only as power-bus sensitivity proxy; do not treat as reliable DC-link closure.
3,ebf3_dc_link_capacitor_module_set,ebf3_dc_link_capacitor_bank,expand_but_flag,medium,"capacitor_bank_filter has a recipe, but it assumes imported capacitor elements and hides voltage, ripple current, dielectric, discharge, and terminal requirements.",readiness_csv; item_yaml; candidate_item_yaml; recipe_capacitor_bank_filter_v1,May use capacitor_bank_filter only as sensitivity proxy; keep import/component risk flagged.
4,ebf3_dc_link_discharge_resistor_set,ebf3_dc_link_capacitor_bank,keep_ebf3_leaf,high,"No same-level KB candidate. Treating this as generic electronics would hide discharge rating, thermal behavior, safety timing, and imported resistor content.",readiness_csv; item_yaml,Keep EBF3 leaf; decompose resistor technology/rating only if DC-link safety or import mass becomes important.
4,ebf3_dc_link_mounting_frame,ebf3_dc_link_capacitor_bank,expand_but_flag,medium,"structural_frame_small_v0 has a local placeholder recipe, but it is 12 kg vs 0.7 kg and hides capacitor mounting, insulation, stiffness, and geometry assumptions.",readiness_csv; item_yaml; candidate_item_yaml; recipe_structural_frame_small_v0,Use only as structural-frame sensitivity proxy with EBF3 mass retained; not reliable local closure.
4,ebf3_disconnect_switch_actuator,ebf3_main_disconnect_switch,keep_ebf3_leaf,medium,"No same-level KB candidate. Polymer actuator material, vacuum/outgassing, temperature, ergonomics, and switch interface remain unresolved.",readiness_csv; item_yaml,Keep EBF3 leaf; later choose material and route if disconnect switch closure matters.
4,ebf3_disconnect_switch_contact_set,ebf3_main_disconnect_switch,keep_ebf3_leaf,high,"No same-level KB candidate. Contact alloy, current rating, arcing, wear, and insulation spacing are performance-defining; generic electronics would misstate local capability.",readiness_csv; item_yaml,"Keep EBF3 leaf; review as electrical contact set, not electronics-board proxy."
4,ebf3_drive_roll_carrier_body,ebf3_drive_roll_carrier,keep_ebf3_leaf,high,"No same-level KB candidate. Bearing seat geometry, alignment tolerance, machining finish, and vacuum-compatible finish are unresolved.",readiness_csv; item_yaml,Keep EBF3 leaf; later review as precision machined carrier body.
4,ebf3_drive_roll_carrier_spacer,ebf3_wire_feeder,keep_ebf3_leaf,medium,"No same-level KB candidate. Likely local simple part, but thickness tolerance, alignment role, and material choice are still unresolved.",readiness_csv; item_yaml,Keep EBF3 leaf; later classify as local spacer only after tolerance/material check.
4,ebf3_drive_roll_cover_shell,ebf3_drive_roll_cover,keep_ebf3_leaf,medium,"No same-level KB candidate. Cover shell may be local sheet/metalwork, but geometry, mounting, clearance, and finish route are unresolved.",readiness_csv; item_yaml,Keep EBF3 leaf; review as local cover shell if wire-feeder enclosure closure matters.
4,ebf3_ebf_wire_guide_tip_body,ebf3_ebf_wire_guide_tip,keep_ebf3_leaf,high,"No same-level KB candidate. Wire-guide body affects feed alignment, wear, surface finish, and possible beam-adjacent geometry; local route unresolved.",readiness_csv; item_yaml,Keep EBF3 leaf; review as precision guide-tip body.
4,ebf3_ebf_wire_guide_tip_mounting_feature,ebf3_ebf_wire_guide_tip,keep_ebf3_leaf,medium,"No same-level KB candidate. Small metal feature, but mounting tolerance, guide alignment, and finish assumptions can affect wire path reliability.",readiness_csv; item_yaml,Keep EBF3 leaf; later review with guide-tip geometry.
4,ebf3_ebf_wire_guide_tip_wear_orifice,ebf3_ebf_wire_guide_tip,keep_ebf3_leaf,high,"No same-level KB candidate. Ceramic grade, bore tolerance, surface finish, wear behavior, and dielectric/thermal role are unresolved.",readiness_csv; item_yaml,Keep EBF3 leaf; decompose ceramic wear orifice if guide-tip closure matters.
4,ebf3_emi_filter_capacitor_set,ebf3_emi_filter,expand_but_flag,medium,"capacitor_bank_filter is only a rough proxy and its recipe explicitly imports capacitor elements while hiding voltage, ripple, dielectric, and terminal requirements.",readiness_csv; item_yaml; candidate_item_yaml; recipe_capacitor_bank_filter_v1,Use only as EMI capacitor sensitivity proxy; keep import/component risk flagged.
4,ebf3_emi_filter_choke_set,ebf3_emi_filter,expand_but_flag,medium,"inductor_filter_large is same broad function but placeholder; core material, winding, insulation, current rating, EMI performance, and thermal assumptions are hidden.",readiness_csv; item_yaml; candidate_item_yaml; recipe_inductor_filter_large_v0,Use only as choke/inductor sensitivity proxy; not reliable local closure.
4,ebf3_emi_filter_enclosure,ebf3_emi_filter,expand_but_flag,medium,"Replacement register marks enclosure_electrical_medium not enough accuracy. It is a generic 4 kg enclosure vs 0.3 kg EMI housing and hides EMI, clearance, thermal, and service geometry.",readiness_csv; item_yaml; replacement_register; candidate_item_yaml; recipe_enclosure_electrical_medium_v0,Use only as sheet-metal enclosure proxy with EBF3 mass retained; do not mark local_ok.
4,ebf3_feed_liner_end_ferrule_set,ebf3_feed_liner,keep_ebf3_leaf,medium,"No same-level KB candidate. Ferrule geometry, retention method, material, wear, and replacement policy remain unresolved.",readiness_csv; item_yaml,Keep EBF3 leaf; review with feed-liner tube.
4,ebf3_feed_liner_tube,ebf3_feed_liner,keep_ebf3_leaf,medium,"No same-level KB candidate. Composite/vacuum-ready material, bore, coating, wear, and length are unresolved; wrong classification would hide feed-path capability.",readiness_csv; item_yaml,Keep EBF3 leaf; split material or import decision later.
4,ebf3_fixed_side_screw_angular_contact_bearing_set,ebf3_fixed_side_screw_bearing_blocks,expand_but_flag,medium,"bearing_set_heavy is bearing-family but too coarse: 4 kg heavy bearing vs 0.35 kg angular-contact set, with preload, runout, vacuum lubrication, and load rating hidden.",readiness_csv; item_yaml; candidate_item_yaml; recipe_bearing_set_heavy_v0,Use only as bearing-manufacture sensitivity proxy; not reliable precision-motion closure.
4,ebf3_fixed_side_screw_bearing_block_body_set,ebf3_fixed_side_screw_bearing_blocks,keep_ebf3_leaf,high,"bearing_set_heavy is wrong level/function: this leaf is a bearing block body, not the bearing itself. Bearing seat geometry and alignment tolerances are unresolved.",readiness_csv; item_yaml; candidate_item_yaml; recipe_bearing_set_heavy_v0,Keep EBF3 leaf; review as precision machined bearing block.
4,ebf3_fixed_side_screw_bearing_retainer_set,ebf3_fixed_side_screw_bearing_blocks,keep_ebf3_leaf,high,"bearing_set_heavy is wrong level/function: this leaf is retainer/preload hardware, not a complete bearing set. Fastening and preload method are unresolved.",readiness_csv; item_yaml; candidate_item_yaml; recipe_bearing_set_heavy_v0,Keep EBF3 leaf; review retainer/preload hardware separately.
4,ebf3_floating_side_screw_bearing_block_body_set,ebf3_floating_side_screw_bearing_blocks,keep_ebf3_leaf,high,bearing_set_heavy is wrong level/function: this leaf is a floating-side bearing block body. Seat geometry and axial-float strategy are unresolved.,readiness_csv; item_yaml; candidate_item_yaml; recipe_bearing_set_heavy_v0,Keep EBF3 leaf; review as precision machined floating bearing block.
4,ebf3_floating_side_screw_bearing_retainer_set,ebf3_floating_side_screw_bearing_blocks,keep_ebf3_leaf,high,"bearing_set_heavy is wrong level/function: this leaf is retainer/cap hardware, not the bearing itself. Axial-float allowance and fastener details are unresolved.",readiness_csv; item_yaml; candidate_item_yaml; recipe_bearing_set_heavy_v0,Keep EBF3 leaf; review floating-side retainer hardware separately.
5,ebf3_floating_side_screw_radial_bearing_set,ebf3_floating_side_screw_bearing_blocks,expand_but_flag,medium,"bearing_set_heavy is same broad bearing family, but 4 kg heavy bearing vs 0.3 kg floating-side radial set hides preload/runout, axial-float role, lubrication, and vacuum compatibility.",readiness_csv; item_yaml; candidate_item_yaml; recipe_bearing_set_heavy_v0; bearing_set_heavy_production_v0,Use only as bearing-manufacture sensitivity proxy; do not treat as reliable precision-motion closure.
5,ebf3_full_bridge_dc_busbar_set,ebf3_full_bridge_inverter,expand_but_flag,medium,"busbar_distribution_system_v0 has a recipe, but it is a 12 kg placeholder distribution network and hides inverter DC-link current, conductor geometry, insulation, creepage, and scaling.",readiness_csv; item_yaml; candidate_item_yaml; recipe_busbar_distribution_system_v0,Use only as power-bus sensitivity proxy with EBF3 mass retained; not reliable inverter busbar closure.
5,ebf3_full_bridge_gate_driver_board_set,ebf3_full_bridge_inverter,keep_ebf3_leaf,high,"No same-level KB candidate. Generic electronics would hide gate-driver ICs, isolation, timing, protection behavior, PCB assembly, and semiconductor import content.",readiness_csv; item_yaml,Keep EBF3 board leaf; decompose or import gate-driver electronics only if inverter closure matters.
5,ebf3_full_bridge_heat_sink,ebf3_full_bridge_inverter,expand_but_flag,medium,"Replacement register marks heat_sink_base_machined not enough accuracy. It is same broad heat-sink hardware, but hides thermal resistance, isolation, mounting, cooling path, and mass/scale mismatch.",readiness_csv; item_yaml; replacement_register; candidate_item_yaml; recipe_heat_sink_base_machined_v1,Use only as heat-sink machining sensitivity proxy; do not mark local_ok.
