machine_id,file,bucket,priority,classification,recommendation_excerpt,confidence_excerpt
enclosure_small,research/machines/enclosure_small.md,"tooling/instrument/consumable resource",high,"Real practical object, but not a machine. It is a generic electrical/electronics enclosure category.","Do not treat `enclosure_small` as a real machine. Keep it as a real, reusable part or subassembly. Recommended cleanup: - Reclassify from `kind: machine` to a part/subassembly classification if the schema allows it. - Consider renaming to `electronics_enclosure_small` or `electrical_enclosure_small` for clarity.","Confidence: high that the object is real and commercially standard; high that it is not a machine; medium on the exact 5 kg mass because commercial enclosure mass depends strongly on size, wall thickness, NEMA/IP rating, door/cover design, and hardware."
epoxy_synthesis_unit,research/machines/epoxy_synthesis_unit.md,"subsystem/station/infrastructure, not single machine",medium,"Real practical equipment category, but chemistry-specific and partly misused.","Keep only for epoxy/resin synthesis, and move unrelated chemistry elsewhere. Recommended options: - Define `epoxy_synthesis_unit` as a small resin reactor or resin synthesis skid, not a generic chemical reactor. - Use `chemical_reactor_basic` or a specific HCl reactor for `hcl_synthesis_from_h2_cl2_v0`; an epoxy unit is not the right semantic machine.",Confidence: high that epoxy/resin reactors are real; high that the current KB item is too generic in usage; medium on the 200 kg mass because scale is unspecified.
excavator_basic,research/machines/excavator_basic.md,clear commercial/practical machine,low,"Real practical machine, but scale and environment need clarification.","Keep `excavator_basic` as a real machine, but scope it as a compact electric-hydraulic mini excavator or small regolith excavator. Recommended refinements: - Clarify whether this is terrestrial-style mini excavator, lunar-adapted excavator, or generic excavation capacity. - Keep the 2000 kg mass for a compact excavator; do not use it as a proxy for large mining equipment.",Confidence: high that the item is real; high that 2-ton mini-excavator mass is plausible; medium that a terrestrial excavator architecture is appropriate for lunar regolith mining.
fixturing_workbench,research/machines/fixturing_workbench.md,"subsystem/station/infrastructure, not single machine",medium,"Real practical shop equipment/workholding station, not a production machine by itself.","Keep `fixturing_workbench` as real and useful equipment, but classify it as workholding/shop infrastructure rather than a powered manufacturing machine. Specific recommendations: - Keep it separate from `workbench_basic` and `assembly_workbench_v0`; welding/fabrication fixture tables provide a distinct capability.","Confidence: high that this is real practical equipment; high that the KB decomposition is plausible; medium on mass and precision because table capability depends on size, material, thickness, flatness tolerance, and accessory set."
forging_press_v0,research/machines/forging_press_v0.md,clear commercial/practical machine,low,"Real practical machine, but it overlaps with other press/forging entries.","Keep only if the KB needs dedicated hot-forging press capability. Recommended options: - Use `hydraulic_press` for general pressing, compaction, bearings, and cold forming. - Use `power_hammer_or_press` where impact forging or hammer-like drawing is intended. - Use `forging_press_v0` where controlled hot forging under sustained force is specifically needed.",Confidence: high that forging presses are real; medium that the KB needs this separate item in addition to `hydraulic_press` and `power_hammer_or_press`.
furnace_basic,research/machines/furnace_basic.md,generic/ambiguous/duplicate needing cleanup,high,"Real practical machine, but a generic category.","Keep `furnace_basic` as a real, useful, generic 200-1200 C furnace. Recommended refinements: - Define it as a ""general-purpose refractory-lined box/crucible furnace"" rather than a catch-all furnace. - Use it for moderate-temperature heating, calcination, basic annealing/stress relief, ceramic firing within its range, and simple low-scale melting where atmosphere and pouring details are not critical.",Confidence: high that the item is real and commercially common; high that the BOM is plausible for a compact general furnace; medium on process references because some current uses may need more specific furnace equipment.
furnace_high_temp,research/machines/furnace_high_temp.md,clear commercial/practical machine,low,real practical machine category.,"Keep as a real, important machine category. Recommended future refinement: - Clarify whether this represents a 1600-1800 C high-temperature furnace or a 2500-3000 C graphite/vacuum furnace. - Use `furnace_basic` for general heating/melting up to around 1200 C. - Use `heat_treatment_furnace_v0` for controlled metal heat-treatment cycles.",Confidence: high that the machine category is real and necessary; medium that one 800 kg generic item should cover every 1600-3000 C use case.
generic_chemical_reactor_v0,research/machines/generic_chemical_reactor_v0.md,generic/ambiguous/duplicate needing cleanup,high,"real equipment category / placeholder, not a single practical universal machine.","Keep `generic_chemical_reactor_v0` as a temporary coarse placeholder, but make its limits explicit. Recommended cleanup when KB edits are allowed: - Annotate as ""generic stirred/jacketed reactor placeholder"" rather than a universal reactor. - Prefer `chemical_reactor_basic` where the existing basic reactor BOM fits.",Confidence: high that chemical reactors are real; medium-low that this specific generic item is realistic across all current process references.
glass_furnace_v0,research/machines/glass_furnace_v0.md,generic/ambiguous/duplicate needing cleanup,high,"real practical machine family, modeled as a generic small glass melting furnace.","Keep `glass_furnace_v0`, but clarify its scope as ""small glass melting furnace"" or ""small electric glass melting furnace"" if future KB edits are allowed. Recommended interpretation: - Keep as a real machine. - Treat the current 1400 kg item as small production/lab/studio-scale, not as an industrial continuous tank furnace.",Confidence: high that glass furnaces are real and that the KB item is plausible as a small furnace; medium on the exact 1400 kg mass and process coverage.
gravity_separator,research/machines/gravity_separator.md,clear commercial/practical machine,low,Real practical machine category.,"Keep `gravity_separator` as a real compact mineral-processing machine, but tighten scope. Recommended refinements: - Rename or annotate as `gravity_density_separator_table` or `dry_air_table_gravity_separator` if the current BOM remains air-table based. - Do not imply one item covers all gravity separation methods; jigs, spirals, wet shaking tables, and centrifugal concentrators differ.","Confidence: high that gravity/density separators are real; high that the KB BOM resembles a real air table; medium on lunar effectiveness because low gravity, vacuum, dust, and lack of water change separator design."
grinding_wheels,research/machines/grinding_wheels.md,"tooling/instrument/consumable resource",high,"Real practical consumable/tooling set, not a standalone machine.","Keep `grinding_wheels`, but treat it as consumable abrasive tooling rather than a machine. Recommended refinements: - Reclassify from `kind: machine` to part/tooling/consumable if schema supports process requirements on non-machines. - Keep it separate from `surface_grinder`; the grinder is incomplete without wheels, and wheels wear out.",Confidence: high that grinding wheels are real and necessary; high that they are consumables/tooling rather than machines; medium that the current ISRU recipe can produce precision-quality wheels without added grain/bond/porosity/safety detail.
hand_tools_basic,research/machines/hand_tools_basic.md,"tooling/instrument/consumable resource",high,"real practical tool kit, not a machine.","Keep as a tool kit, but do not treat it as a true machine. Recommended future cleanup: - Reclassify as part/tooling if the schema supports it, or document that `kind: machine` is being used to represent reusable shop tooling. - Keep `hand_tools_basic` as the general fallback for labor-bot manual work.",Confidence: high that the item is real; high that it is better described as reusable tooling than a machine.
hand_tools_electrical,research/machines/hand_tools_electrical.md,"tooling/instrument/consumable resource",high,"Real practical tool kit, not a standalone machine.","Keep as an electrical hand-tool kit. Recommended options: - Treat as reusable hand tooling, not as a machine. - Keep separate from `hand_tools_mechanical` where insulation, wire stripping, and electrical safety matter. - Do not use as a substitute for `wire_crimping_tools` or `crimping_tool_set` where connector-specific crimp quality matters.",Confidence: high that the item is real and useful; high that it is a tool kit rather than a machine; medium on how much overlap should remain with crimping-specific tool items.
hand_tools_mechanical,research/machines/hand_tools_mechanical.md,"tooling/instrument/consumable resource",high,"Real practical tool kit, not a standalone machine.","Keep as a tool kit, but avoid counting it as a machine. Recommended options: - Treat `hand_tools_mechanical` as reusable tool inventory. - Keep separate from `hand_tools_electrical` only where insulated handles, crimping, wire stripping, or electrical safety matters. - Consider consolidating into `hand_tools_basic` or `assembly_tools_basic` for coarse processes under Conservative Mode.","Confidence: high that the item is real; high that it is a tool kit rather than a machine; medium on whether the KB benefits from separate `hand_tools_basic`, `hand_tools_mechanical`, and `assembly_tools_basic` items."
heat_treatment_furnace_v0,research/machines/heat_treatment_furnace_v0.md,clear commercial/practical machine,low,real practical machine.,"Keep as a real and useful machine. Recommended future wording: ""programmable chamber heat-treatment furnace for hardening, tempering, annealing, and stress relief."" Keep it distinct from `furnace_high_temp`, `reduction_furnace_v0`, and `sintering_furnace_v0`. If processes require carburizing, nitriding, bright annealing, or oxygen-sensitive alloys, add controlled-atmosphere hardware explicitly. If hardening is modeled, keep quench racks/baskets and link to a quench tank or cooling station.",Confidence: high that the item is real and appropriately modeled; medium on whether controlled atmosphere is needed for all current uses.
heating_furnace,research/machines/heating_furnace.md,generic/ambiguous/duplicate needing cleanup,high,"real practical machine, possible KB duplicate/variant.","Keep as real equipment, but review for consolidation with `furnace_basic`. Recommended cleanup when KB edits are allowed: - If `heating_furnace` only means general 600-1200 C heating, consolidate references into `furnace_basic`. - If it is specifically a preheat furnace for rolling/forming or getter activation, rename to ""preheating furnace"" and document that distinct duty.",Confidence: high that the equipment is real; medium-low that it should remain distinct from `furnace_basic`.
heating_plate_induction_heater,research/machines/heating_plate_induction_heater.md,generic/ambiguous/duplicate needing cleanup,high,"real practical small heating machine, but name/scope is ambiguous.","Keep the item, but clarify the name and intended heater type. Recommended future paths: - If used for bearing installation, rename to `induction_bearing_heater_v0` or `thermal_fit_heater_v0`. - If used as a general heating plate in plastic extrusion/reactors, rename to `controlled_heating_plate_v0`. - If both functions are needed, split induction bearing heater from resistive heating plate.",Confidence: high that bearing/shrink-fit heaters and hot plates are real; medium that the combined KB name should remain one item.
heliostat_array_system_v0,research/machines/heliostat_array_system_v0.md,"subsystem/station/infrastructure, not single machine",medium,real practical system category / array of machines.,"Keep, but clarify as a small heliostat array/field module. Recommended future wording: ""Small modular heliostat field for redirecting/concentrating sunlight to a fixed receiver or target; composed of mirror panels, frames, actuators, controls, and mounts."" If the KB later models utility-scale CSP or kilometer-scale lunar polar illumination, scale by number of heliostat modules rather than making one generic unit cover all cases.",Confidence: high that heliostats and heliostat fields are real practical systems; medium that the 885 kg item is appropriately scaled for the current polar mining/extraction use cases.
high_temperature_power_supply_v0,research/machines/high_temperature_power_supply_v0.md,clear commercial/practical machine,low,"real practical machine category, with naming ambiguity.","Keep the item, but clarify the name and scope. Recommended interpretation: an industrial high-current process power supply for high-temperature electrolysis and furnace-like processes. Recommended future cleanup: - Rename or note it as `high_current_process_power_supply_v0`. - Split process-specific supplies only if voltage/current/regulation requirements matter.",Confidence: high that this is a real practical equipment category; medium that one generic supply can cover every KB process currently referencing it.
hot_press_v0,research/machines/hot_press_v0.md,clear commercial/practical machine,low,real practical machine.,"Keep as a real specialized machine. Recommended future wording: ""pilot-scale heated platen/vacuum hot press for powder and ceramic consolidation."" If the KB only requires low-temperature polymer/composite pressing, a simpler heated hydraulic press is enough. If it requires NdFeB magnets, ceramics, graphite, tungsten, or refractory materials, model it as a high-temperature hot press with explicit die/tooling, load measurement, and possibly vacuum/inert atmosphere.",Confidence: high that hot presses are real and distinct; medium that the current BOM fully represents the required high-temperature/vacuum implementation.
hydraulic_power_unit_basic,research/machines/hydraulic_power_unit_basic.md,"subsystem/station/infrastructure, not single machine",medium,real practical machine subsystem / hydraulic power pack.,"Keep `hydraulic_power_unit_basic` as a real reusable subsystem. Specific recommendation: - Keep separate from `hydraulic_press`; it is a power subsystem used by multiple machines. - Consider classifying/documenting it as `equipment` or `subassembly` if the KB later distinguishes those from machines. - Preserve pump, reservoir, motor, valve manifold, relief valve, filtration, and controls in the model.",Confidence: high.
hydraulic_press,research/machines/hydraulic_press.md,clear commercial/practical machine,low,real practical machine.,"Keep `hydraulic_press` as the canonical general-purpose press. Recommended cleanup when KB edits are allowed: - Preserve the existing dedupe decision that consolidates smaller generic presses into this item. - Keep it distinct from `press_brake`, `stamping_press_basic`, and forging equipment only when those specific mechanics matter.",Confidence: high that the machine is real and that the KB consolidation is sensible.
induction_forge_v0,research/machines/induction_forge_v0.md,clear commercial/practical machine,low,"real practical machine, but current canonical BOM is incomplete.","Keep as a real machine, but refine the BOM and name/scope. Recommended future wording: ""industrial induction billet/bar heater for forging and heat treatment."" If the intent is a blacksmith-scale unit, reduce mass substantially. If the intent is a production forging heater, keep the large mass but add explicit induction power supply, capacitor bank, copper coils, cooling/chiller, temperature sensing, controls, and handling hardware.",Confidence: high that induction forges/heaters are real and relevant; high that the current BOM is incomplete; medium on the intended scale.
inspection_tools_basic,research/machines/inspection_tools_basic.md,"tooling/instrument/consumable resource",high,"real kit/tool bundle, not a standalone machine.","Keep the concept, but rename or reclassify it as a tool kit rather than a machine. Recommended future cleanup: - Use `inspection_tools_basic` for low-end manual inspection and sorting: magnifier, straightedge, ruler, simple gauges, calipers, and visual aids. - Use `measurement_equipment` for a broader calibrated metrology kit with micrometers, gauge blocks, dial indicators, and electrical instruments.",Confidence: high that the item is real and useful; high that it is a kit rather than a machine; medium on whether it should be merged with `measurement_equipment`.
labor_bot_general_v0,research/machines/labor_bot_general_v0.md,clear commercial/practical machine,low,"Real practical machine class, but the KB item is also a deliberate modeling abstraction for generalized labor capacity.","Keep `labor_bot_general_v0`; it is a real machine class and a necessary SERES modeling primitive. Recommended realism notes: - Keep the indoor/pressurized-habitat assumption explicit. Do not use this item for EVA, abrasive regolith fieldwork, high-temperature proximity, vacuum, or dusty excavation without a specialized robot.","Confidence: high that the machine class is real; high that it is appropriate as an explicit labor resource; medium on the exact mass/payload/reach combination; medium on autonomy assumptions because real industrial robots normally need task-specific programming, fixtures, guarding, and integration."
lifting_equipment,research/machines/lifting_equipment.md,clear commercial/practical machine,low,real practical machine category.,"Keep the item as a generic workshop lifting system. Recommended clarification: ""Small rated gantry crane or overhead hoist/trolley system for 500 kg component handling during assembly."" This prevents confusion with large cranes, forklifts, or mining material-handling systems. Future cleanup should ensure:",Confidence: high that this is real and practical; high that it matches current KB motor assembly needs.
measurement_equipment,research/machines/measurement_equipment.md,"tooling/instrument/consumable resource",high,"real practical metrology/tooling kit, not a single machine.","Keep as a real metrology kit, but reclassify as a tool/equipment set rather than a machine. Recommended cleanup: - Define it as ""calibrated measurement and metrology equipment set."" - Keep gauge blocks/reference standards explicitly or implicitly inside this item. - Remove or clarify ""coordinate measuring equipment"" unless the KB intends a small portable measuring arm; a full CMM should be separate.",Confidence: high that the item is real and necessary; high that it is a kit rather than a machine; medium on how advanced its CMM/electrical content should be.
metal_forming_basic_v0,research/machines/metal_forming_basic_v0.md,generic/ambiguous/duplicate needing cleanup,high,generic equipment set / placeholder bundle made from real machines.,"Recommendation: mark as a generic forming equipment set or replace with specific machines where possible. Specific recommendation: - Do not treat `metal_forming_basic_v0` as a fake machine; it represents real shop capabilities. - Do treat it as a generic bundle, not a standard purchasable machine. - Give it a display name such as ""Basic metal forming equipment set"" if future edits are allowed.",Confidence: high that the underlying capabilities are real; high that the current item is a generic equipment-set abstraction rather than a single machine.
metal_shear_or_saw,research/machines/metal_shear_or_saw.md,generic/ambiguous/duplicate needing cleanup,high,"Real practical machine category or shop station, but not a single exact machine type.","Keep for now as a generic metal stock-prep machine, but make the abstraction explicit. Recommended options: - Keep `metal_shear_or_saw` as the broad canonical machine for low-detail fabrication recipes. - For higher realism, split into `metal_cutting_bandsaw` and `sheet_metal_shear` when process geometry matters.",Confidence: high that the underlying machines are real; medium that the combined KB abstraction is adequate for all current uses.
milling_machine_general_v0,research/machines/milling_machine_general_v0.md,generic/ambiguous/duplicate needing cleanup,high,"real practical machine, but currently a deprecated duplicate/consolidation target.","Do not mark the concept unrealistic. Manual/general milling machines are real and foundational. For the current KB, pick one of two coherent paths: - If the self-reproducing set wants one canonical milling machine, finish consolidation into `cnc_mill` and update remaining process references away from `milling_machine_general_v0`.",Confidence: high that the machine class is real; high that the KB has a consolidation inconsistency; medium on whether the intended model should keep manual and CNC milling separate.
