Item,Qty,CAD file,Description / Product ID,Manufacturer,Link URL,Subsystem (suggested),Material family,Specific material / grade,Notes,Page,Raw row text
1B51,1,1B51_SM2A53-Step,"M52x0,75; Internal SM2 Threads",Thorlabs,https://www.thorlabs.com/thorproduct.cfm?partnumber=SM2A53,,,,,2,"1B51 1 1B51_SM2A53-Step Thorlabs M52x0,75; Internal SM2 Threads"
1B52,1,1B52_flange_schlieren_imaging,,,,,,,,2,1B52 1 1B52_flange_schlieren_imaging
1B61,1,1B61_seal,,Lisema,https://www.lisema.eu/,,,,,2,1B61 1 1B61_seal Lisema
1B62,1,1B62_cover,"GN 820.2-Toggle clamps, Type MFC, U-bar version, with two",,,,,,,2,"1B62 1 1B62_cover GN 820.2-Toggle clamps, Type MFC, U-bar version, with two"
1C0,2,1C0_clamp_GN 820_2-230-MFC,flanged washers and GN spindle assembly,GanterNorm,https://www.ganternorm.com/de/produkte/2.4-Spannen-mit-Spannmechanik/Schnellspanner/GN-853-Edelstahl-Verschlussspanner-mit-Verriegelung#Gr%C3%B6%C3%9Fe%3Di(160)%3BForm%3Du(bec5acdb-2fc0-4cf4-9459-a053043062c1)%3BWerkstoff%3Du(4ffaa763-f739-4917-9edb-5c7ca96d4057),,,,,2,1C0 2 1C0_clamp_GN 820_2-230-MFC GanterNorm flanged washers and GN spindle assembly
1D1,2,1D1_part_1,door hinge,Pfeiffer Vacuum,,,,,,2,1D1 2 1D1_part_1 door hinge Pfeiffer Vacuum
1D2,2,1D2_part_2,door hinge,Pfeiffer Vacuum,,,,,,2,1D2 2 1D2_part_2 door hinge Pfeiffer Vacuum
1D3,2,1D3_part_3,door hinge,Pfeiffer Vacuum,,,,,,2,1D3 2 1D3_part_3 door hinge Pfeiffer Vacuum
1E,2,1E_adapter_hinge,,,,,,,,2,1E 2 1E_adapter_hinge
2A1,1,2A1_bottom,,,,,,,,3,2A1 1 2A1_bottom
2A2,1,2A2_back_plate,,,,,,,,3,2A2 1 2A2_back_plate
2A3,1,2A3_slide_HGL15CA2R600Z0H_part_1,linear guide slide,Hiwin,https://www.hiwin.de/de/Produkte/Profilschienenf%C3%BChrungen/Auswahl-%C3%BCber-Laufwagen/Baureihe-HG-QH/HGL/HGL15CAZ0H/p/5-001374,,,,,3,2A3 1 2A3_slide_HGL15CA2R600Z0H_part_1 linear guide slide Hiwin
2A4,3,2A4_slide_HGL15CA2R600Z0H_part_2,linear guide slide,Hiwin,https://www.hiwin.de/de/Produkte/Profilschienenf%C3%BChrungen/Auswahl-%C3%BCber-Laufwagen/Baureihe-HG-QH/HGL/HGL15CAZ0H/p/5-001374,,,,,3,2A4 3 2A4_slide_HGL15CA2R600Z0H_part_2 linear guide slide Hiwin
2A51,2,2A51_linear_guide_HGL15CA2R600Z0H,linear guide rail,Hiwin,https://www.hiwin.de/de/Produkte/Profilschienenf%C3%BChrungen/Auswahl-%C3%BCber-Profilschiene/HGR/HGR-R/HGR15R4000H/p/5-001920,,,,,3,2A51 2 2A51_linear_guide_HGL15CA2R600Z0H linear guide rail Hiwin
2A6,1,2A6_left_plate,,,,,,,,3,2A6 1 2A6_left_plate
2A7,1,2A7_right_plate,,,,,,,,3,2A7 1 2A7_right_plate
2A8,1,2A8_left_distance_piece,,,,,,,,3,2A8 1 2A8_left_distance_piece
2A9,1,2A9_right_distance_piece,,,,,,,,3,2A9 1 2A9_right_distance_piece
2AA,1,2AA_left_support_plate,,,,,,,,3,2AA 1 2AA_left_support_plate
2AB,1,2AB_right_support_plate,,,,,,,,3,2AB 1 2AB_right_support_plate
2AC1,1,2AC1_part_1,axis bearing bottom,,,,,,,3,2AC1 1 2AC1_part_1 axis bearing bottom
2AC2,1,2AC2_part_2,axis bearing bottom,,,,,,,3,2AC2 1 2AC2_part_2 axis bearing bottom
2AC3,1,2AC3_part_3,axis bearing bottom,,,,,,,3,2AC3 1 2AC3_part_3 axis bearing bottom
2AC4,1,2AC4_part_4,axis bearing bottom,,,,,,,3,2AC4 1 2AC4_part_4 axis bearing bottom
2AC5,1,2AC5_part_5,axis bearing bottom,,,,,,,3,2AC5 1 2AC5_part_5 axis bearing bottom
2AC6,1,2AC6_part_6,axis bearing bottom,,,,,,,3,2AC6 1 2AC6_part_6 axis bearing bottom
2AC7,1,2AC7_part_7,axis bearing bottom,,,,,,,3,2AC7 1 2AC7_part_7 axis bearing bottom
2AC8,1,2AC8_part_8,axis bearing bottom,,,,,,,3,2AC8 1 2AC8_part_8 axis bearing bottom
2AC9,1,2AC9_part_9,axis bearing bottom,,,,,,,3,2AC9 1 2AC9_part_9 axis bearing bottom
2AD1,1,2AD1_part_1,axis bearing top,,,,,,,3,2AD1 1 2AD1_part_1 axis bearing top
2AD2,1,2AD2_part_2,axis bearing top,,,,,,,3,2AD2 1 2AD2_part_2 axis bearing top
2AD3,1,2AD3_part_3,axis bearing top,,,,,,,3,2AD3 1 2AD3_part_3 axis bearing top
2AD4,1,2AD4_part_4,axis bearing top,,,,,,,3,2AD4 1 2AD4_part_4 axis bearing top
2AD5,1,2AD5_part_5,axis bearing top,,,,,,,3,2AD5 1 2AD5_part_5 axis bearing top
2AD6,1,2AD6_part_6,axis bearing top,,,,,,,3,2AD6 1 2AD6_part_6 axis bearing top
2AD7,1,2AD7_part_7,axis bearing top,,,,,,,3,2AD7 1 2AD7_part_7 axis bearing top
2AD8,1,2AD8_part_8,axis bearing top,,,,,,,3,2AD8 1 2AD8_part_8 axis bearing top
2AD9,1,2AD9_part_9,axis bearing top,,,,,,,3,2AD9 1 2AD9_part_9 axis bearing top
2ADA,1,2ADA_part_A,axis bearing top,,,,,,,3,2ADA 1 2ADA_part_A axis bearing top
2ADB,1,2ADB_part_B,axis bearing top,,,,,,,3,2ADB 1 2ADB_part_B axis bearing top
2ADC,1,2ADC_part_C,axis bearing top S5/0500 K+C glass scale S5 -,,,,,,,3,2ADC 1 2ADC_part_C axis bearing top S5/0500 K+C glass scale S5 -
2AE,1,2AE_glass_scale_slide,measuring range 520 mm: slide S5/0500 K+C glass scale S5 -,K+C,https://www.kuc-maschinen.de/produkt/linear-glasmassstaebe/,,,,,3,2AE 1 2AE_glass_scale_slide K+C measuring range 520 mm: slide S5/0500 K+C glass scale S5 -
2AF1,1,2AF1_track,measuring range 520 mm: track,K+C,https://www.kuc-maschinen.de/produkt/linear-glasmassstaebe/,,,,,3,2AF1 1 2AF1_track K+C measuring range 520 mm: track
2AG,1,2AG_cover_plate,,,,,,,,3,2AG 1 2AG_cover_plate
2AH,1,2AH_connection_mount,"R16-05T3-DEB-401-490- 0,023+E1_S21-10+E2_S11-",,,,,,,3,"2AH 1 2AH_connection_mount R16-05T3-DEB-401-490- 0,023+E1_S21-10+E2_S11-"
2AI,1,2AI_connection_axis,10+MR_E2_FILE_1: connection axis R16-05T3-DEB-401-490-,Karl Hipp GmbH,https://www.karl-hipp.de/produkte/praezisionskugelgewindetriebe/nenndurchmesser-16mm/16-04/item/kgt-f1-16-04,,,,,3,2AI 1 2AI_connection_axis Karl Hipp GmbH 10+MR_E2_FILE_1: connection axis R16-05T3-DEB-401-490-
2AJ1,1,2AJ1_axis,"0,023+E1_S21-10+E2_S11- 10+MR_E2_FILE_1: axis",Karl Hipp GmbH,https://www.karl-hipp.de/produkte/praezisionskugelgewindetriebe/nenndurchmesser-16mm/16-04/item/kgt-f1-16-04,,,,,3,"2AJ1 1 2AJ1_axis 0,023+E1_S21-10+E2_S11- Karl Hipp GmbH 10+MR_E2_FILE_1: axis 3"
2AK1,4,2AK1_kinematic_bar,and hardened L = 400 mm,Dold Mechatronik,https://www.dold-mechatronik.de/Praezisionswelle-16mm-h6-geschliffen-und-gehaertet-ZUSCHNITT-bis-1200mm-1800-EUR-m-025-EUR-pro-Schnitt,,,,,4,2AK1 4 2AK1_kinematic_bar Dold Mechatronik and hardened L = 400 mm
2AL1,1,2AL1_gearbox_8GA40-060--025S2PF,8GA40-060--025S2PF,B&R,https://www.br-automation.com/product/80SD100XD.C044-01,,,,,4,2AL1 1 2AL1_gearbox_8GA40-060--025S2PF 8GA40-060--025S2PF B&R
2AL211,1,2AL211_motor,80MPF5.500D114-01_2 elastomer jaw coupling GN 2240-,B&R,https://www.br-automation.com/en/products/80mpf5500d114-01/,,,,,4,2AL211 1 2AL211_motor 80MPF5.500D114-01_2 B&R elastomer jaw coupling GN 2240-
2AM1,1,2AM1_part_1,30-B8-14-AL-WS-1 elastomer jaw coupling GN 2240-,Ganternorm,https://www.ganternorm.com/de/produkte/3.6-Bewegen-Uebertragen-mit-Wellen-und-Gelenken/Wellenkupplungen/GN-2240-Elastomer-Klauenkupplungen-mit-Klemmnabe#Werkstoff%3Du(b8c35298-9aba-4143-ba51-0f6786b9aaa3)%3BBohrungskennzeichnung%3Du(3f3cf7dd-6770-422d-ad18-23ffeeca0972)%3BH%C3%A4rte%3Du(a3830bd0-c2bd-4c30-ae0a-b3680627ad9a)%3Bd2%3Dc(3)%3Bd3%3Dc(3)%3Bd1%3Dc(14),,,,,4,2AM1 1 2AM1_part_1 Ganternorm 30-B8-14-AL-WS-1 elastomer jaw coupling GN 2240-
2AM2,1,2AM2_part_2,30-B8-14-AL-WS-1,Ganternorm,https://www.ganternorm.com/de/produkte/3.6-Bewegen-Uebertragen-mit-Wellen-und-Gelenken/Wellenkupplungen/GN-2240-Elastomer-Klauenkupplungen-mit-Klemmnabe#Werkstoff%3Du(b8c35298-9aba-4143-ba51-0f6786b9aaa3)%3BBohrungskennzeichnung%3Du(3f3cf7dd-6770-422d-ad18-23ffeeca0972)%3BH%C3%A4rte%3Du(a3830bd0-c2bd-4c30-ae0a-b3680627ad9a)%3Bd2%3Dc(3)%3Bd3%3Dc(3)%3Bd1%3Dc(14),,,,,4,2AM2 1 2AM2_part_2 Ganternorm 30-B8-14-AL-WS-1
2AN,1,2AN_motor_mount,,,,,,,,4,2AN 1 2AN_motor_mount
2AO1,1,2AO1_flange,,,,,,,,4,2AO1 1 2AO1_flange
2AO2,1,2AO2_guidance,,,,,,,,4,2AO2 1 2AO2_guidance
2AP1,1,2AP1_spring_plate,,,,,,,,4,2AP1 1 2AP1_spring_plate
2AP2,1,2AP2_assembly_plate,,,,,,,,4,2AP2 1 2AP2_assembly_plate
2AP3,1,2AP3_heating_plate,,,,,,,,4,2AP3 1 2AP3_heating_plate
2AP4,8,2AP4_bolt_DIN 7991 - M3x8,countersunk screw,,,,,,,4,2AP4 8 2AP4_bolt_DIN 7991 - M3x8 countersunk screw
2AP5,8,"2AP5_bolt_DIN 912 - M6x1x20x17,5",cylinder head cap screw,,,,,,,4,"2AP5 8 2AP5_bolt_DIN 912 - M6x1x20x17,5 cylinder head cap screw"
2AP6,1,2AP6_outer_seal,,Mercateo,,,,,,4,2AP6 1 2AP6_outer_seal Mercateo
2AP6,1,2AP6_inner_seal,,Mercateo,,,,,,4,2AP6 1 2AP6_inner_seal Mercateo
2AP7,1,2AP7_lifting_platform,Hexagon head bolts. Product,,,,,,,4,2AP7 1 2AP7_lifting_platform Hexagon head bolts. Product
2AP8,4,2AP8_bolt_DIN EN ISO 4016 - M6x40,grade C,,,,,,,4,2AP8 4 2AP8_bolt_DIN EN ISO 4016 - M6x40 grade C
2AP9,1,2AP9_spring_block_front,,,,,,,,4,2AP9 1 2AP9_spring_block_front
2APA,1,2APA_spring_block_right,,,,,,,,4,2APA 1 2APA_spring_block_right
2APB,1,2APB_spring_block_back,,,,,,,,4,2APB 1 2APB_spring_block_back
2APC,1,2APC_spring_block_left,,,,,,,,4,2APC 1 2APC_spring_block_left
2APD,1,2APD_temperature_sensor,EF9-EF9G-PT100-2L-5.0,Sensorshop 24,https://www.sensorshop24.de/temperaturfuehler-passiv/einschraubfuehler/einschraubtemperaturfuehler-mit-m6-gewinde-und-17mm-einbaulaenge?gclid=CjwKCAiA3pugBhAwEiwAWFzwdQBx2F7Mx5fSqYqBRL3cTjxoc6K1ZIkG89zC_WzhvPEmSCOVUAO9XRoCgmwQAvD_BwE,,,,,4,2APD 1 2APD_temperature_sensor EF9-EF9G-PT100-2L-5.0 Sensorshop 24
2APE,4,2APE_spacer_sleeve,,,,,,,,4,2APE 4 2APE_spacer_sleeve
2APF,4,2APF_shim_disk,,,,,,,,4,2APF 4 2APF_shim_disk
2APG,1,2APG_pressing_plate,,,,,,,,4,2APG 1 2APG_pressing_plate
2APH,1,2APH_felt_seal,,agrolager.de,,,,,,4,2APH 1 2APH_felt_seal agrolager.de
2API,1,2API_build_platform,,,,,,,,4,2API 1 2API_build_platform
2APJ,1,2APJ_inner_seal_guide,,,,,,,,4,2APJ 1 2APJ_inner_seal_guide
2APK1,1,2APK1_bottom,,,,,,,,4,2APK1 1 2APK1_bottom
2APK2,2,2APK2_front_back,,,,,,,,4,2APK2 2 2APK2_front_back
2APK3,2,2APK3_left_right,,,,,,,,4,2APK3 2 2APK3_left_right
2AQ,2,2AQ_inductive_sensor_mount,,,,,,,,4,2AQ 2 2AQ_inductive_sensor_mount
2AR,1,2AR_end_switch_sensor_top,,,,,,,,4,2AR 1 2AR_end_switch_sensor_top
2AS,1,2AS_end_switch_sensor_bottom,,,,,,,,4,2AS 1 2AS_end_switch_sensor_bottom
2AT2,2,2AT2_nut_M12x1,Nut M12 x 1 BALLUFF BES 516-356-S4-C_1:,,,,,,,4,2AT2 2 2AT2_nut_M12x1 Nut M12 x 1 BALLUFF BES 516-356-S4-C_1:
2AT3,1,2AT3_sensor,inductive sensor bottom,Balluff,https://www.balluff.com/de-de/products/BES01H6,,,,,4,2AT3 1 2AT3_sensor Balluff inductive sensor bottom
2AU2,2,2AU2_nut_M12x1,Nut M12 x 1 BALLUFF BES 516-356-S4-C_1:,,,,,,,4,2AU2 2 2AU2_nut_M12x1 Nut M12 x 1 BALLUFF BES 516-356-S4-C_1:
2AU3,1,2AU3_sensor,inductive sensor top,Balluff,https://www.balluff.com/de-de/products/BES01H6,,,,,4,2AU3 1 2AU3_sensor Balluff inductive sensor top
2AV1,10,"2AV1_DIN 912 - M5x0,8x30x22",cylinder head cap screw,,,,,,,4,"2AV1 10 2AV1_DIN 912 - M5x0,8x30x22 cylinder head cap screw"
2AV2,10,"2AV2_DIN 912 - M8x1,25x35x31,875",cylinder head cap screw,,,,,,,4,"2AV2 10 2AV2_DIN 912 - M8x1,25x35x31,875 cylinder head cap screw"
2AV3,30,"2AV3_DIN 912 - M8x1,25x40x28",cylinder head cap screw,,,,,,,4,"2AV3 30 2AV3_DIN 912 - M8x1,25x40x28 cylinder head cap screw"
2AV4,2,"2AV4_DIN 912 - M5x0,8x8x6",cylinder head cap screw,,,,,,,4,"2AV4 2 2AV4_DIN 912 - M5x0,8x8x6 cylinder head cap screw"
2AV5,18,"2AV5_DIN 912 - M8x1,25x50x28",cylinder head cap screw,,,,,,,4,"2AV5 18 2AV5_DIN 912 - M8x1,25x50x28 cylinder head cap screw"
2AV6,10,"2AV6_DIN 912 - M4x0,7x30x20",cylinder head cap screw,,,,,,,4,"2AV6 10 2AV6_DIN 912 - M4x0,7x30x20 cylinder head cap screw"
2AV7,8,"2AV7_DIN 912 - M4x0,7x25x23,25",cylinder head cap screw,,,,,,,4,"2AV7 8 2AV7_DIN 912 - M4x0,7x25x23,25 cylinder head cap screw 4"
2AV8,16,"2AV8_DIN 912 - M8x1x25x22,5",cylinder head cap screw,,,,,,,5,"2AV8 16 2AV8_DIN 912 - M8x1x25x22,5 cylinder head cap screw"
2AV9,5,"2AV9_DIN 912 - M6x1x16x13,5",cylinder head cap screw,,,,,,,5,"2AV9 5 2AV9_DIN 912 - M6x1x16x13,5 cylinder head cap screw"
2AVA,20,"2AVA_DIN 912 - M4x0,7x20x18,25",cylinder head cap screw,,,,,,,5,"2AVA 20 2AVA_DIN 912 - M4x0,7x20x18,25 cylinder head cap screw"
2AVB,12,2AVB_DIN 912 - M6x1x35x24,cylinder head cap screw,,,,,,,5,2AVB 12 2AVB_DIN 912 - M6x1x35x24 cylinder head cap screw
2AVC,4,"2AVC_DIN 912 - M8x1,25x20x16,875",cylinder head cap screw,,,,,,,5,"2AVC 4 2AVC_DIN 912 - M8x1,25x20x16,875 cylinder head cap screw"
3A,15,3-90,320RRB063-90,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320RRB063_90,,,,,5,3A 15 320RRB063-90 Pfeiffer Vacuum 3-90
3B,1,3B_valve_ISO_K_DN63_310VEP063-01 3C_reduction_T_pipe_ISO_K_DN63_KF_,310VEP063,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/310VEP063_02,,,,,5,3B 1 3B_valve_ISO_K_DN63_310VEP063-01 310VEP063 Pfeiffer Vacuum 3C_reduction_T_pipe_ISO_K_DN63_KF_
3C,2,DN40_320RTR063-040 3D_ISO_KF_DN40_hose_connection_11,320RTR063-040,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320RTR063_040,,,,,5,3C 2 320RTR063-040 Pfeiffer Vacuum DN40_320RTR063-040 3D_ISO_KF_DN40_hose_connection_11
3D,1,0ASC040-12 3E_seal_with_filter_ISO_KF_DN40_122Z,110ASC040-12,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/110ASC040_12,,,,,5,3D 1 110ASC040-12 Pfeiffer Vacuum 0ASC040-12 3E_seal_with_filter_ISO_KF_DN40_122Z
3E,2,RS040 3F_clamping_ring_ISO_KF_DN40_120BS,122ZRS040,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/122ZRS040,,,,,5,3E 2 122ZRS040 Pfeiffer Vacuum RS040 3F_clamping_ring_ISO_KF_DN40_120BS
3F,3,R040 3G_flexible_pipe_ISO_K_DN63_320SFK0,120BSR040,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/120BSR040,,,,,5,3F 3 120BSR040 Pfeiffer Vacuum R040 3G_flexible_pipe_ISO_K_DN63_320SFK0
3G,1,63-130,320SFK063,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320SFK063_130,,,,,5,3G 1 320SFK063 Pfeiffer Vacuum 63-130
3H,1,3H_pipe_ISO_K_DN63,320RZS063,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320RZS063,,,,,5,3H 1 3H_pipe_ISO_K_DN63 320RZS063 Pfeiffer Vacuum
3I,7,3I_pipe_ISO_K_DN63_320RZS063-176,320RZS063,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320RZS063,,,,,5,3I 7 3I_pipe_ISO_K_DN63_320RZS063-176 320RZS063 Pfeiffer Vacuum
3J,2,3J_pipe_ISO_K_DN63_320RZS063 3K_flexible_pipe_ISO_K_DN63_320SWN,320RZS063,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320RZS063,,,,,5,3J 2 3J_pipe_ISO_K_DN63_320RZS063 320RZS063 Pfeiffer Vacuum 3K_flexible_pipe_ISO_K_DN63_320SWN
3K,1,063-0250 3L_flexible_pipe_ISO_K_DN63_320SWN,320SFK063,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320SFK063_130,,,,,5,3K 1 320SFK063 Pfeiffer Vacuum 063-0250 3L_flexible_pipe_ISO_K_DN63_320SWN
3L,1,063-0750 3M_pipe_ISO_K_DN63_320RZS063_L_2,320SFK063,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320SFK063_130,,,,,5,3L 1 320SFK063 Pfeiffer Vacuum 063-0750 3M_pipe_ISO_K_DN63_320RZS063_L_2
3M,1,18,320RZS063,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320RZS063,,,,,5,3M 1 320RZS063 Pfeiffer Vacuum 18
3N1,1,3N1_curvature_320SWN063,320SFK063: curvature,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320SFK063_130,,,,,5,3N1 1 3N1_curvature_320SWN063 320SFK063: curvature Pfeiffer Vacuum
3N2,2,3N2_end_piece_320SWN063,320SFK063: end piece,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320SFK063_130,,,,,5,3N2 2 3N2_end_piece_320SWN063 320SFK063: end piece Pfeiffer Vacuum
3O1,1,3O1_curvature_320SWN063,320SFK063: curvature,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320SFK063_130,,,,,5,3O1 1 3O1_curvature_320SWN063 320SFK063: curvature Pfeiffer Vacuum
3O2,1,3O2_curvature_320SWN063,320SFK063: curvature,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320SFK063_130,,,,,5,3O2 1 3O2_curvature_320SWN063 320SFK063: curvature Pfeiffer Vacuum
3O3,1,3O3_end_piece_320SWN063,320SFK063: end piece,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320SFK063_130,,,,,5,3O3 1 3O3_end_piece_320SWN063 320SFK063: end piece Pfeiffer Vacuum
3O4,1,3O4_end_piece_320SWN063,320SFK063: end piece,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320SFK063_130,,,,,5,3O4 1 3O4_end_piece_320SWN063 320SFK063: end piece Pfeiffer Vacuum
3P1,1,3P1_cyclone_separator,,,,,,,,5,3P1 1 3P1_cyclone_separator
3P2,2,3P2_flange_ISO_K_DN63,320FAN063-76,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320FAN063_76,,,,,5,3P2 2 3P2_flange_ISO_K_DN63 320FAN063-76 Pfeiffer Vacuum
3P3,1,3P3_valve_ISO_K_DN63_310VEP063-01,310VEP063,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/310VEP063_02,,,,,5,3P3 1 3P3_valve_ISO_K_DN63_310VEP063-01 310VEP063 Pfeiffer Vacuum
3P4,1,3P4_filter_ISO_K_DN63_CSL-357y2-K 3P5_reduction_ISO_K_DN100_DN63_32,PK Z60 511 A,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/PK_Z60_511_A,,,,,5,3P4 1 3P4_filter_ISO_K_DN63_CSL-357y2-K PK Z60 511 A Pfeiffer Vacuum 3P5_reduction_ISO_K_DN100_DN63_32
3P5,1,0RRK100-063-63,320RRK100-063-63,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320RRK100_063_63,,,,,5,3P5 1 320RRK100-063-63 Pfeiffer Vacuum 0RRK100-063-63
3P6,1,3P6_powder_container_2_liter,,AMPROVED,https://www.amproved.com/amproved-produkte1/powder-container-2l.html,,,,,5,3P6 1 3P6_powder_container_2_liter AMPROVED 5
3P7,1,3P7_reduction_ISO_K_DN63_KF_DN40,320RRK063-040-63,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320RRK063_040_63,,,,,6,3P7 1 3P7_reduction_ISO_K_DN63_KF_DN40 320RRK063-040-63 Pfeiffer Vacuum
3Q1,1,3Q1_pipe_ISO_K_DN100_320RZS100 3Q2_angle_pipe_ISO_K_DN100_320RRB,320RZS100,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320RZS100,,,,,6,3Q1 1 3Q1_pipe_ISO_K_DN100_320RZS100 320RZS100 Pfeiffer Vacuum 3Q2_angle_pipe_ISO_K_DN100_320RRB
3Q2,1,100-90,320RRB100-90,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320RRB100_90,,,,,6,3Q2 1 320RRB100-90 Pfeiffer Vacuum 100-90
3Q3,2,3Q3_seal_ISO_K_DN100_311ZRA100,311ZRA100,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/311ZRA100,,,,,6,3Q3 2 3Q3_seal_ISO_K_DN100_311ZRA100 311ZRA100 Pfeiffer Vacuum
3Q4,8,3Q4_clamp_ISO_K_DN100_320BKL250,320BKL250,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/320BKL250,,,,,6,3Q4 8 3Q4_clamp_ISO_K_DN100_320BKL250 320BKL250 Pfeiffer Vacuum
3Q5,4,3Q5_clamp_ISO_K_DN100_350BPD100,350BPD100,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/350BPD100,,,,,6,3Q5 4 3Q5_clamp_ISO_K_DN100_350BPD100 350BPD100 Pfeiffer Vacuum
3R1,4,3R1_clamp_ISO_K_DN63_350BPD100,350BPD100,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/350BPD100,,,,,6,3R1 4 3R1_clamp_ISO_K_DN63_350BPD100 350BPD100 Pfeiffer Vacuum
3R2,1,3R2_seal_ISO_K_DN63_311ZRA063,311ZRA063,Pfeiffer Vacuum,https://www.pfeiffer-vacuum.com/global/de/shop/products/311ZRA063,,,,,6,3R2 1 3R2_seal_ISO_K_DN63_311ZRA063 311ZRA063 Pfeiffer Vacuum
3S1,1,3S1_flange,,,,,,,,6,3S1 1 3S1_flange
3S2,2,3S2_mount,,,,,,,,6,3S2 2 3S2_mount
3S31,1,3S31_part_1,gas outlet pipe: part 1,,,,,,,6,3S31 1 3S31_part_1 gas outlet pipe: part 1
3S32,1,3S32_part_2,gas outlet pipe: part 2,,,,,,,6,3S32 1 3S32_part_2 gas outlet pipe: part 2
3S33,1,3S33_part_3,gas outlet pipe: part 3,,,,,,,6,3S33 1 3S33_part_3 gas outlet pipe: part 3
3S34,1,3S34_part_4,gas outlet pipe: part 4,,,,,,,6,3S34 1 3S34_part_4 gas outlet pipe: part 4
