source_row_number,item,cad_file,website_status,website_reason,step_export_status,material_primary,material_specificity,function_evidence_basis,mass_evidence_basis,material_evidence_basis,how_to_make_evidence_basis
44,2AD1,2AD1_part_1,Useful link,research result has independent vendor-spec evidence,matched_existing,steel bearing/housing material,Specific material,independent_vendor_spec,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
45,2AD2,2AD2_part_2,No link,no original BOM link and no web source recorded in the result,matched_existing,hardened steel bearing material,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
46,2AD3,2AD3_part_3,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,bearing steel / chrome steel family,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
47,2AD4,2AD4_part_4,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,hardened bearing steel family,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
48,2AD5,2AD5_part_5,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,bearing steel / chrome steel family,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
49,2AD6,2AD6_part_6,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,bearing steel / chrome steel family,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
50,2AD7,2AD7_part_7,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,hardened bearing steel or chrome-steel bearing-ball material family,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
51,2AD8,2AD8_part_8,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,bearing steel / chrome steel bearing-ball material family,Specific material,bom_provided,standard_part_convention,standard_part_convention,standard_part_convention
52,2AD9,2AD9_part_9,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,unknown metal/alloy retaining-ring material family,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
53,2ADA,2ADA_part_A,No link,no original BOM link and no web source recorded in the result,matched_existing,hardened steel bearing-ball material family,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
54,2ADB,2ADB_part_B,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
55,2ADC,2ADC_part_C,Useful link,research result has independent vendor-spec evidence,matched_existing,unknown metal/alloy,Unknown/unspecified material,independent_vendor_spec,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
56,2AE,2AE_glass_scale_slide,Unusable link,Original BOM link reaches a family/category/configurator page.,matched_existing,mixed metal reader-head slide/carriage material family: aluminum body class with steel ball-bearing and spring hardware,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
57,2AF1,2AF1_track,Unusable link,Original BOM link reaches a family/category/configurator page.,matched_existing,"aluminum housing with glass scale, elastomer sealing lips, read-head hardware/electronics, cable, metal protective sleeve, and connector",Specific material,bom_provided,engineering_hypothesis,bom_provided,engineering_hypothesis
58,2AG,2AG_cover_plate,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
59,2AH,2AH_connection_mount,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
60,2AI,2AI_connection_axis,Useful link,original BOM link is row-specific/useful; research result has independent vendor-spec evidence,matched_existing,"100Cr6 hardened bearing steel for the ballscrew nut body; the row-matched F1 16-04 family also lists a wiper, whose material is not resolved.",Specific material,bom_provided,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
61,2AJ1,2AJ1_axis,Useful link,original BOM link is row-specific/useful; research result has independent vendor-spec evidence,matched_existing,"Cf53 steel ball screw spindle, ball track hardened to 60 +/-2 HRC",Specific material,bom_provided,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
62,2AK1,2AK1_kinematic_bar,Useful link,original BOM link is row-specific/useful,matched_existing,"alloy steel precision shaft material, hardened and ground",Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
63,2AL1,2AL1_gearbox_8GA40-060--025S2PF,Unusable link,Original BOM link appears to point to a different product.,matched_existing,unknown metal/alloy gearbox assembly with fully hardened gear toothing,Unknown/unspecified material,bom_provided,bom_provided,engineering_hypothesis,engineering_hypothesis
64,2AL211,2AL211_motor,Useful link,original BOM link is row-specific/useful,matched_existing,"multi-material electromechanical motor module: unknown metal housing/frame and shaft, magnetic steel laminations/rotor, permanent magnet material, copper windings/coils, brake and encoder components",Unknown/unspecified material,bom_provided,bom_provided,engineering_hypothesis,bom_provided
65,2AM1,2AM1_part_1,Unusable link,"Original link identifies a parent product/module while this row is a subpart, dummy, or simplified CAD representation.",matched_existing,"Aluminum AL natural-anodized hubs, thermoplastic polyurethane (TPU) coupling spider with WS 92 Shore A hardness, and blackened steel socket cap screws.",Specific material,bom_provided,engineering_hypothesis,bom_provided,engineering_hypothesis
66,2AM2,2AM2_part_2,Unusable link,"Original link identifies a parent product/module while this row is a subpart, dummy, or simplified CAD representation.",matched_existing,"Aluminum AL, natural-anodized hub body; the complete GN 2240 coupling product family also uses a TPU coupling spider and blackened steel socket cap screws, but those are not visible as separate bodies in this row STEP.",Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
67,2AN,2AN_motor_mount,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown structural metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
68,2AO1,2AO1_flange,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown structural metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
69,2AO2,2AO2_guidance,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
70,2AP1,2AP1_spring_plate,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,unknown spring steel/steel alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
71,2AP2,2AP2_assembly_plate,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
72,2AP3,2AP3_heating_plate,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown thermally conductive metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
73,2AP4,2AP4_bolt_DIN 7991 - M3x8,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,mild steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
74,2AP5,"2AP5_bolt_DIN 912 - M6x1x20x17,5",Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,mild steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
75,2AP6,2AP6_outer_seal,No link,no original BOM link and no web source recorded in the result,missing_in_cad,unknown elastomer seal material,Unknown/unspecified material,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
76,2AP6,2AP6_inner_seal,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,"elastomer sheet/seal material, exact compound not specified",Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
77,2AP7,2AP7_lifting_platform,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown structural metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
78,2AP8,2AP8_bolt_DIN EN ISO 4016 - M6x40,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
79,2AP9,2AP9_spring_block_front,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
80,2APA,2APA_spring_block_right,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
81,2APB,2APB_spring_block_back,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
82,2APC,2APC_spring_block_left,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
83,2APD,2APD_temperature_sensor,Useful link,original BOM link is row-specific/useful,matched_existing,"metal screw-in probe/fitting, PT100 resistance sensor element, copper conductors, and high-temperature cable insulation",Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
84,2APE,2APE_spacer_sleeve,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
85,2APF,2APF_shim_disk,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,steel shim washer material; exact grade unspecified for the BOM row,Unknown/unspecified material,standard_part_convention,standard_part_convention,standard_part_convention,engineering_hypothesis
86,2APG,2APG_pressing_plate,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
87,2APH,2APH_felt_seal,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,"rubber, grade unspecified",Unknown/unspecified material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
88,2API,2API_build_platform,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown structural metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
89,2APJ,2APJ_inner_seal_guide,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
90,2APK1,2APK1_bottom,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
91,2APK2,2APK2_front_back,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
92,2APK3,2APK3_left_right,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
93,2AQ,2AQ_inductive_sensor_mount,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,unknown metal/alloy,Unknown/unspecified material,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
94,2AR,2AR_end_switch_sensor_top,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy sheet,Unknown/unspecified material,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
95,2AS,2AS_end_switch_sensor_bottom,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy sheet,Unknown/unspecified material,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
96,2AT2,2AT2_nut_M12x1,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,metal sensor mounting nut: Balluff M12x1 family includes nickel-plated brass and stainless steel 1.4305 variants,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
97,2AT3,2AT3_sensor,Useful link,original BOM link is row-specific/useful,matched_existing,"stainless steel housing with PBT sensing face; internal electronics, connector contacts, and potting are present but not material-resolved",Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
98,2AU2,2AU2_nut_M12x1,Useful link,research result has independent vendor-spec evidence,matched_existing,stainless steel,Specific material,independent_vendor_spec,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
99,2AU3,2AU3_sensor,Useful link,original BOM link is row-specific/useful,matched_existing,"stainless steel housing with PBT sensing face; internal electronics, connector contacts, and potting are present but not material-resolved",Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
100,2AV1,"2AV1_DIN 912 - M5x0,8x30x22",No link,no original BOM link and no web source recorded in the result,matched_existing,mild steel,Specific material,bom_provided,bom_provided,bom_provided,bom_provided
101,2AV2,"2AV2_DIN 912 - M8x1,25x35x31,875",Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,mild steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
102,2AV3,"2AV3_DIN 912 - M8x1,25x40x28",No link,no original BOM link and no web source recorded in the result,matched_existing,mild steel,Specific material,bom_provided,bom_provided,bom_provided,bom_provided
103,2AV4,"2AV4_DIN 912 - M5x0,8x8x6",Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,mild/generic steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
104,2AV5,"2AV5_DIN 912 - M8x1,25x50x28",Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,mild steel fastener,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
105,2AV6,"2AV6_DIN 912 - M4x0,7x30x20",No link,no original BOM link and no web source recorded in the result,matched_existing,mild steel,Specific material,bom_provided,bom_provided,bom_provided,standard_part_convention
106,2AV7,"2AV7_DIN 912 - M4x0,7x25x23,25",No link,no original BOM link and no web source recorded in the result,matched_existing,mild steel,Specific material,bom_provided,bom_provided,bom_provided,bom_provided
107,2AV8,"2AV8_DIN 912 - M8x1x25x22,5",Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,mild steel,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
108,2AV9,"2AV9_DIN 912 - M6x1x16x13,5",Useful link,research result has independent vendor-spec evidence,matched_existing,mild steel / generic steel fastener material,Specific material,bom_provided,bom_provided,bom_provided,independent_vendor_spec
109,2AVA,"2AVA_DIN 912 - M4x0,7x20x18,25",No link,no original BOM link and no web source recorded in the result,matched_existing,mild steel,Specific material,bom_provided,bom_provided,bom_provided,bom_provided
110,2AVB,2AVB_DIN 912 - M6x1x35x24,Useful link,research result has independent vendor-spec evidence,matched_existing,mild steel,Specific material,independent_vendor_spec,bom_provided,bom_provided,engineering_hypothesis
111,2AVC,"2AVC_DIN 912 - M8x1,25x20x16,875",Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,"Steel, Mild",Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
112,3A,3A_angle_pipe_ISO_K_DN63_320RRB063-90,Useful link,original BOM link is row-specific/useful,matched_existing,stainless steel 304 / EN 1.4301,Specific material,bom_provided,bom_provided,bom_provided,bom_provided
113,3B,3B_valve_ISO_K_DN63_310VEP063-01,Unusable link,"Original link identifies a parent product/module while this row is a subpart, dummy, or simplified CAD representation.",matched_existing,"Aluminum housing with stainless steel bellows feedthrough, FKM seal, microswitch/position-indicator and electro-pneumatic actuator materials not further resolved.",Specific material,bom_provided,bom_provided,bom_provided,bom_provided
114,3C,3C_reduction_T_pipe_ISO_K_DN63_KF_DN40_320RTR063-040,Useful link,original BOM link is row-specific/useful,matched_existing,stainless steel 304 / EN 1.4301,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
115,3D,3D_ISO_KF_DN40_hose_connection_110ASC040-12,Useful link,original BOM link is row-specific/useful; research result has independent vendor-spec evidence,matched_existing,Aluminum EN AW-6082/3.2315,Specific material,bom_provided,independent_vendor_spec,independent_vendor_spec,independent_vendor_spec
116,3E,3E_seal_with_filter_ISO_KF_DN40_122ZRS040,Useful link,original BOM link is row-specific/useful,matched_existing,"stainless steel 1.4301/304 ring, sintered bronze filter, and FKM O-ring",Specific material,bom_provided,engineering_hypothesis,bom_provided,engineering_hypothesis
117,3F,3F_clamping_ring_ISO_KF_DN40_120BSR040,Unusable link,"Original link identifies a parent product/module while this row is a subpart, dummy, or simplified CAD representation.",matched_existing,stainless steel 304 / EN 1.4301,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
118,3G,3G_flexible_pipe_ISO_K_DN63_320SFK063-130,Useful link,original BOM link is row-specific/useful,matched_existing,Stainless steel: flange 304; bellows 316L.,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
119,3H,3H_pipe_ISO_K_DN63,Useful link,original BOM link is row-specific/useful,matched_existing,Stainless steel 1.4301 / AISI 304.,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
120,3I,3I_pipe_ISO_K_DN63_320RZS063-176,Useful link,original BOM link is row-specific/useful,matched_existing,Stainless steel 1.4301 / AISI 304 for media-contacting full nipple body.,Specific material,bom_provided,bom_provided,bom_provided,bom_provided
121,3J,3J_pipe_ISO_K_DN63_320RZS063,Useful link,original BOM link is row-specific/useful,matched_existing,stainless steel 1.4301 / AISI 304,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
122,3K,3K_flexible_pipe_ISO_K_DN63_320SWN063-0250,Useful link,original BOM link is row-specific/useful,matched_existing,stainless steel: flange 1.4301 / AISI 304; bellows 316L,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
