source_row_number,item,qty,cad_file,description_product_id,manufacturer,canonical_step_path,export_status,export_kind,source_object_name,source_object_label,parent_assembly,instance_count_found,alternate_step_paths,notes
16,1B52,1,1B52_flange_schlieren_imaging,,,gold_export/assemblies/1B50_schlieren_imaging_door.step,assembly_only,assembly,_1B50_schlieren_imaging_door,1B50_schlieren_imaging_door,1B50_schlieren_imaging_door,0,,No 1B52-prefixed product was found in the raw STEP; BOM row appears collapsed into the 1B50 schlieren imaging door assembly.
17,1B61,1,1B61_seal,,Lisema,gold_export/assemblies/1B50_schlieren_imaging_door.step,assembly_only,assembly,_1B50_schlieren_imaging_door,1B50_schlieren_imaging_door,1B50_schlieren_imaging_door,0,,No 1B61-prefixed product was found in the raw STEP; BOM row appears collapsed into the 1B50 schlieren imaging door assembly.
18,1B62,1,1B62_cover,"GN 820.2-Toggle clamps, Type MFC, U-bar version, with two",,gold_export/assemblies/1B50_schlieren_imaging_door.step,assembly_only,assembly,_1B50_schlieren_imaging_door,1B50_schlieren_imaging_door,1B50_schlieren_imaging_door,0,,No 1B62-prefixed product was found in the raw STEP; BOM row appears collapsed into the 1B50 schlieren imaging door assembly.
19,1C0,2,1C0_clamp_GN 820_2-230-MFC,flanged washers and GN spindle assembly,GanterNorm,gold_export/parts/1C0_clamp_GN 820_2-230-MFC.step,matched_existing,vendor_component,_1C0_clamp_GN_820_2_230_MFC,1C0_clamp_GN 820_2-230-MFC,,1,,
20,1D1,2,1D1_part_1,door hinge,Pfeiffer Vacuum,gold_export/parts/1D1_part_1.step,matched_existing,vendor_component,Part__Feature184,1D1_part_1,,1,,
21,1D2,2,1D2_part_2,door hinge,Pfeiffer Vacuum,gold_export/parts/1D2_part_2.step,matched_existing,vendor_component,Part__Feature185,1D2_part_2,,1,,
22,1D3,2,1D3_part_3,door hinge,Pfeiffer Vacuum,gold_export/parts/1D3_part_3.step,matched_existing,vendor_component,Part__Feature186,1D3_part_3,,1,,
23,1E,2,1E_adapter_hinge,,,gold_export/parts/1E_adapter_hinge.step,matched_existing,part,Part__Feature190,1E_adapter_hinge,,1,,
24,2A1,1,2A1_bottom,,,gold_export/parts/2A1_bottom.step,matched_existing,part,Part__Feature253,2A1_bottom,,1,,
25,2A2,1,2A2_back_plate,,,gold_export/parts/2A2_back_plate.step,matched_existing,part,Part__Feature254,2A2_back_plate,,1,,
26,2A3,1,2A3_slide_HGL15CA2R600Z0H_part_1,linear guide slide,Hiwin,gold_export/parts/2A3_slide_HGL15CA2R600Z0H_part_1.step,matched_existing,vendor_component,Part__Feature255,2A3_slide_HGL15CA2R600Z0H_part_1,,1,,
27,2A4,3,2A4_slide_HGL15CA2R600Z0H_part_2,linear guide slide,Hiwin,gold_export/parts/2A4_slide_HGL15CA2R600Z0H_part_2.step,matched_existing,vendor_component,Part__Feature256,2A4_slide_HGL15CA2R600Z0H_part_2,,1,,
28,2A51,2,2A51_linear_guide_HGL15CA2R600Z0H,linear guide rail,Hiwin,gold_export/parts/2A51_linear_guide_HGL15CA2R600Z0H.step,matched_existing,vendor_component,Part__Feature259,2A51_linear_guide_HGL15CA2R600Z0H,,1,,
29,2A6,1,2A6_left_plate,,,gold_export/parts/2A6_left_plate.step,matched_existing,part,Part__Feature261,2A6_left_plate,,1,,
30,2A7,1,2A7_right_plate,,,gold_export/parts/2A7_right_plate.step,matched_existing,part,Part__Feature262,2A7_right_plate,,1,,
31,2A8,1,2A8_left_distance_piece,,,gold_export/parts/2A8_left_distance_piece.step,matched_existing,part,Part__Feature263,2A8_left_distance_piece,,1,,
32,2A9,1,2A9_right_distance_piece,,,gold_export/parts/2A9_right_distance_piece.step,matched_existing,part,Part__Feature264,2A9_right_distance_piece,,1,,
33,2AA,1,2AA_left_support_plate,,,gold_export/parts/2AA_left_support_plate.step,matched_existing,part,Part__Feature265,2AA_left_support_plate,,1,,
34,2AB,1,2AB_right_support_plate,,,gold_export/parts/2AB_right_support_plate.step,matched_existing,part,Part__Feature266,2AB_right_support_plate,,1,,
35,2AC1,1,2AC1_part_1,axis bearing bottom,,gold_export/assemblies/2AC0_bottom_axis_bearing_SLA10.step,assembly_only,assembly,_2AC0_bottom_axis_bearing_SLA10,2AC0_bottom_axis_bearing_SLA10,2AC0_bottom_axis_bearing_SLA10,0,,"Raw STEP contains 2AC1_part_1, but FreeCAD imports that label with zero solids; retained larger 2AC0 bottom-axis-bearing assembly as context."
36,2AC2,1,2AC2_part_2,axis bearing bottom,,gold_export/assemblies/2AC0_bottom_axis_bearing_SLA10.step,assembly_only,assembly,_2AC0_bottom_axis_bearing_SLA10,2AC0_bottom_axis_bearing_SLA10,2AC0_bottom_axis_bearing_SLA10,0,,"Raw STEP contains 2AC2_part_2, but FreeCAD imports that label with zero solids; retained larger 2AC0 bottom-axis-bearing assembly as context."
37,2AC3,1,2AC3_part_3,axis bearing bottom,,gold_export/assemblies/2AC0_bottom_axis_bearing_SLA10.step,assembly_only,assembly,_2AC0_bottom_axis_bearing_SLA10,2AC0_bottom_axis_bearing_SLA10,2AC0_bottom_axis_bearing_SLA10,0,,"Raw STEP contains 2AC3_part_3, but FreeCAD imports that label with zero solids; retained larger 2AC0 bottom-axis-bearing assembly as context."
38,2AC4,1,2AC4_part_4,axis bearing bottom,,gold_export/parts/2AC4_part_4.step,matched_existing,part,Part__Feature270,2AC4_part_4,,1,,
39,2AC5,1,2AC5_part_5,axis bearing bottom,,gold_export/parts/2AC5_part_5.step,matched_existing,part,Part__Feature271,2AC5_part_5,,1,,
40,2AC6,1,2AC6_part_6,axis bearing bottom,,gold_export/parts/2AC6_part_6.step,matched_existing,part,Part__Feature272,2AC6_part_6,,1,,
41,2AC7,1,2AC7_part_7,axis bearing bottom,,gold_export/parts/2AC7_part_7.step,matched_existing,part,Part__Feature273,2AC7_part_7,,1,,
42,2AC8,1,2AC8_part_8,axis bearing bottom,,gold_export/parts/2AC8_part_8.step,matched_existing,part,Part__Feature274,2AC8_part_8,,1,,
43,2AC9,1,2AC9_part_9,axis bearing bottom,,gold_export/parts/2AC9_part_9.step,matched_existing,part,Part__Feature275,2AC9_part_9,,1,,
44,2AD1,1,2AD1_part_1,axis bearing top,,gold_export/parts/2AD1_part_1.step,matched_existing,part,Part__Feature276,2AD1_part_1,,1,,
45,2AD2,1,2AD2_part_2,axis bearing top,,gold_export/parts/2AD2_part_2.step,matched_existing,part,Part__Feature277,2AD2_part_2,,1,,
46,2AD3,1,2AD3_part_3,axis bearing top,,gold_export/parts/2AD3_part_3.step,matched_existing,part,Part__Feature278,2AD3_part_3,,1,,
47,2AD4,1,2AD4_part_4,axis bearing top,,gold_export/parts/2AD4_part_4.step,matched_existing,part,Part__Feature279,2AD4_part_4,,1,,
48,2AD5,1,2AD5_part_5,axis bearing top,,gold_export/parts/2AD5_part_5.step,matched_existing,part,Part__Feature280,2AD5_part_5,,1,,
49,2AD6,1,2AD6_part_6,axis bearing top,,gold_export/parts/2AD6_part_6.step,matched_existing,part,Part__Feature281,2AD6_part_6,,1,,
50,2AD7,1,2AD7_part_7,axis bearing top,,gold_export/parts/2AD7_part_7.step,matched_existing,part,Part__Feature282,2AD7_part_7,,1,,
51,2AD8,1,2AD8_part_8,axis bearing top,,gold_export/parts/2AD8_part_8.step,matched_existing,part,Part__Feature283,2AD8_part_8,,1,,
52,2AD9,1,2AD9_part_9,axis bearing top,,gold_export/parts/2AD9_part_9.step,matched_existing,part,Part__Feature284,2AD9_part_9,,1,,
53,2ADA,1,2ADA_part_A,axis bearing top,,gold_export/parts/2ADA_part_A.step,matched_existing,part,Part__Feature285,2ADA_part_A,,1,,
54,2ADB,1,2ADB_part_B,axis bearing top,,gold_export/parts/2ADB_part_B.step,matched_existing,part,Part__Feature286,2ADB_part_B,,1,,
55,2ADC,1,2ADC_part_C,axis bearing top S5/0500 K+C glass scale S5 -,,gold_export/parts/2ADC_part_C.step,matched_existing,part,Part__Feature287,2ADC_part_C,,1,,
56,2AE,1,2AE_glass_scale_slide,measuring range 520 mm: slide S5/0500 K+C glass scale S5 -,K+C,gold_export/parts/2AE_glass_scale_slide.step,matched_existing,vendor_component,Part__Feature288,2AE_glass_scale_slide,,1,,
57,2AF1,1,2AF1_track,measuring range 520 mm: track,K+C,gold_export/parts/2AF1_track.step,matched_existing,vendor_component,Part__Feature289,2AF1_track,,1,,
58,2AG,1,2AG_cover_plate,,,gold_export/parts/2AG_cover_plate.step,matched_existing,part,Part__Feature290,2AG_cover_plate,,1,,
59,2AH,1,2AH_connection_mount,"R16-05T3-DEB-401-490- 0,023+E1_S21-10+E2_S11-",,gold_export/parts/2AH_connection_mount.step,matched_existing,part,Part__Feature291,2AH_connection_mount,,1,,
60,2AI,1,2AI_connection_axis,10+MR_E2_FILE_1: connection axis R16-05T3-DEB-401-490-,Karl Hipp GmbH,gold_export/parts/2AI_connection_axis.step,matched_existing,vendor_component,Part__Feature292,2AI_connection_axis,,1,,
61,2AJ1,1,2AJ1_axis,"0,023+E1_S21-10+E2_S11- 10+MR_E2_FILE_1: axis",Karl Hipp GmbH,gold_export/parts/2AJ1_axis.step,matched_existing,vendor_component,Part__Feature293,2AJ1_axis,,1,,
62,2AK1,4,2AK1_kinematic_bar,and hardened L = 400 mm,Dold Mechatronik,gold_export/parts/2AK1_kinematic_bar.step,matched_existing,vendor_component,Part__Feature294,2AK1_kinematic_bar,,1,,
63,2AL1,1,2AL1_gearbox_8GA40-060--025S2PF,8GA40-060--025S2PF,B&R,gold_export/parts/2AL1_gearbox_8GA40-060--025S2PF.step,matched_existing,vendor_component,Part__Feature298,2AL1_gearbox_8GA40-060--025S2PF,,1,,
64,2AL211,1,2AL211_motor,80MPF5.500D114-01_2 elastomer jaw coupling GN 2240-,B&R,gold_export/parts/2AL211_motor.step,matched_existing,vendor_component,Part__Feature299,2AL211_motor,,1,,
65,2AM1,1,2AM1_part_1,30-B8-14-AL-WS-1 elastomer jaw coupling GN 2240-,Ganternorm,gold_export/parts/2AM1_part_1.step,matched_existing,vendor_component,Part__Feature300,2AM1_part_1,,1,,
66,2AM2,1,2AM2_part_2,30-B8-14-AL-WS-1,Ganternorm,gold_export/parts/2AM2_part_2.step,matched_existing,vendor_component,Part__Feature301,2AM2_part_2,,1,,
67,2AN,1,2AN_motor_mount,,,gold_export/parts/2AN_motor_mount.step,matched_existing,part,Part__Feature302,2AN_motor_mount,,1,,
68,2AO1,1,2AO1_flange,,,gold_export/parts/2AO1_flange.step,matched_existing,part,Part__Feature303,2AO1_flange,,1,,
69,2AO2,1,2AO2_guidance,,,gold_export/parts/2AO2_guidance.step,matched_existing,part,Part__Feature304,2AO2_guidance,,1,,
70,2AP1,1,2AP1_spring_plate,,,gold_export/parts/2AP1_spring_plate.step,matched_existing,part,Part__Feature306,2AP1_spring_plate,,1,,
71,2AP2,1,2AP2_assembly_plate,,,gold_export/parts/2AP2_assembly_plate.step,matched_existing,part,Part__Feature307,2AP2_assembly_plate,,1,,
72,2AP3,1,2AP3_heating_plate,,,gold_export/parts/2AP3_heating_plate.step,matched_existing,part,Part__Feature308,2AP3_heating_plate,,1,,
73,2AP4,8,2AP4_bolt_DIN 7991 - M3x8,countersunk screw,,gold_export/parts/2AP4_bolt_DIN 7991 - M3x8.step,matched_existing,part,Part__Feature309,2AP4_bolt_DIN 7991 - M3x8,,1,,
74,2AP5,8,"2AP5_bolt_DIN 912 - M6x1x20x17,5",cylinder head cap screw,,"gold_export/parts/2AP5_bolt_DIN 912 - M6x1x20x17,5.step",matched_existing,part,Part__Feature317,"2AP5_bolt_DIN 912 - M6x1x20x17,5",,1,,
75,2AP6,1,2AP6_outer_seal,,Mercateo,,missing_in_cad,unknown,,,,0,,No 2AP6_outer_seal product or exported file was found; 2AP6_inner_seal exists and is mapped separately.
76,2AP6,1,2AP6_inner_seal,,Mercateo,gold_export/parts/2AP6_inner_seal.step,matched_existing,vendor_component,Part__Feature321,2AP6_inner_seal,,1,,
77,2AP7,1,2AP7_lifting_platform,Hexagon head bolts. Product,,gold_export/parts/2AP7_lifting_platform.step,matched_existing,part,Part__Feature322,2AP7_lifting_platform,,1,,
78,2AP8,4,2AP8_bolt_DIN EN ISO 4016 - M6x40,grade C,,gold_export/parts/2AP8_bolt_DIN EN ISO 4016 - M6x40.step,matched_existing,part,Part__Feature323,2AP8_bolt_DIN EN ISO 4016 - M6x40,,1,,
79,2AP9,1,2AP9_spring_block_front,,,gold_export/parts/2AP9_spring_block_front.step,matched_existing,part,Part__Feature331,2AP9_spring_block_front,,1,,
80,2APA,1,2APA_spring_block_right,,,gold_export/parts/2APA_spring_block_right.step,matched_existing,part,Part__Feature332,2APA_spring_block_right,,1,,
81,2APB,1,2APB_spring_block_back,,,gold_export/parts/2APB_spring_block_back.step,matched_existing,part,Part__Feature333,2APB_spring_block_back,,1,,
82,2APC,1,2APC_spring_block_left,,,gold_export/parts/2APC_spring_block_left.step,matched_existing,part,Part__Feature334,2APC_spring_block_left,,1,,
83,2APD,1,2APD_temperature_sensor,EF9-EF9G-PT100-2L-5.0,Sensorshop 24,gold_export/parts/2APD_temperature_sensor.step,matched_existing,vendor_component,Part__Feature335,2APD_temperature_sensor,,1,,
84,2APE,4,2APE_spacer_sleeve,,,gold_export/parts/2APE_spacer_sleeve.step,matched_existing,part,Part__Feature336,2APE_spacer_sleeve,,1,,
85,2APF,4,2APF_shim_disk,,,gold_export/parts/2APF_shim_disk.step,matched_existing,part,Part__Feature340,2APF_shim_disk,,1,,
86,2APG,1,2APG_pressing_plate,,,gold_export/parts/2APG_pressing_plate.step,matched_existing,part,Part__Feature344,2APG_pressing_plate,,1,,
87,2APH,1,2APH_felt_seal,,agrolager.de,gold_export/parts/2APH_felt_seal.step,matched_existing,vendor_component,Part__Feature345,2APH_felt_seal,,1,,
88,2API,1,2API_build_platform,,,gold_export/parts/2API_build_platform.step,matched_existing,part,Part__Feature346,2API_build_platform,,1,,
89,2APJ,1,2APJ_inner_seal_guide,,,gold_export/parts/2APJ_inner_seal_guide.step,matched_existing,part,Part__Feature352,2APJ_inner_seal_guide,,1,,
90,2APK1,1,2APK1_bottom,,,gold_export/parts/2APK1_bottom.step,matched_existing,part,Part__Feature347,2APK1_bottom,,1,,
91,2APK2,2,2APK2_front_back,,,gold_export/parts/2APK2_front_back.step,matched_existing,part,Part__Feature348,2APK2_front_back,,1,,
92,2APK3,2,2APK3_left_right,,,gold_export/parts/2APK3_left_right.step,matched_existing,part,Part__Feature350,2APK3_left_right,,1,,
93,2AQ,2,2AQ_inductive_sensor_mount,,,gold_export/parts/2AQ_inductive_sensor_mount.step,matched_existing,part,Part__Feature353,2AQ_inductive_sensor_mount,,1,,
94,2AR,1,2AR_end_switch_sensor_top,,,gold_export/parts/2AR_end_switch_sensor_top.step,matched_existing,part,Part__Feature355,2AR_end_switch_sensor_top,,1,,
95,2AS,1,2AS_end_switch_sensor_bottom,,,gold_export/parts/2AS_end_switch_sensor_bottom.step,matched_existing,part,Part__Feature356,2AS_end_switch_sensor_bottom,,1,,
96,2AT2,2,2AT2_nut_M12x1,Nut M12 x 1 BALLUFF BES 516-356-S4-C_1:,,gold_export/parts/2AT2_nut_M12x1.step,matched_existing,part,Part__Feature357,2AT2_nut_M12x1,,1,,
97,2AT3,1,2AT3_sensor,inductive sensor bottom,Balluff,gold_export/parts/2AT3_sensor.step,matched_existing,vendor_component,Part__Feature359,2AT3_sensor,,1,,
98,2AU2,2,2AU2_nut_M12x1,Nut M12 x 1 BALLUFF BES 516-356-S4-C_1:,,gold_export/parts/2AU2_nut_M12x1.step,matched_existing,part,Part__Feature360,2AU2_nut_M12x1,,1,,
99,2AU3,1,2AU3_sensor,inductive sensor top,Balluff,gold_export/parts/2AU3_sensor.step,matched_existing,vendor_component,Part__Feature362,2AU3_sensor,,1,,
100,2AV1,10,"2AV1_DIN 912 - M5x0,8x30x22",cylinder head cap screw,,"gold_export/parts/2AV1_DIN 912 - M5x0,8x30x22.step",matched_existing,part,Part__Feature363,"2AV1_DIN 912 - M5x0,8x30x22",,1,,
101,2AV2,10,"2AV2_DIN 912 - M8x1,25x35x31,875",cylinder head cap screw,,"gold_export/parts/2AV2_DIN 912 - M8x1,25x35x31,875.step",matched_existing,part,Part__Feature367,"2AV2_DIN 912 - M8x1,25x35x31,875",,1,,
102,2AV3,30,"2AV3_DIN 912 - M8x1,25x40x28",cylinder head cap screw,,"gold_export/parts/2AV3_DIN 912 - M8x1,25x40x28.step",matched_existing,part,Part__Feature369,"2AV3_DIN 912 - M8x1,25x40x28",,1,,
103,2AV4,2,"2AV4_DIN 912 - M5x0,8x8x6",cylinder head cap screw,,"gold_export/parts/2AV4_DIN 912 - M5x0,8x8x6.step",matched_existing,part,Part__Feature371,"2AV4_DIN 912 - M5x0,8x8x6",,1,,
104,2AV5,18,"2AV5_DIN 912 - M8x1,25x50x28",cylinder head cap screw,,"gold_export/parts/2AV5_DIN 912 - M8x1,25x50x28.step",matched_existing,part,Part__Feature373,"2AV5_DIN 912 - M8x1,25x50x28",,1,,
105,2AV6,10,"2AV6_DIN 912 - M4x0,7x30x20",cylinder head cap screw,,"gold_export/parts/2AV6_DIN 912 - M4x0,7x30x20.step",matched_existing,part,Part__Feature389,"2AV6_DIN 912 - M4x0,7x30x20",,1,,
106,2AV7,8,"2AV7_DIN 912 - M4x0,7x25x23,25",cylinder head cap screw,,"gold_export/parts/2AV7_DIN 912 - M4x0,7x25x23,25.step",matched_existing,part,Part__Feature397,"2AV7_DIN 912 - M4x0,7x25x23,25",,1,,
107,2AV8,16,"2AV8_DIN 912 - M8x1x25x22,5",cylinder head cap screw,,"gold_export/parts/2AV8_DIN 912 - M8x1x25x22,5.step",matched_existing,part,Part__Feature413,"2AV8_DIN 912 - M8x1x25x22,5",,1,,
108,2AV9,5,"2AV9_DIN 912 - M6x1x16x13,5",cylinder head cap screw,,"gold_export/parts/2AV9_DIN 912 - M6x1x16x13,5.step",matched_existing,part,Part__Feature459,"2AV9_DIN 912 - M6x1x16x13,5",,1,,
109,2AVA,20,"2AVA_DIN 912 - M4x0,7x20x18,25",cylinder head cap screw,,"gold_export/parts/2AVA_DIN 912 - M4x0,7x20x18,25.step",matched_existing,part,Part__Feature461,"2AVA_DIN 912 - M4x0,7x20x18,25",,1,,
110,2AVB,12,2AVB_DIN 912 - M6x1x35x24,cylinder head cap screw,,gold_export/parts/2AVB_DIN 912 - M6x1x35x24.step,matched_existing,part,Part__Feature481,2AVB_DIN 912 - M6x1x35x24,,1,,
111,2AVC,4,"2AVC_DIN 912 - M8x1,25x20x16,875",cylinder head cap screw,,"gold_export/parts/2AVC_DIN 912 - M8x1,25x20x16,875.step",matched_existing,part,Part__Feature491,"2AVC_DIN 912 - M8x1,25x20x16,875",,1,,
112,3A,15,3A_angle_pipe_ISO_K_DN63_320RRB063-90,320RRB063-90,Pfeiffer Vacuum,gold_export/parts/3A_angle_pipe_ISO_K_DN63_320RRB063-90.step,matched_existing,vendor_component,Part__Feature1422,3A_angle_pipe_ISO_K_DN63_320RRB063-90,,1,,
113,3B,1,3B_valve_ISO_K_DN63_310VEP063-01,310VEP063,Pfeiffer Vacuum,gold_export/parts/3B_valve_ISO_K_DN63_310VEP063-01.step,matched_existing,vendor_component,Part__Feature1437,3B_valve_ISO_K_DN63_310VEP063-01,,1,,
114,3C,2,3C_reduction_T_pipe_ISO_K_DN63_KF_DN40_320RTR063-040,320RTR063-040,Pfeiffer Vacuum,gold_export/parts/3C_reduction_T_pipe_ISO_K_DN63_KF_DN40_320RTR063-040.step,matched_existing,vendor_component,Part__Feature1476,3C_reduction_T_pipe_ISO_K_DN63_KF_DN40_320RTR063-040,,1,,
115,3D,1,3D_ISO_KF_DN40_hose_connection_110ASC040-12,110ASC040-12,Pfeiffer Vacuum,gold_export/parts/3D_ISO_KF_DN40_hose_connection_110ASC040-12.step,matched_existing,vendor_component,Part__Feature1480,3D_ISO_KF_DN40_hose_connection_110ASC040-12,,1,,
116,3E,2,3E_seal_with_filter_ISO_KF_DN40_122ZRS040,122ZRS040,Pfeiffer Vacuum,gold_export/parts/3E_seal_with_filter_ISO_KF_DN40_122ZRS040.step,matched_existing,vendor_component,Part__Feature1481,3E_seal_with_filter_ISO_KF_DN40_122ZRS040,,1,,
117,3F,3,3F_clamping_ring_ISO_KF_DN40_120BSR040,120BSR040,Pfeiffer Vacuum,gold_export/parts/3F_clamping_ring_ISO_KF_DN40_120BSR040.step,matched_existing,vendor_component,Part__Feature1485,3F_clamping_ring_ISO_KF_DN40_120BSR040,,1,,
118,3G,1,3G_flexible_pipe_ISO_K_DN63_320SFK063-130,320SFK063,Pfeiffer Vacuum,gold_export/parts/3G_flexible_pipe_ISO_K_DN63_320SFK063-130.step,matched_existing,vendor_component,Part__Feature1509,3G_flexible_pipe_ISO_K_DN63_320SFK063-130,,1,,
119,3H,1,3H_pipe_ISO_K_DN63,320RZS063,Pfeiffer Vacuum,gold_export/parts/3H_pipe_ISO_K_DN63.step,matched_existing,vendor_component,Part__Feature1510,3H_pipe_ISO_K_DN63,,1,,
120,3I,7,3I_pipe_ISO_K_DN63_320RZS063-176,320RZS063,Pfeiffer Vacuum,gold_export/parts/3I_pipe_ISO_K_DN63_320RZS063-176.step,matched_existing,vendor_component,Part__Feature1511,3I_pipe_ISO_K_DN63_320RZS063-176,,1,,
121,3J,2,3J_pipe_ISO_K_DN63_320RZS063,320RZS063,Pfeiffer Vacuum,gold_export/parts/3J_pipe_ISO_K_DN63_320RZS063.step,matched_existing,vendor_component,Part__Feature1516,3J_pipe_ISO_K_DN63_320RZS063,,1,,
122,3K,1,3K_flexible_pipe_ISO_K_DN63_320SWN063-0250,320SFK063,Pfeiffer Vacuum,gold_export/parts/3K_flexible_pipe_ISO_K_DN63_320SWN063-0250.step,matched_existing,vendor_component,Part__Feature1518,3K_flexible_pipe_ISO_K_DN63_320SWN063-0250,,1,,
123,3L,1,3L_flexible_pipe_ISO_K_DN63_320SWN063-0750,320SFK063,Pfeiffer Vacuum,gold_export/parts/3L_flexible_pipe_ISO_K_DN63_320SWN063-0750.step,matched_existing,vendor_component,Part__Feature1519,3L_flexible_pipe_ISO_K_DN63_320SWN063-0750,,1,,
124,3M,1,3M_pipe_ISO_K_DN63_320RZS063_L_218,320RZS063,Pfeiffer Vacuum,gold_export/parts/3M_pipe_ISO_K_DN63_320RZS063_L_218.step,matched_existing,vendor_component,Part__Feature1520,3M_pipe_ISO_K_DN63_320RZS063_L_218,,1,,
125,3N1,1,3N1_curvature_320SWN063,320SFK063: curvature,Pfeiffer Vacuum,gold_export/parts/3N1_curvature_320SWN063.step,matched_existing,vendor_component,Part__Feature1521,3N1_curvature_320SWN063,,1,,
126,3N2,2,3N2_end_piece_320SWN063,320SFK063: end piece,Pfeiffer Vacuum,gold_export/parts/3N2_end_piece_320SWN063.step,matched_existing,vendor_component,Part__Feature1522,3N2_end_piece_320SWN063,,1,,
127,3O1,1,3O1_curvature_320SWN063,320SFK063: curvature,Pfeiffer Vacuum,gold_export/parts/3O1_curvature_320SWN063.step,matched_existing,vendor_component,Part__Feature1524,3O1_curvature_320SWN063,,1,,
128,3O2,1,3O2_curvature_320SWN063,320SFK063: curvature,Pfeiffer Vacuum,gold_export/parts/3O2_curvature_320SWN063.step,matched_existing,vendor_component,Part__Feature1525,3O2_curvature_320SWN063,,1,,
129,3O3,1,3O3_end_piece_320SWN063,320SFK063: end piece,Pfeiffer Vacuum,gold_export/parts/3O3_end_piece_320SWN063.step,matched_existing,vendor_component,Part__Feature1526,3O3_end_piece_320SWN063,,1,,
130,3O4,1,3O4_end_piece_320SWN063,320SFK063: end piece,Pfeiffer Vacuum,gold_export/parts/3O4_end_piece_320SWN063.step,matched_existing,vendor_component,Part__Feature1527,3O4_end_piece_320SWN063,,1,,
131,3P1,1,3P1_cyclone_separator,,,gold_export/parts/3P1_cyclone_separator.step,matched_existing,part,Part__Feature1528,3P1_cyclone_separator,,1,,
132,3P2,2,3P2_flange_ISO_K_DN63,320FAN063-76,Pfeiffer Vacuum,gold_export/parts/3P2_flange_ISO_K_DN63.step,matched_existing,vendor_component,Part__Feature1529,3P2_flange_ISO_K_DN63,,1,,
133,3P3,1,3P3_valve_ISO_K_DN63_310VEP063-01,310VEP063,Pfeiffer Vacuum,gold_export/parts/3P3_valve_ISO_K_DN63_310VEP063-01.step,matched_existing,vendor_component,Part__Feature1531,3P3_valve_ISO_K_DN63_310VEP063-01,,1,,
134,3P4,1,3P4_filter_ISO_K_DN63_CSL-357y2-K,PK Z60 511 A,Pfeiffer Vacuum,gold_export/parts/3P4_filter_ISO_K_DN63_CSL-357y2-K.step,matched_existing,vendor_component,Part__Feature1570,3P4_filter_ISO_K_DN63_CSL-357y2-K,,1,,
135,3P5,1,3P5_reduction_ISO_K_DN100_DN63_320RRK100-063-63,320RRK100-063-63,Pfeiffer Vacuum,gold_export/parts/3P5_reduction_ISO_K_DN100_DN63_320RRK100-063-63.step,matched_existing,vendor_component,Part__Feature1571,3P5_reduction_ISO_K_DN100_DN63_320RRK100-063-63,,1,,
136,3P6,1,3P6_powder_container_2_liter,,AMPROVED,gold_export/parts/3P6_powder_container_2_liter.step,matched_existing,vendor_component,Part__Feature1572,3P6_powder_container_2_liter,,1,,
